Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Pascal Stenzel,de GER,DF,Stuttgart,27-305,1996,8.9,515,598,86.1,10050,2984,210,230,91.3,215,245,87.8,84,105,80.0,3,2.0,1.7,+1.0,10,51,18,6,65
Leonidas Stergiou,ch SUI,DF,Stuttgart,21-322,2002,0.5,24,29,82.8,303,117,20,22,90.9,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,2
Angelo Stiller,de GER,MF,Hoffenheim,22-290,2001,0.9,36,43,83.7,683,273,17,19,89.5,13,13,100.0,5,7,71.4,0,0.0,0.1,0.0,1,7,1,1,7
Angelo Stiller,de GER,MF,Stuttgart,22-290,2001,14.2,972,1093,88.9,15752,4818,464,497,93.4,408,429,95.1,64,111,57.7,3,2.4,3.3,+0.6,25,116,14,2,110
Kevin Stöger,at AUT,MF,Bochum,30-145,1993,14.1,613,928,66.1,11562,4631,268,351,76.4,241,340,70.9,90,185,48.6,4,3.4,4.2,+0.6,46,97,36,9,140
Filip Stojilković,ch SUI,"FW,MF",Darmstadt 98,24-015,2000,1.7,10,21,47.6,176,45,3,8,37.5,7,12,58.3,0,0,,0,0.0,0.0,0.0,0,2,1,0,3
Niklas Süle,de GER,DF,Dortmund,28-138,1995,6.9,561,606,92.6,10712,3172,205,215,95.3,298,314,94.9,53,68,77.9,0,0.1,0.4,-0.1,4,33,4,1,43
Mattias Svanberg,se SWE,MF,Wolfsburg,25-014,1999,13.6,391,548,71.4,6116,2094,196,239,82.0,149,198,75.3,25,63,39.7,3,1.4,1.5,+1.6,18,42,12,1,64
Attila Szalai,hu HUN,DF,Hoffenheim,25-364,1998,3.2,131,178,73.6,2249,1119,53,62,85.5,63,77,81.8,10,30,33.3,0,0.5,0.8,-0.5,2,10,2,1,13
Jonathan Tah,de GER,DF,Leverkusen,27-342,1996,14.5,961,1021,94.1,15166,6365,485,497,97.6,418,448,93.3,38,50,76.0,0,0.1,0.3,-0.1,2,63,1,0,53
Edmond Tapsoba,bf BFA,DF,Leverkusen,24-351,1999,13.0,1046,1130,92.6,17239,7601,519,543,95.6,438,462,94.8,66,90,73.3,0,0.8,0.8,-0.8,4,87,5,0,85
Mathys Tel,fr FRA,"FW,MF",Bayern Munich,18-267,2005,2.6,85,103,82.5,1217,217,51,55,92.7,28,36,77.8,3,4,75.0,2,0.3,0.8,+1.7,2,3,4,1,7
Nathan Tella,ng NGA,DF,Leverkusen,24-198,1999,0.9,38,47,80.9,537,170,25,27,92.6,11,13,84.6,2,5,40.0,0,0.5,0.3,-0.5,1,4,3,0,6
Norman Theuerkauf,de GER,"MF,DF",Heidenheim,36-360,1987,8.6,209,277,75.5,4216,1549,79,94,84.0,92,115,80.0,34,51,66.7,1,0.3,0.4,+0.7,5,13,2,0,25
Jan Thielmann,de GER,"FW,MF",Köln,21-238,2002,5.9,121,190,63.7,1941,567,62,87,71.3,48,65,73.8,9,20,45.0,0,0.3,0.4,-0.3,4,9,4,2,25
Denis Thomalla,de GER,"MF,FW",Heidenheim,31-156,1992,3.9,125,162,77.2,2206,618,56,73,76.7,48,61,78.7,16,18,88.9,0,0.3,0.7,-0.3,3,9,3,0,19
Phillip Tietz,de GER,FW,Augsburg,26-194,1997,12.6,153,252,60.7,2113,489,92,131,70.2,46,71,64.8,6,14,42.9,2,1.2,0.9,+0.8,15,12,3,0,17
Steffen Tigges,de GER,"FW,MF",Köln,25-172,1998,4.4,57,100,57.0,788,171,30,53,56.6,22,34,64.7,1,3,33.3,0,0.4,0.2,-0.4,6,5,2,0,6
Umut Tohumcu,de GER,MF,Hoffenheim,19-161,2004,2.4,62,69,89.9,853,260,40,43,93.0,21,22,95.5,1,2,50.0,1,0.4,0.7,+0.6,2,5,3,0,9
Tiago Tomás,pt POR,"FW,MF",Wolfsburg,21-217,2002,6.7,110,170,64.7,1569,296,66,83,79.5,31,55,56.4,8,15,53.3,0,0.3,0.6,-0.3,6,1,8,0,13
Fabio Torsiello,it ITA,"FW,DF",Darmstadt 98,18-351,2005,0.3,5,5,100.0,96,27,3,3,100.0,1,1,100.0,1,1,100.0,0,0.0,0.1,0.0,0,1,1,1,1
Lucas Tousart,fr FRA,MF,Union Berlin,26-265,1997,3.4,84,119,70.6,1349,417,40,53,75.5,34,44,77.3,7,12,58.3,0,0.4,0.1,-0.4,3,8,0,0,8
Omar Traoré,de GER,DF,Heidenheim,25-349,1998,12.6,417,576,72.4,7156,3095,198,230,86.1,180,232,77.6,34,76,44.7,1,0.7,0.8,+0.3,9,25,11,6,36
Kevin Trapp,de GER,GK,Eint Frankfurt,33-195,1990,16.0,456,606,75.2,10600,6928,134,134,100.0,218,221,98.6,103,246,41.9,0,0.0,0.0,0.0,0,0,0,0,0
Christopher Trimmel,at AUT,"DF,MF",Union Berlin,36-329,1987,8.4,288,445,64.7,5463,2272,124,149,83.2,113,157,72.0,46,115,40.0,1,0.8,1.5,+0.2,19,30,12,6,40
Tuta,br BRA,DF,Eint Frankfurt,24-199,1999,15.0,887,1049,84.6,16177,6021,353,385,91.7,466,507,91.9,62,122,50.8,1,1.2,0.7,-0.2,5,55,7,0,57
Lukas Ullrich,de GER,DF,M'Gladbach,19-309,2004,0.2,4,11,36.4,68,8,2,3,66.7,2,2,100.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Sven Ulreich,de GER,GK,Bayern Munich,35-169,1988,8.0,244,295,82.7,5193,3505,73,74,98.6,130,132,98.5,40,88,45.5,0,0.0,0.0,0.0,1,2,0,0,0
Deniz Undav,de GER,FW,Stuttgart,27-184,1996,9.7,232,308,75.3,3272,903,126,149,84.6,76,95,80.0,10,18,55.6,3,2.5,2.3,+0.5,14,21,14,1,38
Dayot Upamecano,fr FRA,DF,Bayern Munich,25-084,1998,12.7,1116,1192,93.6,22197,6695,337,350,96.3,648,685,94.6,126,142,88.7,0,0.4,0.7,-0.4,3,94,1,0,79
Mark Uth,de GER,"MF,FW",Köln,32-148,1991,2.9,69,101,68.3,1114,319,37,39,94.9,18,26,69.2,9,19,47.4,0,0.7,0.5,-0.7,3,5,2,0,9
Josha Vagnoman,de GER,"DF,FW",Stuttgart,23-039,2000,3.9,145,168,86.3,1896,344,93,100,93.0,38,46,82.6,3,6,50.0,1,0.8,0.8,+0.2,3,4,2,0,7
Ruben Vargas,ch SUI,"MF,FW",Augsburg,25-167,1998,8.8,160,239,66.9,2617,732,78,97,80.4,64,92,69.6,13,29,44.8,1,1.0,1.3,0.0,13,8,8,2,24
Miloš Veljković,rs SRB,DF,Werder Bremen,28-115,1995,12.2,639,771,82.9,13814,4514,181,211,85.8,348,381,91.3,108,164,65.9,1,0.5,0.6,+0.5,3,35,9,4,47
Oscar Vilhelmsson,se SWE,"FW,MF",Darmstadt 98,20-109,2003,5.4,35,76,46.1,525,39,20,35,57.1,12,25,48.0,2,8,25.0,0,0.0,0.1,0.0,1,0,0,0,1
Kevin Vogt,de GER,DF,Hoffenheim,32-118,1991,14.7,813,939,86.6,17137,7528,237,252,94.0,413,460,89.8,146,201,72.6,0,0.1,0.4,-0.1,2,79,11,0,84
Kevin Vogt,de GER,DF,Union Berlin,32-118,1991,1.0,67,74,90.5,1333,465,18,18,100.0,42,43,97.7,7,11,63.6,0,0.0,0.0,0.0,0,1,0,0,2
Kevin Volland,de GER,"MF,FW",Union Berlin,31-173,1992,6.5,106,174,60.9,1600,580,62,83,74.7,27,45,60.0,9,21,42.9,3,1.5,1.0,+1.5,7,9,12,3,21
Aster Vranckx,be BEL,MF,Wolfsburg,21-107,2002,7.8,302,356,84.8,5279,1056,133,144,92.4,121,135,89.6,36,56,64.3,0,0.2,0.2,-0.2,4,22,4,2,31
Luca Waldschmidt,de GER,"MF,FW",Köln,27-245,1996,9.4,224,310,72.3,3587,969,100,125,80.0,96,123,78.0,16,31,51.6,0,1.0,1.3,-1.0,10,16,8,2,37
Wout Weghorst,nl NED,FW,Hoffenheim,31-165,1992,11.7,221,299,73.9,2807,477,139,175,79.4,57,78,73.1,8,12,66.7,0,1.7,1.4,-1.7,13,7,8,0,21
Julian Weigl,de GER,MF,M'Gladbach,28-133,1995,15.9,659,750,87.9,12106,3193,270,303,89.1,308,328,93.9,71,91,78.0,2,1.6,0.7,+0.4,12,57,5,0,60
Nelson Weiper,de GER,"FW,MF",Mainz 05,18-308,2005,1.2,21,34,61.8,248,37,12,15,80.0,5,10,50.0,0,0,,0,0.2,0.1,-0.2,2,2,1,0,2
Mitchell Weiser,de GER,"DF,FW",Werder Bremen,29-273,1994,16.4,617,837,73.7,9825,4044,331,396,83.6,235,305,77.0,37,80,46.3,4,1.7,2.9,+2.3,16,42,20,13,60
Noah Weißhaupt,de GER,"DF,MF",Freiburg,22-121,2001,5.9,210,277,75.8,3674,915,95,105,90.5,86,110,78.2,23,42,54.8,1,1.1,1.3,-0.1,14,10,11,9,17
Timo Werner,de GER,"FW,MF",RB Leipzig,27-319,1996,2.3,61,88,69.3,983,129,34,43,79.1,23,30,76.7,4,7,57.1,0,0.0,0.1,0.0,2,1,0,0,6
Silvan Widmer,ch SUI,"DF,FW",Mainz 05,30-320,1993,4.9,213,289,73.7,3558,1415,106,125,84.8,84,116,72.4,17,33,51.5,0,1.4,0.8,-1.4,6,22,6,3,24
Patrick Wimmer,at AUT,FW,Wolfsburg,22-234,2001,3.1,59,88,67.0,932,267,35,45,77.8,18,26,69.2,3,8,37.5,0,0.1,0.1,-0.1,4,6,1,0,7
Jonas Wind,dk DEN,FW,Wolfsburg,24-346,1999,16.6,244,356,68.5,3760,888,133,180,73.9,87,118,73.7,14,20,70.0,4,3.0,1.9,+1.0,20,18,12,0,43
Florian Wirtz,de GER,MF,Leverkusen,20-261,2003,14.3,807,974,82.9,10610,3132,521,589,88.5,209,242,86.4,30,43,69.8,7,4.0,5.2,+3.0,37,48,46,3,113
Maximilian Wittek,de GER,"DF,MF",Bochum,28-151,1995,5.5,194,292,66.4,3600,1653,74,96,77.1,91,130,70.0,23,53,43.4,1,0.5,1.2,+0.5,14,26,8,3,34
Maximilian Wöber,at AUT,DF,M'Gladbach,25-349,1998,14.7,784,962,81.5,14338,5490,307,340,90.3,408,467,87.4,65,129,50.4,2,1.0,0.8,+1.0,9,69,10,5,84
Marius Wolf,de GER,DF,Dortmund,28-237,1995,7.0,340,464,73.3,5653,2365,169,199,84.9,133,164,81.1,30,71,42.3,1,1.0,1.3,0.0,7,39,9,5,28
Nick Woltemade,de GER,"FW,MF",Werder Bremen,21-339,2002,3.0,89,112,79.5,1261,259,49,58,84.5,30,35,85.7,5,9,55.6,0,0.4,0.5,-0.4,6,6,4,0,9
Jeong Woo-yeong,kr KOR,MF,Stuttgart,24-121,1999,4.2,136,165,82.4,1734,376,90,106,84.9,29,34,85.3,6,7,85.7,2,0.9,1.1,+1.1,6,12,1,0,12
Granit Xhaka,ch SUI,MF,Leverkusen,31-114,1992,16.7,1610,1749,92.1,25183,7292,917,965,95.0,550,592,92.9,114,134,85.1,0,1.2,2.5,-1.2,21,189,27,0,198
Dan-Axel Zagadou,fr FRA,DF,Stuttgart,24-230,1999,14.1,1082,1238,87.4,19877,7851,416,447,93.1,543,597,91.0,104,161,64.6,0,0.1,0.3,-0.1,2,59,3,0,67
Robin Zentner,de GER,GK,Mainz 05,29-083,1994,13.0,313,433,72.3,8729,6106,63,63,100.0,133,136,97.8,115,229,50.2,0,0.0,0.0,0.0,0,3,0,0,1
Cedric Zesiger,ch SUI,DF,Wolfsburg,25-209,1998,10.4,590,703,83.9,11541,4069,169,181,93.4,370,403,91.8,47,92,51.1,0,0.0,0.1,0.0,0,38,0,0,49
Michael Zetterer,de GER,GK,Werder Bremen,28-191,1995,10.0,338,414,81.6,9546,6307,36,36,100.0,160,162,98.8,142,211,67.3,0,0.0,0.0,0.0,0,4,1,0,0
Christoph Zimmermann,de GER,DF,Darmstadt 98,31-007,1993,4.9,153,188,81.4,2905,918,60,64,93.8,79,90,87.8,14,30,46.7,0,0.0,0.0,0.0,0,10,0,0,9
Simon Zoller,de GER,"FW,MF",Bochum,32-207,1991,0.5,5,8,62.5,97,0,2,3,66.7,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
