Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Kevin Paredes,us USA,"MF,FW",Wolfsburg,20-257,2003,3.9,119,147,81.0,1649,396,68,76,89.5,42,53,79.2,4,10,40.0,0,0.3,0.3,-0.3,4,7,4,0,12
Felix Passlack,de GER,DF,Bochum,25-235,1998,4.8,139,203,68.5,2423,742,59,73,80.8,64,80,80.0,10,29,34.5,0,0.4,0.5,-0.4,8,13,5,4,16
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-280,1992,7.0,187,246,76.0,4952,3302,39,39,100.0,93,93,100.0,54,113,47.8,0,0.0,0.0,0.0,0,0,0,0,0
Aleksandar Pavlovic,de GER,MF,Bayern Munich,19-261,2004,3.5,215,239,90.0,3585,954,104,110,94.5,90,96,93.8,16,24,66.7,2,0.6,0.7,+1.4,4,22,3,1,27
Mads Pedersen,dk DEN,DF,Augsburg,27-140,1996,12.4,376,513,73.3,6354,2274,191,214,89.3,143,210,68.1,34,58,58.6,1,1.4,1.7,-0.4,9,21,10,6,29
Jordan Pefok,us USA,FW,M'Gladbach,27-268,1996,5.8,101,122,82.8,1381,253,54,65,83.1,34,38,89.5,4,4,100.0,1,0.9,0.4,+0.1,8,5,1,0,11
Jordan Pefok,us USA,FW,Union Berlin,27-268,1996,0.3,2,5,40.0,14,0,2,3,66.7,0,0,,0,0,,0,0.1,0.0,-0.1,2,0,0,0,0
Pavao Pervan,at AUT,GK,Wolfsburg,36-067,1987,3.0,83,117,70.9,2033,1293,24,24,100.0,38,39,97.4,21,54,38.9,0,0.0,0.0,0.0,0,1,0,0,0
Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,24-099,1999,1.6,67,81,82.7,1076,270,31,36,86.1,31,35,88.6,4,6,66.7,0,0.1,0.4,-0.1,2,4,4,0,6
Luca Pfeiffer,de GER,"FW,MF",Darmstadt 98,27-152,1996,12.1,190,276,68.8,2873,683,116,146,79.5,56,87,64.4,14,27,51.9,3,1.0,0.6,+2.0,14,15,4,0,26
Patric Pfeiffer,de GER,DF,Augsburg,24-152,1999,4.1,136,191,71.2,2752,944,48,54,88.9,70,91,76.9,18,39,46.2,1,0.6,0.5,+0.4,1,11,2,1,12
Maximilian Philipp,de GER,"FW,MF",Freiburg,29-324,1994,2.6,59,80,73.8,751,117,35,40,87.5,16,24,66.7,2,3,66.7,0,0.1,0.2,-0.1,2,5,2,1,4
Florian Pick,de GER,"MF,FW",Heidenheim,28-133,1995,2.4,83,120,69.2,1464,441,31,38,81.6,35,44,79.5,12,26,46.2,0,0.2,0.4,-0.2,3,4,2,1,7
Amos Pieper,de GER,DF,Werder Bremen,26-002,1998,6.0,219,294,74.5,4363,1814,76,97,78.4,108,124,87.1,32,62,51.6,0,0.8,0.4,-0.8,2,23,2,0,23
Marvin Pieringer,de GER,"FW,MF",Heidenheim,24-107,1999,8.6,143,214,66.8,1941,465,87,121,71.9,40,62,64.5,6,9,66.7,0,0.8,0.6,-0.8,5,12,6,0,18
Alassane Pléa,fr FRA,"FW,MF",M'Gladbach,30-315,1993,13.7,319,457,69.8,5413,1734,162,203,79.8,112,159,70.4,35,56,62.5,3,2.6,2.7,+0.4,23,29,23,2,70
Yussuf Poulsen,dk DEN,FW,RB Leipzig,29-218,1994,9.7,157,211,74.4,1940,499,103,126,81.7,34,45,75.6,5,8,62.5,1,0.8,1.6,+0.2,10,6,3,1,13
Grischa Prömel,de GER,MF,Hoffenheim,29-010,1995,14.4,412,521,79.1,6660,1690,193,226,85.4,180,206,87.4,27,52,51.9,5,2.6,1.6,+2.4,16,44,12,1,60
Gustavo Puerta,co COL,"DF,MF",Leverkusen,20-180,2003,0.3,21,24,87.5,289,45,11,12,91.7,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Luca Raimund,de GER,"FW,MF",Stuttgart,18-285,2005,0.3,15,22,68.2,192,18,10,13,76.9,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
Grant Ranos,am ARM,"FW,MF",M'Gladbach,20-183,2003,0.5,12,15,80.0,166,64,4,5,80.0,5,7,71.4,0,0,,0,0.0,0.1,0.0,0,2,0,0,2
Nicolai Rapp,de GER,DF,Werder Bremen,27-037,1996,0.8,32,40,80.0,563,213,12,14,85.7,18,22,81.8,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,2
David Raum,de GER,DF,RB Leipzig,25-272,1998,16.7,884,1225,72.2,15481,5412,406,457,88.8,375,494,75.9,85,209,40.7,3,3.9,6.1,-0.9,38,55,36,18,73
Rocco Reitz,de GER,MF,M'Gladbach,21-235,2002,13.3,393,533,73.7,6196,2067,205,246,83.3,153,195,78.5,21,46,45.7,2,1.3,0.8,+0.7,7,47,5,1,60
Marco Reus,de GER,"MF,FW",Dortmund,34-233,1989,10.3,282,351,80.3,3968,1005,159,179,88.8,88,105,83.8,16,23,69.6,2,2.4,1.5,-0.4,20,18,12,1,29
