Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Sébastien Haller,ci CIV,FW,Dortmund,29-211,1994,4.0,146,9,16,72,61,21,146,5,4,80.0,1,20.0,68,308,153,9,3,1,9,2,106,30
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27-002,1997,0.7,36,3,20,16,0,0,36,0,0,,0,,9,35,1,0,0,0,1,0,12,0
Genki Haraguchi,jp JPN,MF,Stuttgart,32-255,1991,0.2,15,2,4,10,1,0,15,0,0,,0,,3,35,30,1,0,0,0,0,10,0
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,40-001,1984,0.4,29,5,16,12,1,0,29,0,0,,0,,18,87,44,0,1,0,0,0,19,0
Thorgan Hazard,be BEL,DF,Dortmund,30-296,1993,0.1,9,0,1,6,2,0,9,0,0,,0,,4,9,3,0,0,0,0,0,5,1
Dominique Heintz,de GER,DF,Köln,30-157,1993,4.6,354,30,120,196,41,2,354,4,3,75.0,1,25.0,182,939,493,6,6,1,6,3,216,13
Benjamin Henrichs,de GER,DF,RB Leipzig,26-330,1997,14.9,1065,23,254,480,343,41,1065,31,19,61.3,8,25.8,631,2982,1619,28,22,5,14,10,696,93
Patrick Herrmann,de GER,"DF,FW",M'Gladbach,32-341,1991,0.5,32,1,1,14,17,4,32,0,0,,0,,17,68,36,1,1,0,0,1,24,5
Piero Hincapié,ec ECU,DF,Leverkusen,22-010,2002,4.3,417,29,150,236,32,7,417,1,0,0.0,1,100.0,228,1202,691,9,5,1,3,0,326,6
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-178,2002,1.7,90,0,12,37,43,12,90,4,1,25.0,3,75.0,51,406,242,9,6,4,3,7,77,12
Nicolas Höfler,de GER,MF,Freiburg,33-316,1990,11.9,627,47,175,377,81,6,627,5,3,60.0,1,20.0,299,1443,603,7,6,0,10,6,358,9
Jonas Hofmann,de GER,MF,Leverkusen,31-189,1992,15.1,1114,1,82,471,567,67,1114,23,9,39.1,14,60.9,568,2931,1355,41,30,9,26,8,876,136
Philipp Hofmann,de GER,FW,Bochum,30-295,1993,8.9,302,10,23,152,127,36,302,8,4,50.0,4,50.0,125,446,93,2,3,0,27,3,226,49
Lucas Höler,de GER,"FW,MF",Freiburg,29-193,1994,13.1,551,22,80,253,223,52,550,13,7,53.8,5,38.5,305,1322,528,14,7,2,29,7,393,75
