Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atakan Karazor,de GER,MF,Stuttgart,27-098,1996,16.1,31,1.93,26,0,0,1,1,3,3,0.19,3,0,0,0,0,0
Emir Karic,at AUT,DF,Darmstadt 98,26-224,1997,8.3,24,2.89,21,1,0,0,0,2,1,0.12,1,0,0,0,0,0
Silas Katompa,cd COD,"FW,MF",Stuttgart,25-105,1998,8.1,30,3.71,18,0,7,2,3,0,4,0.50,1,0,1,1,1,0
Mikkel Kaufmann,dk DEN,"FW,DF",Union Berlin,23-016,2001,1.9,5,2.66,3,0,1,1,0,0,1,0.53,0,0,1,0,0,0
Naby Keïta,gn GUI,MF,Werder Bremen,28-343,1995,0.9,2,2.22,2,0,0,0,0,0,1,1.11,1,0,0,0,0,0
Yannik Keitel,de GER,MF,Freiburg,23-338,2000,1.4,2,1.43,2,0,0,0,0,0,1,0.71,1,0,0,0,0,0
Thomas Keller,de GER,"MF,FW",Heidenheim,24-167,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aljoscha Kemlein,de GER,MF,Union Berlin,19-170,2004,0.3,1,3.10,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Tobias Kempe,de GER,MF,Darmstadt 98,34-206,1989,9.1,43,4.70,22,16,0,2,2,1,6,0.66,3,1,0,0,2,0
Rani Khedira,de GER,MF,Union Berlin,29-357,1994,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luca Kilian,de GER,DF,Köln,24-140,1999,3.1,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joshua Kimmich,de GER,MF,Bayern Munich,28-345,1995,10.5,61,5.80,34,24,0,2,0,1,5,0.48,2,2,0,1,0,0
Christoph Klarer,at AUT,DF,Darmstadt 98,23-219,2000,14.0,14,1.00,12,0,0,2,0,0,2,0.14,2,0,0,0,0,0
Tim Kleindienst,de GER,FW,Heidenheim,28-141,1995,16.5,37,2.24,26,0,2,6,1,2,7,0.42,4,0,1,1,1,0
Lukas Klostermann,de GER,DF,RB Leipzig,27-230,1996,9.7,12,1.24,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,22-009,2002,9.9,24,2.43,19,0,3,1,0,1,3,0.30,2,0,0,0,0,1
Robin Knoche,de GER,DF,Union Berlin,31-242,1992,12.6,6,0.48,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Gregor Kobel,ch SUI,GK,Dortmund,26-044,1997,16.3,4,0.25,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Robin Koch,de GER,DF,Eint Frankfurt,27-186,1996,14.7,5,0.34,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dominik Kohr,de GER,"MF,DF",Mainz 05,29-353,1994,12.4,18,1.45,13,0,1,4,0,0,0,0.00,0,0,0,0,0,0
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,25-045,1998,1.7,1,0.59,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Kouadio Koné,fr FRA,MF,M'Gladbach,22-247,2001,7.8,20,2.58,12,0,5,2,1,0,1,0.13,0,0,0,1,0,0
Odilon Kossonou,ci CIV,DF,Leverkusen,23-015,2001,13.4,20,1.49,18,0,2,0,0,0,3,0.22,3,0,0,0,0,0
Dawid Kownacki,pl POL,FW,Werder Bremen,26-311,1997,2.6,6,2.31,5,0,1,0,0,0,1,0.38,1,0,0,0,0,0
Alex Král,cz CZE,MF,Union Berlin,25-245,1998,9.5,10,1.06,7,0,0,1,1,1,0,0.00,0,0,0,0,0,0
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,32-214,1991,11.1,61,5.48,35,19,3,1,2,1,6,0.54,4,0,1,0,1,0
Christoph Kramer,de GER,MF,M'Gladbach,32-334,1991,2.0,4,1.96,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Frans Krätzig,de GER,DF,Bayern Munich,21-005,2003,0.6,2,3.16,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Tom Krauß,de GER,MF,Mainz 05,22-211,2001,9.7,11,1.13,9,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Lukas Kübler,de GER,DF,Freiburg,31-142,1992,9.5,8,0.84,5,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Moritz-Broni Kwarteng,gh GHA,"FW,MF",Bochum,25-266,1998,1.8,12,6.59,6,0,3,2,1,0,1,0.55,1,0,0,0,0,0
Maxence Lacroix,fr FRA,DF,Wolfsburg,23-288,2000,13.2,14,1.06,13,0,0,0,1,0,1,0.08,1,0,0,0,0,0
Aïssa Laïdouni,tn TUN,MF,Union Berlin,27-037,1996,8.0,20,2.49,18,1,0,0,1,0,4,0.50,4,0,0,0,0,0
Konrad Laimer,at AUT,"DF,MF",Bayern Munich,26-237,1997,12.1,36,2.96,29,3,1,2,1,0,5,0.41,4,0,0,1,0,0
Hugo Larsson,se SWE,MF,Eint Frankfurt,19-206,2004,13.8,17,1.23,16,0,0,1,0,0,5,0.36,4,0,0,1,0,0
Diogo Leite,pt POR,DF,Union Berlin,24-361,1999,15.6,15,0.96,12,0,0,1,1,1,1,0.06,1,0,0,0,0,0
Maxim Leitsch,de GER,DF,Mainz 05,25-246,1998,4.1,1,0.24,1,0,0,0,0,0,1,0.24,1,0,0,0,0,0
Christopher Lenz,de GER,"DF,MF",RB Leipzig,29-119,1994,0.4,2,5.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Christopher Lenz,de GER,DF,Eint Frankfurt,29-119,1994,0.1,1,8.18,1,0,0,0,0,0,1,8.18,1,0,0,0,0,0
Jamie Leweling,de GER,"MF,FW",Stuttgart,22-327,2001,6.6,27,4.11,19,1,3,4,0,0,3,0.46,3,0,0,0,0,0
Philipp Lienhart,at AUT,DF,Freiburg,27-192,1996,13.7,13,0.95,12,0,0,1,0,0,1,0.07,1,0,0,0,0,0
Matthijs de Ligt,nl NED,DF,Bayern Munich,24-160,1999,4.1,3,0.73,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,23-324,2000,0.9,2,2.17,2,0,0,0,0,0,1,1.08,1,0,0,0,0,0
Dejan Ljubicic,at AUT,"MF,FW",Köln,26-103,1997,12.3,29,2.35,23,0,1,4,1,0,0,0.00,0,0,0,0,0,0
Noah Loosli,ch SUI,"DF,MF",Bochum,26-361,1997,1.8,1,0.54,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anthony Losilla,fr FRA,MF,Bochum,37-315,1986,14.5,19,1.31,16,0,0,1,2,0,1,0.07,1,0,0,0,0,0
Castello Lukeba,fr FRA,DF,RB Leipzig,21-033,2002,11.0,9,0.82,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Senne Lynen,be BEL,MF,Werder Bremen,24-334,1999,5.0,7,1.40,6,0,0,0,0,1,1,0.20,1,0,0,0,0,0
Ian Maatsen,nl NED,DF,Dortmund,21-315,2002,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matej Maglica,hr CRO,DF,Darmstadt 98,25-116,1998,9.2,12,1.30,11,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Arne Maier,de GER,"MF,DF",Augsburg,25-011,1999,1.0,5,4.74,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Linton Maina,de GER,"FW,MF",Köln,24-210,1999,11.8,30,2.55,23,1,1,1,3,1,1,0.08,1,0,0,0,0,0
Patrick Mainka,de GER,DF,Heidenheim,29-074,1994,17.0,13,0.76,7,0,0,5,0,1,1,0.06,1,0,0,0,0,0
Lovro Majer,hr CRO,"MF,FW",Wolfsburg,26-002,1998,13.5,47,3.49,35,5,1,3,3,0,5,0.37,4,0,0,1,0,0
Jordy Makengo,fr FRA,DF,Freiburg,22-169,2001,4.4,5,1.13,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Donyell Malen,nl NED,"FW,MF",Dortmund,25-010,1999,11.6,43,3.72,27,0,4,10,1,1,7,0.61,4,0,1,1,0,1
Lennard Maloney,us USA,MF,Heidenheim,24-103,1999,15.8,13,0.82,9,0,0,3,0,1,1,0.06,1,0,0,0,0,0
David Mamutovic,de GER,DF,Mainz 05,23-045,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Braydon Manu,gh GHA,MF,Darmstadt 98,26-297,1997,0.9,2,2.22,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,24-346,1999,12.0,32,2.66,17,5,4,2,4,0,5,0.42,1,1,1,1,1,0
Eric Martel,de GER,MF,Köln,21-265,2002,13.4,23,1.72,19,0,0,2,2,0,2,0.15,1,0,0,0,1,0
Erhan Mašović,rs SRB,DF,Bochum,25-058,1998,13.4,12,0.89,8,0,0,3,1,0,1,0.07,1,0,0,0,0,0
Roberto Massimo,de GER,"DF,FW",Stuttgart,23-099,2000,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Philipp Max,de GER,"DF,MF",Eint Frankfurt,30-111,1993,9.3,19,2.04,13,3,1,2,0,0,2,0.21,1,0,0,1,0,0
Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,34-302,1989,3.7,17,4.58,11,0,2,4,0,0,3,0.81,1,0,0,2,0,0
Noussair Mazraoui,ma MAR,DF,Bayern Munich,26-066,1997,9.1,28,3.08,23,0,2,1,0,2,7,0.77,7,0,0,0,0,0
Kevin Mbabu,ch SUI,DF,Augsburg,28-275,1995,8.9,20,2.24,14,4,1,0,1,0,2,0.22,1,1,0,0,0,0
Noah Mbamba,be BEL,MF,Leverkusen,19-014,2005,0.2,1,6.00,1,0,0,0,0,0,1,6.00,1,0,0,0,0,0
Nathanael Mbuku,fr FRA,FW,Augsburg,21-309,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvin Mehlem,de GER,MF,Darmstadt 98,26-130,1997,10.8,37,3.44,27,1,0,2,6,1,4,0.37,4,0,0,0,0,0
Thomas Meunier,be BEL,DF,Dortmund,32-129,1991,3.9,8,2.07,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Alexander Meyer,de GER,GK,Dortmund,32-281,1991,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sven Michel,de GER,"FW,MF",Augsburg,33-188,1990,4.9,8,1.61,7,0,1,0,0,0,2,0.40,2,0,0,0,0,0
Enzo Millot,fr FRA,"MF,FW",Stuttgart,21-186,2002,12.4,46,3.70,37,1,4,0,3,1,5,0.40,4,0,1,0,0,0
Jovan Milošević,rs SRB,FW,Stuttgart,18-172,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kim Min-jae,kr KOR,DF,Bayern Munich,27-065,1996,14.6,15,1.03,14,1,0,0,0,0,2,0.14,2,0,0,0,0,0
Maximilian Mittelstädt,de GER,DF,Stuttgart,26-307,1997,8.3,18,2.15,17,0,0,1,0,0,3,0.36,3,0,0,0,0,0
Youssoufa Moukoko,de GER,FW,Dortmund,19-060,2004,1.8,4,2.24,3,0,1,0,0,0,1,0.56,1,0,0,0,0,0
Andreas Müller,de GER,MF,Darmstadt 98,23-183,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jannik Müller,de GER,DF,Darmstadt 98,30-001,1994,6.7,5,0.75,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Müller,de GER,GK,Heidenheim,32-310,1991,17.0,3,0.18,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcus Müller,de GER,MF,Mainz 05,21-152,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thomas Müller,de GER,"MF,FW",Bayern Munich,34-128,1989,6.4,43,6.77,33,0,1,5,2,2,7,1.10,6,0,0,0,0,1
Jamal Musiala,de GER,"MF,FW",Bayern Munich,20-327,2003,8.2,45,5.51,32,0,3,4,3,3,9,1.10,8,0,0,0,1,0
Phillipp Mwene,at AUT,"DF,FW",Mainz 05,29-355,1994,9.3,30,3.21,19,8,2,0,0,1,2,0.21,2,0,0,0,0,0
Joakim Mæhle,dk DEN,DF,Wolfsburg,26-244,1997,15.0,37,2.47,30,0,5,1,0,1,6,0.40,4,0,1,1,0,0
Nathan N'Goumou,fr FRA,"FW,MF",M'Gladbach,23-311,2000,7.6,22,2.89,12,0,5,3,2,0,2,0.26,1,0,0,1,0,0
Stanley N'Soki,fr FRA,DF,Hoffenheim,24-285,1999,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luca Netz,de GER,DF,M'Gladbach,20-249,2003,13.5,34,2.53,21,7,2,3,0,1,5,0.37,4,1,0,0,0,0
Manuel Neuer,de GER,GK,Bayern Munich,37-298,1986,8.0,2,0.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Florian Neuhaus,de GER,MF,M'Gladbach,26-309,1997,6.7,23,3.43,18,0,1,4,0,0,3,0.45,3,0,0,0,0,0
Jessic Ngankam,de GER,FW,Eint Frankfurt,23-183,2000,3.1,4,1.29,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Moritz Nicolas,de GER,GK,M'Gladbach,26-090,1997,15.0,5,0.33,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Justin Njinmah,de GER,"FW,MF",Werder Bremen,23-065,2000,4.8,19,3.96,14,0,3,1,1,0,3,0.62,2,0,1,0,0,0
Niels Nkounkou,fr FRA,"DF,MF",Eint Frankfurt,23-079,2000,5.6,18,3.19,11,2,4,1,0,0,3,0.53,2,1,0,0,0,0
Felix Nmecha,de GER,MF,Dortmund,23-101,2000,6.7,21,3.12,13,0,2,3,3,0,2,0.30,1,0,0,1,0,0
Alexander Nübel,de GER,GK,Stuttgart,27-111,1996,17.0,3,0.18,3,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Fabian Nürnberger,de GER,"DF,MF",Darmstadt 98,24-175,1999,10.6,36,3.39,29,3,1,2,1,0,3,0.28,2,0,0,0,1,0
Tim Oermann,de GER,"DF,MF",Bochum,20-105,2003,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Masaya Okugawa,jp JPN,"FW,DF",Augsburg,27-280,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Finn Ole Becker,de GER,MF,Hoffenheim,23-225,2000,3.9,13,3.36,12,0,0,1,0,0,1,0.26,0,0,0,1,0,0
Mathias Olesen,lu LUX,"MF,FW",Köln,22-304,2001,1.2,2,1.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dani Olmo,es ESP,"MF,FW",RB Leipzig,25-257,1998,3.4,13,3.84,9,0,0,2,1,1,2,0.59,2,0,0,0,0,0
Jonas Omlin,ch SUI,GK,M'Gladbach,30-009,1994,2.0,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0
Karim Onisiwo,at AUT,"FW,MF",Mainz 05,31-308,1992,9.9,30,3.04,17,0,3,4,6,0,5,0.51,2,0,1,2,0,0
Loïs Openda,be BEL,FW,RB Leipzig,23-337,2000,14.9,47,3.14,29,0,4,7,6,1,8,0.54,6,0,0,1,1,0
Leon Opitz,de GER,"FW,DF",Werder Bremen,18-283,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Willi Orban,hu HUN,DF,RB Leipzig,31-077,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ivan Ordets,ua UKR,DF,Bochum,31-195,1992,8.4,4,0.48,3,0,0,0,1,0,1,0.12,0,0,0,0,1,0
Patrick Osterhage,de GER,"MF,DF",Bochum,23-352,2000,9.6,22,2.30,19,0,1,1,0,1,2,0.21,1,0,1,0,0,0
Salih Özcan,tr TUR,MF,Dortmund,26-008,1998,7.1,13,1.83,12,0,0,0,1,0,1,0.14,1,0,0,0,0,0
Willian Pacho,ec ECU,DF,Eint Frankfurt,22-095,2001,17.0,12,0.71,11,0,0,1,0,0,2,0.12,2,0,0,0,0,0
Gonçalo Paciência,pt POR,FW,Bochum,29-171,1994,5.3,24,4.50,11,1,4,5,3,0,0,0.00,0,0,0,0,0,0
Exequiel Palacios,ar ARG,MF,Leverkusen,25-106,1998,14.4,38,2.64,32,0,2,1,2,1,4,0.28,4,0,0,0,0,0
Miloš Pantović,rs SRB,MF,Union Berlin,27-196,1996,0.2,1,6.00,0,0,1,0,0,0,1,6.00,0,0,1,0,0,0
Antonios Papadopoulos,de GER,DF,Dortmund,24-131,1999,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matondo-Merveille Papela,de GER,"MF,DF",Mainz 05,23-001,2001,2.2,7,3.12,5,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Leart Paqarada,xk KVX,DF,Köln,29-103,1994,9.6,35,3.64,21,13,0,0,0,1,1,0.10,1,0,0,0,0,0
Kevin Paredes,us USA,"MF,FW",Wolfsburg,20-257,2003,3.9,19,4.90,13,0,3,0,3,0,1,0.26,1,0,0,0,0,0
Felix Passlack,de GER,DF,Bochum,25-235,1998,4.8,18,3.73,14,2,0,0,1,1,0,0.00,0,0,0,0,0,0
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-280,1992,7.0,3,0.43,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Aleksandar Pavlovic,de GER,MF,Bayern Munich,19-261,2004,3.5,14,4.03,9,3,1,0,0,1,3,0.86,1,1,0,0,0,1
Mads Pedersen,dk DEN,DF,Augsburg,27-140,1996,12.4,24,1.94,17,3,1,1,1,1,2,0.16,2,0,0,0,0,0
Jordan Pefok,us USA,FW,M'Gladbach,27-268,1996,5.8,17,2.94,11,0,2,1,3,0,3,0.52,2,0,0,0,1,0
Jordan Pefok,us USA,FW,Union Berlin,27-268,1996,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pavao Pervan,at AUT,GK,Wolfsburg,36-067,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,24-099,1999,1.6,3,1.86,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Luca Pfeiffer,de GER,"FW,MF",Darmstadt 98,27-152,1996,12.1,31,2.56,23,0,0,4,4,0,5,0.41,4,0,0,1,0,0
Patric Pfeiffer,de GER,DF,Augsburg,24-152,1999,4.1,3,0.73,2,0,0,1,0,0,1,0.24,1,0,0,0,0,0
Maximilian Philipp,de GER,"FW,MF",Freiburg,29-324,1994,2.6,6,2.29,5,0,0,1,0,0,1,0.38,0,0,0,1,0,0
Florian Pick,de GER,"MF,FW",Heidenheim,28-133,1995,2.4,8,3.30,3,3,2,0,0,0,0,0.00,0,0,0,0,0,0
Amos Pieper,de GER,DF,Werder Bremen,26-002,1998,6.0,5,0.83,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvin Pieringer,de GER,"FW,MF",Heidenheim,24-107,1999,8.6,12,1.38,7,0,1,2,2,0,1,0.12,0,0,0,1,0,0
Alassane Pléa,fr FRA,"FW,MF",M'Gladbach,30-315,1993,13.7,50,3.65,34,6,4,2,4,0,9,0.66,5,1,2,0,1,0
Yussuf Poulsen,dk DEN,FW,RB Leipzig,29-218,1994,9.7,29,2.99,20,0,4,2,3,0,4,0.41,3,0,1,0,0,0
Grischa Prömel,de GER,MF,Hoffenheim,29-010,1995,14.4,29,2.02,22,0,1,2,2,2,7,0.49,6,0,0,1,0,0
Gustavo Puerta,co COL,"DF,MF",Leverkusen,20-180,2003,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luca Raimund,de GER,"FW,MF",Stuttgart,18-285,2005,0.3,3,9.31,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Grant Ranos,am ARM,"FW,MF",M'Gladbach,20-183,2003,0.5,2,4.19,2,0,0,0,0,0,1,2.09,1,0,0,0,0,0
Nicolai Rapp,de GER,DF,Werder Bremen,27-037,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David Raum,de GER,DF,RB Leipzig,25-272,1998,16.7,60,3.60,36,19,4,1,0,0,7,0.42,2,4,1,0,0,0
Rocco Reitz,de GER,MF,M'Gladbach,21-235,2002,13.3,30,2.27,18,0,4,3,2,3,5,0.38,2,0,2,0,0,1
Marco Reus,de GER,"MF,FW",Dortmund,34-233,1989,10.3,40,3.89,23,5,1,5,4,2,2,0.19,1,0,0,0,0,1
Elvis Rexhbeçaj,de GER,MF,Augsburg,26-079,1997,16.2,29,1.79,21,2,1,3,2,0,1,0.06,1,0,0,0,0,0
Gio Reyna,us USA,"MF,FW",Dortmund,21-067,2002,2.6,22,8.32,15,0,2,2,2,1,1,0.38,1,0,0,0,0,0
Marco Richter,de GER,"FW,MF",Mainz 05,26-056,1997,5.9,23,3.88,11,4,2,4,2,0,1,0.17,0,1,0,0,0,0
Clemens Riedel,de GER,DF,Darmstadt 98,20-184,2003,5.1,15,2.96,8,1,2,3,0,1,2,0.39,2,0,0,0,0,0
Manuel Riemann,de GER,GK,Bochum,35-132,1988,17.0,20,1.18,13,7,0,0,0,0,3,0.18,2,1,0,0,0,0
Sebastian Rode,de GER,MF,Eint Frankfurt,33-100,1990,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rogério,br BRA,"DF,MF",Wolfsburg,26-006,1998,6.1,11,1.79,8,0,2,0,1,0,1,0.16,1,0,0,0,0,0
Merlin Röhl,de GER,"MF,FW",Freiburg,21-198,2002,9.5,22,2.33,16,0,1,5,0,0,6,0.63,4,0,1,1,0,0
Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,26-182,1997,0.8,3,3.55,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Anthony Rouault,fr FRA,DF,Stuttgart,22-235,2001,5.6,8,1.43,8,0,0,0,0,0,1,0.18,1,0,0,0,0,0
Jérôme Roussillon,fr FRA,DF,Union Berlin,31-013,1993,6.0,14,2.32,11,0,1,1,0,1,1,0.17,1,0,0,0,0,0
Fabian Rüdlin,de GER,MF,Freiburg,27-006,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julian Ryerson,no NOR,DF,Dortmund,26-063,1997,9.9,18,1.81,14,0,1,1,0,2,4,0.40,2,0,1,0,0,1
Frederik Rønnow,dk DEN,GK,Union Berlin,31-168,1992,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcel Sabitzer,at AUT,MF,Dortmund,29-308,1994,10.3,37,3.58,29,1,2,4,1,0,6,0.58,5,0,0,0,1,0
Roland Sallai,hu HUN,"FW,MF",Freiburg,26-242,1997,9.4,36,3.82,25,0,1,7,3,0,4,0.42,2,0,0,0,2,0
Diadie Samassékou,ml MLI,MF,Hoffenheim,28-008,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jadon Sancho,eng ENG,FW,Dortmund,23-300,2000,0.4,3,7.50,2,0,1,0,0,0,1,2.50,1,0,0,0,0,0
Leroy Sané,de GER,FW,Bayern Munich,28-008,1996,15.4,101,6.56,67,17,8,4,4,1,16,1.04,11,2,1,1,0,1
Amin Sarr,se SWE,"FW,MF",Wolfsburg,22-314,2001,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bouna Sarr,sn SEN,DF,Bayern Munich,31-353,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Scally,us USA,DF,M'Gladbach,21-019,2002,13.9,14,1.01,10,1,0,1,1,1,3,0.22,3,0,0,0,0,0
András Schäfer,hu HUN,MF,Union Berlin,24-281,1999,2.1,3,1.41,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrik Schick,cz CZE,FW,Leverkusen,27-360,1996,2.3,11,4.81,8,0,0,2,1,0,1,0.44,0,0,0,0,1,0
Stefan Schimmer,de GER,"MF,FW",Heidenheim,29-266,1994,0.8,2,2.43,1,0,0,0,0,1,1,1.22,1,0,0,0,0,0
Xaver Schlager,at AUT,MF,RB Leipzig,26-113,1997,14.7,44,2.99,40,0,1,0,3,0,2,0.14,2,0,0,0,0,0
Keven Schlotterbeck,de GER,DF,Bochum,26-266,1997,10.0,9,0.90,5,0,0,1,2,1,1,0.10,0,0,0,0,1,0
Nico Schlotterbeck,de GER,DF,Dortmund,24-049,1999,15.5,17,1.10,13,0,1,3,0,0,2,0.13,2,0,0,0,0,0
Romano Schmid,at AUT,MF,Werder Bremen,23-357,2000,13.8,58,4.20,47,3,2,1,4,1,9,0.65,9,0,0,0,0,0
Kenneth Schmidt,de GER,DF,Freiburg,21-230,2002,0.8,3,3.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benno Schmitz,de GER,DF,Köln,29-063,1994,6.0,10,1.67,6,2,1,1,0,0,1,0.17,0,1,0,0,0,0
Fabian Schnellhardt,de GER,MF,Darmstadt 98,30-007,1994,2.3,6,2.60,2,1,1,2,0,0,0,0.00,0,0,0,0,0,0
Jan Schöppner,de GER,MF,Heidenheim,24-221,1999,7.0,12,1.73,9,0,2,1,0,0,0,0.00,0,0,0,0,0,0
Marcel Schuhen,de GER,GK,Darmstadt 98,31-006,1993,16.0,5,0.31,3,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvin Schwäbe,de GER,GK,Köln,28-269,1995,17.0,2,0.12,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolas Seiwald,at AUT,MF,RB Leipzig,22-260,2001,1.6,1,0.61,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davie Selke,de GER,FW,Köln,28-364,1995,12.0,23,1.91,13,0,2,6,2,0,1,0.08,0,0,0,1,0,0
Benjamin Šeško,si SVN,FW,RB Leipzig,20-233,2003,4.6,14,3.00,10,0,4,0,0,0,2,0.43,1,0,1,0,0,0
Kevin Sessa,de GER,"MF,FW",Heidenheim,23-197,2000,2.9,8,2.74,4,1,0,1,2,0,1,0.34,1,0,0,0,0,0
Aaron Seydel,de GER,FW,Darmstadt 98,27-346,1996,2.9,5,1.74,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tim Siersleben,de GER,DF,Heidenheim,23-316,2000,9.0,7,0.78,5,0,0,1,0,1,1,0.11,0,0,0,0,0,1
Kiliann Sildillia,fr FRA,DF,Freiburg,21-248,2002,12.5,21,1.68,16,4,0,1,0,0,2,0.16,2,0,0,0,0,0
Mohamed Simakan,fr FRA,DF,RB Leipzig,23-261,2000,15.7,22,1.40,19,1,0,1,1,0,2,0.13,1,0,0,1,0,0
Xavi Simons,nl NED,MF,RB Leipzig,20-273,2003,15.1,87,5.77,53,11,9,7,7,0,12,0.80,9,0,1,2,0,0
Tim Skarke,de GER,"FW,MF",Darmstadt 98,27-134,1996,13.0,34,2.62,22,2,2,3,4,1,0,0.00,0,0,0,0,0,0
Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,28-254,1995,13.3,28,2.11,23,0,1,2,2,0,2,0.15,2,0,0,0,0,0
Robert Skov,dk DEN,"DF,FW",Hoffenheim,27-244,1996,9.3,28,3.02,19,5,0,1,3,0,5,0.54,4,0,0,0,1,0
Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,23-155,2000,2.8,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
