Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-205,2005,1.6,5,3.06,2,2,0,1,0,0,1,0.61,1,0,0,0,0,0
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-031,1993,9.3,16,1.72,15,0,0,1,0,0,1,0.11,1,0,0,0,0,0
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17.0,3,0.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Victor Boniface,ng NGA,FW,Leverkusen,23-027,2000,14.2,51,3.59,24,0,20,3,3,1,12,0.85,7,0,3,1,1,0
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,5.1,4,0.78,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,0.2,1,5.00,0,0,0,0,1,0,1,5.00,0,0,0,0,1,0
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-303,1999,6.4,1,0.16,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Rafael Borré,co COL,FW,Werder Bremen,28-126,1995,10.0,20,1.99,18,0,0,1,1,0,2,0.20,1,0,0,0,1,0
Julian Brandt,de GER,"MF,FW",Dortmund,27-262,1996,14.1,77,5.47,42,27,5,2,0,1,8,0.57,5,2,1,0,0,0
Tim Breithaupt,de GER,MF,Augsburg,21-346,2002,2.9,3,1.05,3,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Maximilian Breunig,de GER,FW,Freiburg,23-158,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
John Brooks,us USA,DF,Hoffenheim,30-356,1993,12.0,6,0.50,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moritz Broschinski,de GER,"FW,MF",Bochum,23-118,2000,3.4,2,0.59,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0
Alexander Brunst,de GER,GK,Darmstadt 98,28-196,1995,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Marius Bülter,de GER,"FW,DF",Hoffenheim,30-296,1993,9.6,31,3.24,25,0,1,3,2,0,4,0.42,4,0,0,0,0,0
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-192,2000,2.9,6,2.05,2,0,0,2,2,0,0,0.00,0,0,0,0,0,0
Oliver Burke,sct SCO,FW,Werder Bremen,26-287,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marnon Busch,de GER,DF,Heidenheim,29-042,1994,4.2,8,1.92,8,0,0,0,0,0,1,0.24,1,0,0,0,0,0
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-343,1997,10.8,22,2.04,19,0,1,2,0,0,3,0.28,2,0,0,1,0,0
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-164,2004,5.0,22,4.39,16,0,5,0,1,0,4,0.80,3,0,1,0,0,0
Anthony Caci,fr FRA,DF,Mainz 05,26-202,1997,13.8,20,1.45,14,3,1,1,1,0,2,0.15,2,0,0,0,0,0
Emre Can,de GER,"MF,DF",Dortmund,30-007,1994,11.6,27,2.33,23,1,0,1,1,1,3,0.26,3,0,0,0,0,0
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-164,1997,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rasmus Carstensen,dk DEN,"DF,FW",Köln,23-100,2000,12.7,28,2.20,22,2,3,1,0,0,2,0.16,1,0,1,0,0,0
Fabio Carvalho,pt POR,MF,RB Leipzig,21-142,2002,1.8,4,2.18,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
