Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluca Gaetano,it ITA,MF,Napoli,22,2000,8,0,76,0.8,1,1,2,1,0,0,0,0,1.1,1.1,0.2,1.2,4,4,9,1.18,1.18,2.37,1.18,2.37,1.42,0.22,1.64,1.42,1.64,Matches
Roberto Gagliardini,it ITA,MF,Inter,28,1994,19,7,783,8.7,0,0,0,0,0,0,5,1,0.9,0.9,0.3,1.1,20,39,22,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13,Matches
Adolfo Gaich,ar ARG,FW,Hellas Verona,23,1999,16,8,726,8.1,2,0,2,2,0,0,2,0,2.5,2.5,0.4,2.9,6,11,33,0.25,0.00,0.25,0.25,0.25,0.31,0.05,0.36,0.31,0.36,Matches
Pablo Galdames Millán,cl CHI,MF,Cremonese,25,1996,13,10,734,8.2,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,5,33,17,0.12,0.25,0.37,0.12,0.37,0.04,0.13,0.17,0.04,0.17,Matches
Antonino Gallo,it ITA,DF,Lecce,22,2000,32,28,"2,486",27.6,0,1,1,0,0,0,5,1,0.6,0.6,1.9,2.6,71,154,65,0.00,0.04,0.04,0.00,0.04,0.02,0.07,0.09,0.02,0.09,Matches
Federico Gatti,it ITA,DF,Juventus,24,1998,18,16,"1,448",16.1,0,0,0,0,0,0,4,0,0.6,0.6,1.5,2.0,18,56,13,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches
Valentin Gendrey,fr FRA,DF,Lecce,22,2000,37,35,"3,101",34.5,0,2,2,0,0,0,4,0,0.6,0.6,2.9,3.5,47,112,107,0.00,0.06,0.06,0.00,0.06,0.02,0.08,0.10,0.02,0.10,Matches
Paolo Ghiglione,it ITA,DF,Cremonese,25,1997,15,8,711,7.9,1,1,2,1,0,0,4,0,0.8,0.8,0.6,1.5,5,19,35,0.13,0.13,0.25,0.13,0.25,0.10,0.08,0.18,0.10,0.18,Matches
Mario Gila,es ESP,DF,Lazio,21,2000,4,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gvidas Gineitis,lt LTU,MF,Torino,18,2004,3,2,136,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,6,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Olivier Giroud,fr FRA,FW,Milan,35,1986,33,25,"2,139",23.8,13,5,18,10,3,3,8,1,12.7,10.4,4.0,14.4,12,36,152,0.55,0.21,0.76,0.42,0.63,0.53,0.17,0.70,0.44,0.61,Matches
Pierluigi Gollini,it ITA,GK,Fiorentina,27,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierluigi Gollini,it ITA,GK,Napoli,27,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joan Gonzàlez,es ESP,MF,Lecce,20,2002,35,26,"2,197",24.4,1,3,4,1,0,0,8,0,1.5,1.5,1.3,2.8,18,71,67,0.04,0.12,0.16,0.04,0.16,0.06,0.05,0.11,0.06,0.11,Matches
Nicolás González,ar ARG,"FW,MF",Fiorentina,24,1998,24,13,"1,354",15.0,6,1,7,4,2,2,3,0,6.7,5.4,1.3,6.7,37,70,112,0.40,0.07,0.47,0.27,0.33,0.45,0.09,0.53,0.36,0.45,Matches
Robin Gosens,de GER,DF,Inter,28,1994,32,11,"1,184",13.2,3,0,3,3,0,0,2,0,3.0,3.0,2.4,5.3,29,41,102,0.23,0.00,0.23,0.23,0.23,0.23,0.18,0.41,0.23,0.41,Matches
Alberto Grassi,it ITA,MF,Empoli,27,1995,25,14,"1,194",13.3,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,5,50,10,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Andrew Gravillon,gp GLP,DF,Torino,24,1998,7,4,312,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Axel Guessand,fr FRA,DF,Udinese,17,2004,1,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Koray Günter,de GER,DF,Hellas Verona,27,1994,13,11,"1,003",11.1,1,0,1,1,0,0,3,0,0.9,0.9,0.9,1.9,7,36,3,0.09,0.00,0.09,0.09,0.09,0.08,0.08,0.17,0.08,0.17,Matches
Koray Günter,de GER,DF,Sampdoria,27,1994,10,8,776,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Emmanuel Gyasi,gh GHA,"FW,DF",Spezia,28,1994,35,35,"2,810",31.2,2,0,2,2,0,0,10,0,4.0,4.0,1.9,5.9,35,52,154,0.06,0.00,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,Matches
Norbert Gyömbér,sk SVK,DF,Salernitana,30,1992,27,23,"1,740",19.3,0,1,1,0,0,0,5,0,0.7,0.7,0.6,1.4,5,45,2,0.00,0.05,0.05,0.00,0.05,0.04,0.03,0.07,0.04,0.07,Matches
Christian Gytkjær,dk DEN,"FW,MF",Monza,32,1990,22,3,559,6.2,1,0,1,1,0,1,0,0,3.9,3.1,0.3,3.4,1,6,32,0.16,0.00,0.16,0.16,0.16,0.63,0.05,0.68,0.51,0.55,Matches
Nicolas Haas,ch SUI,MF,Empoli,26,1996,24,12,"1,156",12.8,1,1,2,1,0,0,2,0,1.2,1.2,0.9,2.1,10,36,23,0.08,0.08,0.16,0.08,0.16,0.09,0.07,0.16,0.09,0.16,Matches
Samir Handanović,si SVN,GK,Inter,38,1984,14,14,"1,234",13.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Abdou Harroui,nl NED,MF,Sassuolo,24,1998,23,5,647,7.2,2,0,2,2,0,0,2,0,1.5,1.5,0.3,1.8,21,36,32,0.28,0.00,0.28,0.28,0.28,0.20,0.05,0.25,0.20,0.25,Matches
Hans Hateboer,nl NED,DF,Atalanta,28,1994,17,17,"1,397",15.5,1,1,2,1,0,0,7,0,1.3,1.3,1.5,2.8,16,55,73,0.06,0.06,0.13,0.06,0.13,0.09,0.10,0.18,0.09,0.18,Matches
Liam Henderson,sct SCO,MF,Empoli,26,1996,25,11,"1,007",11.2,0,1,1,0,0,0,9,0,0.5,0.5,1.4,1.9,11,38,38,0.00,0.09,0.09,0.00,0.09,0.04,0.12,0.17,0.04,0.17,Matches
Jack Hendry,sct SCO,DF,Cremonese,27,1995,4,2,220,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Matheus Henrique,br BRA,MF,Sassuolo,24,1997,30,21,"1,947",21.6,4,1,5,4,0,0,4,0,2.9,2.9,1.8,4.6,40,116,68,0.18,0.05,0.23,0.18,0.23,0.13,0.08,0.21,0.13,0.21,Matches
Thomas Henry,fr FRA,FW,Hellas Verona,27,1994,16,13,"1,030",11.4,2,0,2,2,0,0,4,0,1.7,1.7,1.1,2.8,3,18,58,0.17,0.00,0.17,0.17,0.17,0.15,0.09,0.24,0.15,0.24,Matches
Theo Hernández,fr FRA,DF,Milan,24,1997,32,32,"2,771",30.8,4,3,7,3,1,1,7,0,4.1,3.3,3.3,6.6,108,128,146,0.13,0.10,0.23,0.10,0.19,0.13,0.11,0.24,0.11,0.21,Matches
Isak Hien,se SWE,DF,Hellas Verona,23,1999,32,28,"2,607",29.0,0,0,0,0,0,0,9,0,0.3,0.3,0.1,0.4,17,54,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Morten Hjulmand,dk DEN,MF,Lecce,23,1999,35,34,"2,962",32.9,0,4,4,0,0,0,9,1,0.6,0.6,2.1,2.7,9,159,16,0.00,0.12,0.12,0.00,0.12,0.02,0.06,0.08,0.02,0.08,Matches
Emil Holm,se SWE,DF,Spezia,22,2000,20,17,"1,393",15.5,1,1,2,1,0,0,4,0,1.2,1.2,1.3,2.5,41,40,82,0.06,0.06,0.13,0.06,0.13,0.08,0.08,0.16,0.08,0.16,Matches
Martin Hongla,cm CMR,MF,Hellas Verona,24,1998,9,6,523,5.8,0,0,0,0,0,0,4,0,0.2,0.2,0.3,0.5,6,24,10,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petko Hristov,bg BUL,DF,Spezia,23,1999,9,4,365,4.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Ajdin Hrustic,au AUS,MF,Hellas Verona,26,1996,6,3,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,7,8,12,0.00,0.00,0.00,0.00,0.00,0.13,0.24,0.37,0.13,0.37,Matches
Elseid Hysaj,al ALB,DF,Lazio,28,1994,34,22,"1,998",22.2,1,1,2,1,0,0,3,0,0.2,0.2,1.1,1.3,36,103,60,0.05,0.05,0.09,0.05,0.09,0.01,0.05,0.06,0.01,0.06,Matches
Rasmus Højlund,dk DEN,FW,Atalanta,19,2003,32,20,"1,834",20.4,9,2,11,9,0,0,1,0,9.5,9.5,2.4,11.8,40,37,224,0.44,0.10,0.54,0.44,0.54,0.47,0.12,0.58,0.47,0.58,Matches
Roger Ibanez,br BRA,DF,Roma,23,1998,33,32,"2,796",31.1,3,0,3,3,0,0,11,1,3.0,3.0,0.6,3.5,24,77,9,0.10,0.00,0.10,0.10,0.10,0.10,0.02,0.11,0.10,0.11,Matches
Zlatan Ibrahimović,se SWE,FW,Milan,40,1981,4,1,146,1.6,1,0,1,0,1,1,0,0,1.2,0.4,0.2,0.6,0,4,10,0.62,0.00,0.62,0.00,0.00,0.72,0.11,0.84,0.24,0.35,Matches
Antonio Iervolino,it ITA,MF,Salernitana,19,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Igor,br BRA,DF,Fiorentina,24,1998,27,23,"2,057",22.9,0,0,0,0,0,0,10,1,0.5,0.5,0.2,0.8,19,76,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Jonathan Ikone,fr FRA,FW,Fiorentina,24,1998,33,24,"2,007",22.3,4,4,8,4,0,0,4,0,4.1,4.1,3.7,7.8,83,67,178,0.18,0.18,0.36,0.18,0.36,0.18,0.17,0.35,0.18,0.35,Matches
Ivan Ilić,rs SRB,MF,Hellas Verona,21,2001,11,10,851,9.5,0,1,1,0,0,0,1,0,0.4,0.4,1.0,1.4,18,39,20,0.00,0.11,0.11,0.00,0.11,0.04,0.10,0.14,0.04,0.14,Matches
Ivan Ilić,rs SRB,MF,Torino,21,2001,14,13,"1,177",13.1,2,2,4,2,0,0,3,0,0.2,0.2,1.1,1.3,29,66,28,0.15,0.15,0.31,0.15,0.31,0.02,0.08,0.10,0.02,0.10,Matches
Samuel Iling-Junior,eng ENG,"DF,FW",Juventus,18,2003,12,1,318,3.5,1,1,2,1,0,0,1,0,0.7,0.7,0.2,1.0,11,18,36,0.28,0.28,0.57,0.28,0.57,0.21,0.07,0.28,0.21,0.28,Matches
Emirhan İlkhan,tr TUR,MF,Torino,18,2004,4,1,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,8,3,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.14,0.05,0.14,Matches
Emirhan İlkhan,tr TUR,MF,Sampdoria,18,2004,8,0,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,8,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
Ciro Immobile,it ITA,FW,Lazio,32,1990,31,27,"2,219",24.7,12,5,17,8,4,5,3,0,14.2,10.3,1.9,12.2,40,43,174,0.49,0.20,0.69,0.32,0.53,0.57,0.08,0.65,0.42,0.49,Matches
Ardian Ismajli,al ALB,DF,Empoli,25,1996,25,22,"2,094",23.3,0,0,0,0,0,0,3,0,0.7,0.7,0.3,1.0,10,42,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Mihailo Ivanović,rs SRB,FW,Sampdoria,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Armando Izzo,it ITA,DF,Monza,30,1992,30,29,"2,466",27.4,1,0,1,1,0,0,10,0,2.1,2.1,0.9,3.1,22,96,29,0.04,0.00,0.04,0.04,0.04,0.08,0.03,0.11,0.08,0.11,Matches
Mato Jajalo,ba BIH,MF,Udinese,34,1988,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,Matches
Jesé,es ESP,FW,Sampdoria,29,1993,11,1,210,2.3,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,1,1,15,0.43,0.43,0.86,0.43,0.86,0.13,0.20,0.34,0.13,0.34,Matches
Juan Jesus,br BRA,DF,Napoli,31,1991,15,10,933,10.4,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,14,55,3,0.10,0.00,0.10,0.10,0.10,0.02,0.01,0.02,0.02,0.02,Matches
Þórir Jóhann Helgason,is ISL,MF,Lecce,21,2000,12,2,222,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.18,0.02,0.18,Matches
Luka Jović,rs SRB,"FW,MF",Fiorentina,24,1997,31,16,"1,534",17.0,6,3,9,6,0,1,3,0,7.9,7.1,1.5,8.6,8,28,75,0.35,0.18,0.53,0.35,0.53,0.46,0.09,0.55,0.42,0.51,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,22,2000,11,6,591,6.6,0,3,3,0,0,0,1,0,1.0,1.0,1.8,2.7,14,26,36,0.00,0.46,0.46,0.00,0.46,0.15,0.27,0.41,0.15,0.41,Matches
Yayah Kallon,sl SLE,"MF,FW",Hellas Verona,21,2001,22,8,860,9.6,1,1,2,1,0,0,1,0,1.7,1.7,1.5,3.2,33,22,64,0.10,0.10,0.21,0.10,0.21,0.17,0.16,0.33,0.17,0.33,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Kalulu,fr FRA,DF,Milan,22,2000,34,26,"2,548",28.3,1,0,1,1,0,0,4,0,1.5,1.5,1.2,2.8,52,138,43,0.04,0.00,0.04,0.04,0.04,0.05,0.04,0.10,0.05,0.10,Matches
Yann Karamoh,fr FRA,"MF,FW",Torino,24,1998,21,7,716,8.0,4,0,4,4,0,0,2,0,3.3,3.3,0.7,4.0,27,12,74,0.50,0.00,0.50,0.50,0.50,0.41,0.09,0.50,0.41,0.50,Matches
Rick Karsdorp,nl NED,DF,Roma,27,1995,13,8,711,7.9,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,16,24,33,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.19,0.03,0.19,Matches
Denso Kasius,nl NED,DF,Bologna,19,2002,7,4,342,3.8,0,2,2,0,0,0,1,0,0.1,0.1,0.7,0.8,9,9,21,0.00,0.53,0.53,0.00,0.53,0.03,0.18,0.21,0.03,0.21,Matches
Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,24,1998,28,13,"1,286",14.3,2,1,3,2,0,0,4,0,1.9,1.9,0.6,2.5,27,57,59,0.14,0.07,0.21,0.14,0.21,0.13,0.05,0.18,0.13,0.18,Matches
Moise Kean,it ITA,FW,Juventus,22,2000,28,11,995,11.1,6,0,6,6,0,0,5,1,6.3,6.3,1.1,7.4,30,13,76,0.54,0.00,0.54,0.54,0.54,0.57,0.10,0.67,0.57,0.67,Matches
Jakub Kiwior,pl POL,DF,Spezia,22,2000,17,17,"1,443",16.0,0,0,0,0,0,0,3,0,0.6,0.6,0.2,0.8,13,37,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Simon Kjær,dk DEN,DF,Milan,33,1989,17,12,"1,007",11.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,3,45,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Teun Koopmeiners,nl NED,MF,Atalanta,24,1998,33,32,"2,858",31.8,10,4,14,8,2,4,7,0,7.6,4.3,6.4,10.7,60,186,106,0.31,0.13,0.44,0.25,0.38,0.24,0.20,0.44,0.14,0.34,Matches
Filip Kostić,rs SRB,"DF,FW",Juventus,29,1992,37,33,"2,564",28.5,3,8,11,3,0,0,3,0,2.4,2.4,7.1,9.4,101,78,230,0.11,0.28,0.39,0.11,0.39,0.08,0.25,0.33,0.08,0.33,Matches
Christian Kouamé,ci CIV,FW,Fiorentina,24,1997,28,22,"1,866",20.7,4,4,8,4,0,0,5,0,5.3,5.3,3.7,9.0,50,54,203,0.19,0.19,0.39,0.19,0.39,0.26,0.18,0.43,0.26,0.43,Matches
Viktor Kovalenko,ua UKR,MF,Spezia,26,1996,18,7,548,6.1,0,0,0,0,0,0,1,0,1.6,1.6,0.6,2.2,4,22,28,0.00,0.00,0.00,0.00,0.00,0.26,0.09,0.36,0.26,0.36,Matches
Julian Kristoffersen,no NOR,FW,Salernitana,25,1997,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Raimonds Krollis,lv LVA,"FW,DF",Spezia,20,2001,4,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.24,0.06,0.31,0.24,0.31,Matches
Rade Krunić,ba BIH,MF,Milan,28,1993,23,18,"1,657",18.4,0,1,1,0,0,0,8,0,1.1,1.1,1.1,2.2,31,73,21,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12,Matches
Marash Kumbulla,al ALB,DF,Roma,22,2000,7,5,259,2.9,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Khvicha Kvaratskhelia,ge GEO,FW,Napoli,21,2001,34,30,"2,518",28.0,12,10,22,10,2,2,1,0,8.2,6.6,7.7,14.2,139,91,291,0.43,0.36,0.79,0.36,0.71,0.29,0.27,0.56,0.23,0.51,Matches
Giorgos Kyriakopoulos,gr GRE,"DF,FW",Bologna,26,1996,12,8,704,7.8,0,2,2,0,0,0,2,0,0.2,0.2,0.8,1.0,21,23,50,0.00,0.26,0.26,0.00,0.26,0.03,0.10,0.13,0.03,0.13,Matches
Giorgos Kyriakopoulos,gr GRE,"FW,DF",Sassuolo,26,1996,12,9,766,8.5,1,1,2,1,0,0,3,0,1.1,1.1,1.4,2.5,17,32,46,0.12,0.12,0.23,0.12,0.23,0.13,0.17,0.29,0.13,0.29,Matches
Sam Lammers,nl NED,FW,Sampdoria,25,1997,19,13,"1,100",12.2,1,1,2,1,0,0,1,0,2.5,2.5,1.2,3.7,17,19,65,0.08,0.08,0.16,0.08,0.16,0.20,0.10,0.30,0.20,0.30,Matches
Sam Lammers,nl NED,FW,Empoli,25,1997,14,10,883,9.8,1,1,2,1,0,0,0,0,2.3,2.3,0.7,2.9,9,19,67,0.10,0.10,0.20,0.10,0.20,0.23,0.07,0.30,0.23,0.30,Matches
Kevin Lasagna,it ITA,"FW,MF",Hellas Verona,29,1992,26,17,"1,572",17.5,1,2,3,1,0,0,2,0,6.0,6.0,1.7,7.7,36,19,105,0.06,0.11,0.17,0.06,0.17,0.35,0.09,0.44,0.35,0.44,Matches
Armand Lauriente,fr FRA,FW,Sassuolo,23,1998,28,27,"2,175",24.2,7,6,13,6,1,1,10,1,4.7,3.9,6.2,10.1,127,90,263,0.29,0.25,0.54,0.25,0.50,0.19,0.26,0.45,0.16,0.42,Matches
Valentino Lazaro,at AUT,DF,Torino,26,1996,23,15,"1,373",15.3,0,3,3,0,0,0,4,0,0.4,0.4,2.7,3.1,44,74,84,0.00,0.20,0.20,0.00,0.20,0.03,0.18,0.21,0.03,0.21,Matches
Marko Lazetić,rs SRB,FW,Milan,18,2004,1,0,9,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.63,0.63,0.63,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darko Lazović,rs SRB,"MF,DF",Hellas Verona,31,1990,30,27,"2,242",24.9,4,5,9,4,0,0,0,0,3.6,3.6,6.4,10.0,72,81,167,0.16,0.20,0.36,0.16,0.36,0.14,0.26,0.40,0.14,0.40,Matches
Manuel Lazzari,it ITA,DF,Lazio,28,1993,28,22,"1,879",20.9,0,0,0,0,0,0,8,0,0.3,0.3,0.7,1.0,98,64,74,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Rafael Leão,pt POR,"FW,MF",Milan,23,1999,35,28,"2,421",26.9,15,8,23,15,0,0,7,1,10.8,10.8,7.0,17.9,136,122,235,0.56,0.30,0.86,0.56,0.86,0.40,0.26,0.66,0.40,0.66,Matches
Mehdi Léris,dz ALG,"MF,DF",Sampdoria,24,1998,32,29,"2,460",27.3,1,1,2,1,0,0,13,0,3.4,3.4,1.8,5.2,56,62,165,0.04,0.04,0.07,0.04,0.07,0.13,0.07,0.19,0.13,0.19,Matches
Karol Linetty,pl POL,MF,Torino,27,1995,32,22,"1,886",21.0,1,0,1,1,0,0,8,0,1.0,1.0,0.9,1.9,27,73,32,0.05,0.00,0.05,0.05,0.05,0.05,0.04,0.09,0.05,0.09,Matches
Marcin Listkowski,pl POL,"MF,FW",Lecce,24,1998,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,1,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Diego Llorente,es ESP,DF,Roma,28,1993,9,5,573,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,2,12,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Stanislav Lobotka,sk SVK,MF,Napoli,27,1994,38,34,"3,101",34.5,1,1,2,1,0,0,2,0,0.6,0.6,1.0,1.6,51,172,39,0.03,0.03,0.06,0.03,0.06,0.02,0.03,0.05,0.02,0.05,Matches
Manuel Locatelli,it ITA,MF,Juventus,24,1998,32,29,"2,446",27.2,0,2,2,0,0,0,8,0,1.5,1.5,1.8,3.2,25,134,37,0.00,0.07,0.07,0.00,0.07,0.05,0.07,0.12,0.05,0.12,Matches
Luka Lochoshvili,ge GEO,DF,Cremonese,24,1998,25,22,"1,839",20.4,1,2,3,1,0,0,4,0,0.6,0.6,1.1,1.7,17,70,5,0.05,0.10,0.15,0.05,0.15,0.03,0.05,0.08,0.03,0.08,Matches
Ademola Lookman,ng NGA,"FW,MF",Atalanta,24,1997,31,20,"1,729",19.2,13,6,19,10,3,3,3,0,9.1,6.7,6.6,13.3,73,79,185,0.68,0.31,0.99,0.52,0.83,0.47,0.34,0.82,0.35,0.69,Matches
Maxime Lopez,fr FRA,MF,Sassuolo,24,1997,30,25,"2,296",25.5,0,0,0,0,0,0,11,0,1.0,1.0,2.1,3.1,54,210,40,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
Matteo Lovato,it ITA,DF,Salernitana,22,2000,17,8,814,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sandi Lovrić,si SVN,MF,Udinese,24,1998,37,28,"2,335",25.9,5,6,11,5,0,0,4,0,4.8,4.8,3.2,8.0,42,105,90,0.19,0.23,0.42,0.19,0.42,0.18,0.12,0.31,0.18,0.31,Matches
Hirving Lozano,mx MEX,FW,Napoli,27,1995,32,20,"1,605",17.8,3,3,6,2,1,1,3,0,5.4,4.6,3.3,7.9,86,49,190,0.17,0.17,0.34,0.11,0.28,0.30,0.19,0.49,0.26,0.45,Matches
Jhon Lucumí,co COL,DF,Bologna,24,1998,33,33,"2,900",32.2,0,1,1,0,0,0,8,0,0.7,0.7,0.4,1.0,37,84,6,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.03,0.02,0.03,Matches
José Luis Palomino,ar ARG,DF,Atalanta,32,1990,15,8,759,8.4,1,0,1,1,0,0,4,0,0.5,0.5,0.3,0.8,3,29,3,0.12,0.00,0.12,0.12,0.12,0.06,0.03,0.10,0.06,0.10,Matches
Romelu Lukaku,be BEL,FW,Inter,29,1993,25,19,"1,660",18.4,10,6,16,8,2,2,1,0,9.0,7.4,4.1,11.5,34,41,159,0.54,0.33,0.87,0.43,0.76,0.49,0.22,0.71,0.40,0.62,Matches
Saša Lukić,rs SRB,MF,Torino,25,1996,16,13,"1,195",13.3,2,0,2,1,1,1,4,0,1.7,0.9,1.4,2.3,26,44,33,0.15,0.00,0.15,0.08,0.08,0.13,0.11,0.23,0.07,0.18,Matches
Sebastiano Luperto,it ITA,DF,Empoli,25,1996,36,36,"3,135",34.8,2,0,2,2,0,0,4,2,1.2,1.2,0.6,1.9,13,72,3,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.05,0.04,0.05,Matches
Charalambos Lykogiannis,gr GRE,DF,Bologna,28,1993,21,11,"1,108",12.3,2,0,2,2,0,0,3,0,0.8,0.8,1.5,2.3,32,60,47,0.16,0.00,0.16,0.16,0.16,0.06,0.12,0.19,0.06,0.19,Matches
Giulio Maggiore,it ITA,MF,Salernitana,24,1998,16,11,894,9.9,0,0,0,0,0,0,2,0,0.5,0.5,0.5,0.9,7,53,13,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Giangiacomo Magnani,it ITA,DF,Hellas Verona,26,1995,24,19,"1,532",17.0,0,1,1,0,0,0,7,1,0.5,0.5,0.2,0.7,5,32,5,0.00,0.06,0.06,0.00,0.06,0.03,0.01,0.04,0.03,0.04,Matches
Mike Maignan,fr FRA,GK,Milan,27,1995,22,22,"1,978",22.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,Matches
