Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Colpani,it ITA,MF,Monza,23,1999,27,10,948,10.5,4,1,5,4,0,0,1,0,2.1,2.1,1.9,4.1,31,51,69,0.38,0.09,0.47,0.38,0.47,0.20,0.18,0.39,0.20,0.39,Matches
Andrea Consigli,it ITA,GK,Sassuolo,35,1987,35,35,"3,150",35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Andrea Conti,it ITA,DF,Sampdoria,28,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Diego Coppola,it ITA,DF,Hellas Verona,18,2003,19,11,"1,177",13.1,0,0,0,0,0,0,5,0,0.3,0.3,0.0,0.3,9,42,8,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Alex Cordaz,it ITA,GK,Inter,39,1983,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joaquín Correa,ar ARG,FW,Inter,27,1994,26,12,950,10.6,3,1,4,3,0,0,1,0,3.4,3.4,1.3,4.7,19,29,61,0.28,0.09,0.38,0.28,0.38,0.33,0.12,0.45,0.33,0.45,Matches
Alessandro Cortinovis,it ITA,MF,Hellas Verona,21,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lassana Coulibaly,ml MLI,MF,Salernitana,26,1996,35,34,"2,892",32.1,3,3,6,3,0,0,12,0,0.8,0.8,1.8,2.6,52,120,59,0.09,0.09,0.19,0.09,0.19,0.03,0.06,0.08,0.03,0.08,Matches
Alessio Cragno,it ITA,GK,Monza,28,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bryan Cristante,it ITA,"MF,DF",Roma,27,1995,36,34,"2,938",32.6,1,1,2,1,0,1,8,1,2.6,1.9,1.4,3.3,16,142,27,0.03,0.03,0.06,0.03,0.06,0.08,0.04,0.12,0.06,0.10,Matches
Domen Črnigoj,si SVN,MF,Salernitana,26,1995,7,4,296,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,3,9,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches
