Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Borna Sosa,hr CRO,"FW,DF",Stuttgart,25-363,1998,2,46,23,3.0,0.5,0,,0,2,23,0,1.50,0,4,-4,-7.83,-9.04,0.4,0.8,-0.4,-0.76,-1.98
Anton Stach,de GER,MF,Hoffenheim,25-065,1998,14,"1,123",80,73.4,12.5,12,86,8,2,46,0,1.29,20,27,-7,-0.56,-1.89,19.5,22.0,-2.5,-0.20,-0.22
Anton Stach,de GER,MF,Mainz 05,25-065,1998,2,170,85,11.1,1.9,2,85,1,0,,0,0.50,2,4,-2,-1.06,-0.20,2.7,2.3,+0.4,+0.21,+0.37
Jens Stage,dk DEN,MF,Werder Bremen,27-072,1996,17,"1,432",84,93.6,15.9,16,88,11,1,32,0,1.00,20,27,-7,-0.44,-0.44,20.2,27.3,-7.1,-0.44,-0.31
Josip Stanišić,hr CRO,DF,Leverkusen,23-292,2000,7,345,49,22.5,3.8,3,89,2,4,20,8,3.00,9,3,+6,+1.57,-0.64,8.6,3.7,+5.0,+1.30,+0.18
Niklas Stark,de GER,DF,Werder Bremen,28-280,1995,9,666,74,43.5,7.4,7,90,7,2,18,2,1.22,13,10,+3,+0.41,+1.45,13.5,10.3,+3.2,+0.44,+1.53
Pascal Stenzel,de GER,DF,Stuttgart,27-305,1996,12,803,67,52.5,8.9,11,72,1,1,9,4,2.25,23,11,+12,+1.34,+0.85,18.7,9.6,+9.1,+1.02,-0.29
Leonidas Stergiou,ch SUI,DF,Stuttgart,21-322,2002,5,43,9,2.8,0.5,0,,0,5,9,10,1.40,0,1,-1,-2.09,-3.12,1.6,0.5,+1.2,+2.48,+1.36
Angelo Stiller,de GER,MF,Hoffenheim,22-290,2001,1,84,84,5.5,0.9,1,84,0,0,,0,0.00,1,2,-1,-1.07,-1.07,1.2,2.5,-1.3,-1.42,-1.35
Angelo Stiller,de GER,MF,Stuttgart,22-290,2001,15,"1,280",85,83.7,14.2,14,90,14,1,20,0,2.07,31,17,+14,+0.98,+0.26,32.1,16.2,+15.8,+1.11,-0.29
