Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,5.1,248,236,11,7,0,1,6,4,0,0,0,0,190,1,0
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,0.2,11,11,0,0,0,0,3,0,0,0,0,0,7,0,2
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-303,1999,6.4,341,322,19,14,0,0,1,0,0,0,0,0,300,0,1
Rafael Borré,co COL,FW,Werder Bremen,28-126,1995,10.0,272,258,12,0,2,4,12,3,0,0,0,0,206,2,7
Julian Brandt,de GER,"MF,FW",Dortmund,27-262,1996,14.1,689,584,103,25,3,6,102,12,64,29,29,1,532,2,12
Tim Breithaupt,de GER,MF,Augsburg,21-346,2002,2.9,99,95,3,0,0,0,0,0,0,0,0,0,76,1,3
Maximilian Breunig,de GER,FW,Freiburg,23-158,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Brooks,us USA,DF,Hoffenheim,30-356,1993,12.0,583,534,49,27,0,2,2,1,0,0,0,0,482,0,8
Moritz Broschinski,de GER,"FW,MF",Bochum,23-118,2000,3.4,40,39,1,0,0,0,2,0,0,0,0,0,25,0,2
Alexander Brunst,de GER,GK,Darmstadt 98,28-196,1995,1.0,47,30,17,8,0,1,0,0,0,0,0,0,22,0,0
Marius Bülter,de GER,"FW,DF",Hoffenheim,30-296,1993,9.6,429,355,74,3,1,2,52,69,2,1,0,0,296,0,23
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-192,2000,2.9,64,63,1,0,0,1,7,1,0,0,0,0,40,0,5
Oliver Burke,sct SCO,FW,Werder Bremen,26-287,1997,0.4,12,8,4,0,0,0,2,4,0,0,0,0,6,0,0
Marnon Busch,de GER,DF,Heidenheim,29-042,1994,4.2,256,200,56,6,0,2,14,50,0,0,0,0,185,0,9
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-343,1997,10.8,613,511,102,5,1,1,30,97,0,0,0,0,482,0,16
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-164,2004,5.0,155,152,3,0,1,1,5,3,0,0,0,0,114,0,8
Anthony Caci,fr FRA,DF,Mainz 05,26-202,1997,13.8,769,658,109,24,0,9,25,79,5,4,0,0,556,2,22
Emre Can,de GER,"MF,DF",Dortmund,30-007,1994,11.6,739,710,29,24,3,6,1,3,0,0,0,0,632,0,8
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-164,1997,0.6,15,10,5,0,0,0,6,2,3,0,3,0,8,0,0
