Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Christoph Klarer,at AUT,DF,Darmstadt 98,23-219,2000,14.0,703,676,27,23,0,7,7,4,0,0,0,0,602,0,9
Tim Kleindienst,de GER,FW,Heidenheim,28-141,1995,16.5,459,432,27,0,1,3,10,6,0,0,0,0,273,0,26
Lukas Klostermann,de GER,DF,RB Leipzig,27-230,1996,9.7,788,773,14,10,3,4,6,4,0,0,0,0,711,1,6
Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,22-009,2002,9.9,321,301,20,2,2,0,23,18,0,0,0,0,199,0,22
Robin Knoche,de GER,DF,Union Berlin,31-242,1992,12.6,724,697,26,21,0,2,1,4,0,0,0,0,611,1,1
Gregor Kobel,ch SUI,GK,Dortmund,26-044,1997,16.3,701,544,155,38,0,0,0,0,0,0,0,0,574,2,0
Robin Koch,de GER,DF,Eint Frankfurt,27-186,1996,14.7,990,947,43,32,2,0,0,2,0,0,0,0,870,0,6
Dominik Kohr,de GER,"MF,DF",Mainz 05,29-353,1994,12.4,651,625,25,21,0,5,8,3,0,0,0,0,505,1,15
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,25-045,1998,1.7,26,25,1,0,0,0,0,0,0,0,0,0,17,0,1
Kouadio Koné,fr FRA,MF,M'Gladbach,22-247,2001,7.8,280,275,5,4,0,1,0,0,0,0,0,0,244,0,7
Odilon Kossonou,ci CIV,DF,Leverkusen,23-015,2001,13.4,920,867,52,20,4,4,1,32,0,0,0,0,815,1,12
Dawid Kownacki,pl POL,FW,Werder Bremen,26-311,1997,2.6,67,64,3,0,0,0,2,2,0,0,0,0,42,0,2
Alex Král,cz CZE,MF,Union Berlin,25-245,1998,9.5,303,286,15,3,1,2,5,0,0,0,0,0,218,2,5
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,32-214,1991,11.1,509,416,90,24,2,1,54,13,36,16,14,0,400,3,15
Christoph Kramer,de GER,MF,M'Gladbach,32-334,1991,2.0,137,132,4,3,0,0,2,0,1,0,0,0,109,1,4
Frans Krätzig,de GER,DF,Bayern Munich,21-005,2003,0.6,50,45,5,0,1,1,0,5,0,0,0,0,45,0,0
Tom Krauß,de GER,MF,Mainz 05,22-211,2001,9.7,392,376,14,12,1,2,5,1,0,0,0,0,289,2,15
Lukas Kübler,de GER,DF,Freiburg,31-142,1992,9.5,404,318,84,4,0,1,7,80,0,0,0,0,316,2,2
Moritz-Broni Kwarteng,gh GHA,"FW,MF",Bochum,25-266,1998,1.8,48,47,1,0,0,0,2,0,1,0,0,0,33,0,1
Maxence Lacroix,fr FRA,DF,Wolfsburg,23-288,2000,13.2,827,776,49,37,0,12,5,1,0,0,0,0,715,2,6
Aïssa Laïdouni,tn TUN,MF,Union Berlin,27-037,1996,8.0,350,337,12,2,0,0,13,1,0,0,0,0,276,1,9
Konrad Laimer,at AUT,"DF,MF",Bayern Munich,26-237,1997,12.1,878,785,90,15,0,3,21,71,4,0,0,0,765,3,19
Hugo Larsson,se SWE,MF,Eint Frankfurt,19-206,2004,13.8,635,624,9,6,0,1,3,3,0,0,0,0,555,2,6
Diogo Leite,pt POR,DF,Union Berlin,24-361,1999,15.6,911,849,55,27,1,2,4,7,0,0,0,0,743,7,9
Maxim Leitsch,de GER,DF,Mainz 05,25-246,1998,4.1,155,154,1,1,0,0,0,0,0,0,0,0,118,0,0
Christopher Lenz,de GER,"DF,MF",RB Leipzig,29-119,1994,0.4,40,31,9,2,0,0,2,6,1,0,0,0,34,0,1
Christopher Lenz,de GER,DF,Eint Frankfurt,29-119,1994,0.1,9,6,3,2,0,0,0,1,0,0,0,0,5,0,0
Jamie Leweling,de GER,"MF,FW",Stuttgart,22-327,2001,6.6,220,213,7,0,1,2,23,6,1,0,0,0,170,0,8
Philipp Lienhart,at AUT,DF,Freiburg,27-192,1996,13.7,964,897,64,31,2,8,4,16,0,0,0,0,797,3,6
Matthijs de Ligt,nl NED,DF,Bayern Munich,24-160,1999,4.1,284,280,4,3,0,1,0,0,0,0,0,0,264,0,1
Jesper Lindstrøm,dk DEN,FW,Eint Frankfurt,23-324,2000,0.9,32,31,1,0,0,0,1,0,0,0,0,0,24,0,0
Dejan Ljubicic,at AUT,"MF,FW",Köln,26-103,1997,12.3,507,502,3,0,3,2,18,2,0,0,0,0,402,2,14
Noah Loosli,ch SUI,"DF,MF",Bochum,26-361,1997,1.8,67,65,1,0,0,0,0,1,0,0,0,0,49,1,2
Anthony Losilla,fr FRA,MF,Bochum,37-315,1986,14.5,490,480,9,3,1,0,5,1,0,0,0,0,368,1,6
Castello Lukeba,fr FRA,DF,RB Leipzig,21-033,2002,11.0,836,818,18,16,0,8,2,2,0,0,0,0,760,0,5
Senne Lynen,be BEL,MF,Werder Bremen,24-334,1999,5.0,210,197,12,10,1,1,1,0,0,0,0,0,173,1,3
Ian Maatsen,nl NED,DF,Dortmund,21-315,2002,1.0,59,49,10,0,0,1,1,10,0,0,0,0,56,0,0
Matej Maglica,hr CRO,DF,Darmstadt 98,25-116,1998,9.2,507,489,17,15,0,5,4,2,0,0,0,0,393,1,4
Arne Maier,de GER,"MF,DF",Augsburg,25-011,1999,1.0,58,46,11,4,0,0,10,5,2,0,2,0,42,1,0
Linton Maina,de GER,"FW,MF",Köln,24-210,1999,11.8,358,336,21,0,0,0,47,19,2,0,1,0,252,1,22
Patrick Mainka,de GER,DF,Heidenheim,29-074,1994,17.0,805,790,14,10,0,2,0,4,0,0,0,0,681,1,6
Lovro Majer,hr CRO,"MF,FW",Wolfsburg,26-002,1998,13.5,537,505,30,11,1,1,33,1,17,6,9,0,386,2,24
Jordy Makengo,fr FRA,DF,Freiburg,22-169,2001,4.4,251,214,37,3,0,1,13,34,0,0,0,0,203,0,6
Donyell Malen,nl NED,"FW,MF",Dortmund,25-010,1999,11.6,316,302,11,3,5,2,25,3,4,0,0,0,230,3,13
Lennard Maloney,us USA,MF,Heidenheim,24-103,1999,15.8,618,602,14,11,0,9,3,3,0,0,0,0,465,2,10
David Mamutovic,de GER,DF,Mainz 05,23-045,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Braydon Manu,gh GHA,MF,Darmstadt 98,26-297,1997,0.9,17,16,1,0,0,0,2,1,0,0,0,0,13,0,2
Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,24-346,1999,12.0,265,221,43,6,0,3,18,2,9,4,4,0,186,1,16
Eric Martel,de GER,MF,Köln,21-265,2002,13.4,574,565,7,5,0,0,13,2,0,0,0,0,467,2,13
Erhan Mašović,rs SRB,DF,Bochum,25-058,1998,13.4,408,392,15,13,1,2,0,2,0,0,0,0,319,1,3
Roberto Massimo,de GER,"DF,FW",Stuttgart,23-099,2000,0.7,33,28,5,0,0,0,0,5,0,0,0,0,26,0,3
Philipp Max,de GER,"DF,MF",Eint Frankfurt,30-111,1993,9.3,534,440,93,11,0,2,26,74,8,1,5,0,447,1,8
Eric Maxim Choupo-Moting,cm CMR,"MF,FW",Bayern Munich,34-302,1989,3.7,134,127,7,0,2,0,3,0,0,0,0,0,109,0,8
Noussair Mazraoui,ma MAR,DF,Bayern Munich,26-066,1997,9.1,707,627,78,9,0,0,14,69,0,0,0,0,623,2,18
Kevin Mbabu,ch SUI,DF,Augsburg,28-275,1995,8.9,353,265,86,2,0,1,34,84,0,0,0,0,222,2,15
Noah Mbamba,be BEL,MF,Leverkusen,19-014,2005,0.2,19,19,0,0,0,0,1,0,0,0,0,0,18,0,0
Nathanael Mbuku,fr FRA,FW,Augsburg,21-309,2002,0.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Marvin Mehlem,de GER,MF,Darmstadt 98,26-130,1997,10.8,390,361,27,4,2,0,10,7,1,0,0,0,299,2,12
Thomas Meunier,be BEL,DF,Dortmund,32-129,1991,3.9,274,233,40,5,0,1,11,35,0,0,0,0,218,1,4
Alexander Meyer,de GER,GK,Dortmund,32-281,1991,0.7,28,19,9,2,0,0,0,0,0,0,0,0,26,0,0
Sven Michel,de GER,"FW,MF",Augsburg,33-188,1990,4.9,117,101,13,0,2,0,2,1,0,0,0,0,71,3,6
Enzo Millot,fr FRA,"MF,FW",Stuttgart,21-186,2002,12.4,705,672,32,8,6,3,29,0,12,5,3,0,585,1,19
Jovan Milošević,rs SRB,FW,Stuttgart,18-172,2005,0.3,10,9,1,0,0,0,0,1,0,0,0,0,6,0,1
Kim Min-jae,kr KOR,DF,Bayern Munich,27-065,1996,14.6,1494,1446,46,15,3,9,1,2,0,0,0,0,1386,2,5
Maximilian Mittelstädt,de GER,DF,Stuttgart,26-307,1997,8.3,642,573,66,7,2,3,26,59,0,0,0,0,556,3,10
Youssoufa Moukoko,de GER,FW,Dortmund,19-060,2004,1.8,35,32,3,0,0,0,4,0,0,0,0,0,29,0,1
Andreas Müller,de GER,MF,Darmstadt 98,23-183,2000,0.6,22,22,0,0,0,0,0,0,0,0,0,0,12,0,1
Jannik Müller,de GER,DF,Darmstadt 98,30-001,1994,6.7,303,290,13,1,0,2,3,12,0,0,0,0,238,0,6
Kevin Müller,de GER,GK,Heidenheim,32-310,1991,17.0,751,539,211,58,0,1,0,0,0,0,0,0,553,1,0
Marcus Müller,de GER,MF,Mainz 05,21-152,2002,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Thomas Müller,de GER,"MF,FW",Bayern Munich,34-128,1989,6.4,260,247,12,0,5,1,23,11,0,0,0,0,189,1,8
Jamal Musiala,de GER,"MF,FW",Bayern Munich,20-327,2003,8.2,308,301,2,0,6,0,3,1,0,0,0,0,250,5,12
Phillipp Mwene,at AUT,"DF,FW",Mainz 05,29-355,1994,9.3,466,339,123,12,0,0,53,85,26,5,16,0,314,4,15
Joakim Mæhle,dk DEN,DF,Wolfsburg,26-244,1997,15.0,882,714,164,16,0,4,27,148,0,0,0,0,719,4,26
Nathan N'Goumou,fr FRA,"FW,MF",M'Gladbach,23-311,2000,7.6,198,195,2,1,0,1,9,0,0,0,0,0,152,1,4
Stanley N'Soki,fr FRA,DF,Hoffenheim,24-285,1999,1.3,55,51,4,4,0,0,0,0,0,0,0,0,40,0,2
Luca Netz,de GER,DF,M'Gladbach,20-249,2003,13.5,613,503,107,10,1,0,35,87,10,2,8,0,462,3,16
Manuel Neuer,de GER,GK,Bayern Munich,37-298,1986,8.0,338,296,42,3,0,2,0,0,0,0,0,0,291,0,0
Florian Neuhaus,de GER,MF,M'Gladbach,26-309,1997,6.7,289,282,6,5,3,7,4,1,0,0,0,0,250,1,4
Jessic Ngankam,de GER,FW,Eint Frankfurt,23-183,2000,3.1,43,41,2,0,0,0,0,0,0,0,0,0,31,0,2
Moritz Nicolas,de GER,GK,M'Gladbach,26-090,1997,15.0,587,462,121,32,0,0,0,0,0,0,0,0,454,4,0
Justin Njinmah,de GER,"FW,MF",Werder Bremen,23-065,2000,4.8,93,91,1,0,1,0,4,1,0,0,0,0,59,1,4
Niels Nkounkou,fr FRA,"DF,MF",Eint Frankfurt,23-079,2000,5.6,318,255,63,5,2,1,16,56,2,0,0,0,227,0,17
Felix Nmecha,de GER,MF,Dortmund,23-101,2000,6.7,256,250,6,6,0,3,1,0,0,0,0,0,212,0,5
Alexander Nübel,de GER,GK,Stuttgart,27-111,1996,17.0,670,572,96,23,0,0,0,0,0,0,0,0,555,2,0
Fabian Nürnberger,de GER,"DF,MF",Darmstadt 98,24-175,1999,10.6,567,466,99,19,1,6,48,69,11,2,8,1,452,2,9
Tim Oermann,de GER,"DF,MF",Bochum,20-105,2003,1.2,45,42,1,0,0,0,0,1,0,0,0,0,30,2,0
Masaya Okugawa,jp JPN,"FW,DF",Augsburg,27-280,1996,0.4,11,9,2,0,0,0,0,2,0,0,0,0,7,0,0
Finn Ole Becker,de GER,MF,Hoffenheim,23-225,2000,3.9,198,186,11,2,0,1,7,4,5,4,0,0,156,1,3
Mathias Olesen,lu LUX,"MF,FW",Köln,22-304,2001,1.2,53,52,0,0,0,0,1,0,0,0,0,0,42,1,2
Dani Olmo,es ESP,"MF,FW",RB Leipzig,25-257,1998,3.4,142,139,2,1,3,1,7,1,0,0,0,0,108,1,6
Jonas Omlin,ch SUI,GK,M'Gladbach,30-009,1994,2.0,77,60,17,7,0,0,0,0,0,0,0,0,53,0,0
Karim Onisiwo,at AUT,"FW,MF",Mainz 05,31-308,1992,9.9,218,193,24,0,1,0,14,4,0,0,0,0,140,1,18
Loïs Openda,be BEL,FW,RB Leipzig,23-337,2000,14.9,244,234,10,0,3,0,18,3,0,0,0,0,157,0,14
Leon Opitz,de GER,"FW,DF",Werder Bremen,18-283,2005,0.2,10,8,2,0,0,1,2,2,0,0,0,0,4,0,1
Willi Orban,hu HUN,DF,RB Leipzig,31-077,1992,3.0,283,274,8,7,0,0,0,1,0,0,0,0,252,1,1
Ivan Ordets,ua UKR,DF,Bochum,31-195,1992,8.4,301,296,2,1,0,1,1,1,0,0,0,0,229,3,3
Patrick Osterhage,de GER,"MF,DF",Bochum,23-352,2000,9.6,388,377,10,5,3,0,5,4,1,1,0,0,312,1,16
Salih Özcan,tr TUR,MF,Dortmund,26-008,1998,7.1,419,398,21,15,3,3,0,6,0,0,0,0,367,0,7
Willian Pacho,ec ECU,DF,Eint Frankfurt,22-095,2001,17.0,1180,1121,53,24,2,4,2,12,0,0,0,0,987,6,12
Gonçalo Paciência,pt POR,FW,Bochum,29-171,1994,5.3,127,116,8,3,1,0,7,0,2,1,1,0,79,3,7
Exequiel Palacios,ar ARG,MF,Leverkusen,25-106,1998,14.4,1449,1409,36,17,4,4,5,7,1,0,0,0,1330,4,16
Miloš Pantović,rs SRB,MF,Union Berlin,27-196,1996,0.2,7,7,0,0,0,0,0,0,0,0,0,0,4,0,1
Antonios Papadopoulos,de GER,DF,Dortmund,24-131,1999,0.3,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
Matondo-Merveille Papela,de GER,"MF,DF",Mainz 05,23-001,2001,2.2,66,60,5,1,1,0,1,4,0,0,0,0,45,1,3
Leart Paqarada,xk KVX,DF,Köln,29-103,1994,9.6,598,459,135,15,0,6,68,88,32,21,7,0,418,4,30
Kevin Paredes,us USA,"MF,FW",Wolfsburg,20-257,2003,3.9,147,137,10,3,0,0,5,6,1,0,1,0,119,0,2
Felix Passlack,de GER,DF,Bochum,25-235,1998,4.8,203,157,41,0,0,0,14,40,1,0,1,0,139,5,5
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31-280,1992,7.0,246,148,98,29,0,0,0,0,0,0,0,0,187,0,0
Aleksandar Pavlovic,de GER,MF,Bayern Munich,19-261,2004,3.5,239,226,12,5,0,1,9,0,7,1,5,0,215,1,0
Mads Pedersen,dk DEN,DF,Augsburg,27-140,1996,12.4,513,385,123,15,3,4,32,107,1,1,0,0,376,5,13
Jordan Pefok,us USA,FW,M'Gladbach,27-268,1996,5.8,122,113,9,0,0,0,0,0,0,0,0,0,101,0,2
Jordan Pefok,us USA,FW,Union Berlin,27-268,1996,0.3,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
Pavao Pervan,at AUT,GK,Wolfsburg,36-067,1987,3.0,117,99,18,7,0,0,0,0,0,0,0,0,83,0,0
Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,24-099,1999,1.6,81,74,7,2,1,1,1,3,2,1,0,0,67,0,2
Luca Pfeiffer,de GER,"FW,MF",Darmstadt 98,27-152,1996,12.1,276,250,24,2,1,2,3,4,0,0,0,0,190,2,3
Patric Pfeiffer,de GER,DF,Augsburg,24-152,1999,4.1,191,186,5,4,0,3,1,1,0,0,0,0,136,0,5
Maximilian Philipp,de GER,"FW,MF",Freiburg,29-324,1994,2.6,80,77,3,1,0,0,4,0,1,0,0,0,59,0,4
Florian Pick,de GER,"MF,FW",Heidenheim,28-133,1995,2.4,120,96,23,10,0,0,20,1,12,5,7,0,83,1,4
Amos Pieper,de GER,DF,Werder Bremen,26-002,1998,6.0,294,281,12,11,1,1,2,1,0,0,0,0,219,1,4
Marvin Pieringer,de GER,"FW,MF",Heidenheim,24-107,1999,8.6,214,203,11,0,2,0,7,1,0,0,0,0,143,0,6
Alassane Pléa,fr FRA,"FW,MF",M'Gladbach,30-315,1993,13.7,457,422,35,5,11,4,30,1,6,3,3,0,319,0,17
Yussuf Poulsen,dk DEN,FW,RB Leipzig,29-218,1994,9.7,211,197,11,1,3,0,3,1,0,0,0,0,157,3,8
Grischa Prömel,de GER,MF,Hoffenheim,29-010,1995,14.4,521,509,9,7,6,3,7,2,0,0,0,0,412,3,17
Gustavo Puerta,co COL,"DF,MF",Leverkusen,20-180,2003,0.3,24,22,2,1,0,0,1,0,1,0,1,0,21,0,0
Luca Raimund,de GER,"FW,MF",Stuttgart,18-285,2005,0.3,22,22,0,0,0,0,1,0,0,0,0,0,15,0,0
Grant Ranos,am ARM,"FW,MF",M'Gladbach,20-183,2003,0.5,15,15,0,0,0,0,0,0,0,0,0,0,12,0,0
Nicolai Rapp,de GER,DF,Werder Bremen,27-037,1996,0.8,40,39,1,0,0,0,0,1,0,0,0,0,32,0,0
David Raum,de GER,DF,RB Leipzig,25-272,1998,16.7,1225,942,276,38,2,2,169,160,78,27,30,1,884,7,37
Rocco Reitz,de GER,MF,M'Gladbach,21-235,2002,13.3,533,513,17,9,6,2,7,0,0,0,0,0,393,3,22
Marco Reus,de GER,"MF,FW",Dortmund,34-233,1989,10.3,351,312,36,12,4,0,15,3,9,3,5,0,282,3,10
Elvis Rexhbeçaj,de GER,MF,Augsburg,26-079,1997,16.2,510,479,29,14,2,0,12,3,2,0,2,0,374,2,10
Gio Reyna,us USA,"MF,FW",Dortmund,21-067,2002,2.6,169,165,4,1,0,1,4,2,0,0,0,0,145,0,3
Marco Richter,de GER,"FW,MF",Mainz 05,26-056,1997,5.9,215,190,24,10,1,3,29,4,10,3,7,0,137,1,6
Clemens Riedel,de GER,DF,Darmstadt 98,20-184,2003,5.1,354,331,22,0,0,3,7,22,0,0,0,0,297,1,8
Manuel Riemann,de GER,GK,Bochum,35-132,1988,17.0,879,676,201,98,0,6,0,0,0,0,0,0,533,2,0
Sebastian Rode,de GER,MF,Eint Frankfurt,33-100,1990,0.3,29,28,1,0,0,0,1,1,0,0,0,0,21,0,0
Rogério,br BRA,"DF,MF",Wolfsburg,26-006,1998,6.1,330,273,57,8,0,4,14,49,0,0,0,0,279,0,6
Merlin Röhl,de GER,"MF,FW",Freiburg,21-198,2002,9.5,243,241,2,2,1,1,6,0,0,0,0,0,191,0,10
Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,26-182,1997,0.8,42,39,3,0,0,0,2,3,0,0,0,0,35,0,1
Anthony Rouault,fr FRA,DF,Stuttgart,22-235,2001,5.6,423,392,30,3,2,4,3,26,0,0,0,0,364,1,8
Jérôme Roussillon,fr FRA,DF,Union Berlin,31-013,1993,6.0,276,211,63,4,0,1,12,59,0,0,0,0,206,2,5
Fabian Rüdlin,de GER,MF,Freiburg,27-006,1997,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Julian Ryerson,no NOR,DF,Dortmund,26-063,1997,9.9,519,460,57,2,0,1,27,55,0,0,0,0,435,2,11
Frederik Rønnow,dk DEN,GK,Union Berlin,31-168,1992,16.0,623,475,147,45,0,0,0,0,0,0,0,0,441,1,0
Marcel Sabitzer,at AUT,MF,Dortmund,29-308,1994,10.3,422,397,24,7,0,1,9,4,2,1,1,0,326,1,6
Roland Sallai,hu HUN,"FW,MF",Freiburg,26-242,1997,9.4,295,279,13,5,2,0,44,1,7,6,0,0,198,3,17
Diadie Samassékou,ml MLI,MF,Hoffenheim,28-008,1996,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Jadon Sancho,eng ENG,FW,Dortmund,23-300,2000,0.4,21,21,0,0,1,0,1,0,0,0,0,0,13,0,1
Leroy Sané,de GER,FW,Bayern Munich,28-008,1996,15.4,697,625,70,10,7,3,58,5,43,17,21,0,556,2,21
Amin Sarr,se SWE,"FW,MF",Wolfsburg,22-314,2001,1.1,23,23,0,0,0,0,1,0,0,0,0,0,10,0,3
Bouna Sarr,sn SEN,DF,Bayern Munich,31-353,1992,1.2,104,92,12,1,0,0,1,11,0,0,0,0,92,0,1
Joe Scally,us USA,DF,M'Gladbach,21-019,2002,13.9,784,652,132,13,0,4,18,119,0,0,0,0,632,0,23
András Schäfer,hu HUN,MF,Union Berlin,24-281,1999,2.1,87,84,2,0,1,0,0,1,0,0,0,0,68,1,4
Patrik Schick,cz CZE,FW,Leverkusen,27-360,1996,2.3,48,47,1,0,1,0,0,1,0,0,0,0,37,0,2
Stefan Schimmer,de GER,"MF,FW",Heidenheim,29-266,1994,0.8,24,24,0,0,0,0,0,0,0,0,0,0,10,0,1
Xaver Schlager,at AUT,MF,RB Leipzig,26-113,1997,14.7,956,921,33,24,5,9,8,9,0,0,0,0,836,2,12
Keven Schlotterbeck,de GER,DF,Bochum,26-266,1997,10.0,411,391,17,9,0,1,5,1,0,0,0,0,307,3,3
Nico Schlotterbeck,de GER,DF,Dortmund,24-049,1999,15.5,1204,1147,55,37,2,17,4,3,0,0,0,0,1063,2,5
Romano Schmid,at AUT,MF,Werder Bremen,23-357,2000,13.8,621,602,17,8,7,4,27,3,5,1,4,0,486,2,18
Kenneth Schmidt,de GER,DF,Freiburg,21-230,2002,0.8,48,41,7,1,0,0,2,6,0,0,0,0,43,0,1
Benno Schmitz,de GER,DF,Köln,29-063,1994,6.0,349,274,73,5,0,2,21,68,0,0,0,0,235,2,13
Fabian Schnellhardt,de GER,MF,Darmstadt 98,30-007,1994,2.3,151,143,8,4,0,1,4,0,4,3,1,0,132,0,2
Jan Schöppner,de GER,MF,Heidenheim,24-221,1999,7.0,203,198,5,4,1,2,1,0,0,0,0,0,127,0,7
Marcel Schuhen,de GER,GK,Darmstadt 98,31-006,1993,16.0,826,624,199,68,0,3,0,0,0,0,0,0,599,3,0
Marvin Schwäbe,de GER,GK,Köln,28-269,1995,17.0,692,589,100,21,0,1,0,0,0,0,0,0,565,3,2
Nicolas Seiwald,at AUT,MF,RB Leipzig,22-260,2001,1.6,56,55,1,1,0,1,0,0,0,0,0,0,44,0,1
Davie Selke,de GER,FW,Köln,28-364,1995,12.0,197,177,19,1,0,0,3,0,0,0,0,0,124,1,8
Benjamin Šeško,si SVN,FW,RB Leipzig,20-233,2003,4.6,110,105,4,0,0,0,4,0,0,0,0,0,75,1,3
Kevin Sessa,de GER,"MF,FW",Heidenheim,23-197,2000,2.9,113,105,8,0,0,1,3,6,1,1,0,0,80,0,5
Aaron Seydel,de GER,FW,Darmstadt 98,27-346,1996,2.9,71,66,4,0,0,0,0,0,0,0,0,0,41,1,1
Tim Siersleben,de GER,DF,Heidenheim,23-316,2000,9.0,508,495,12,9,0,8,1,3,0,0,0,0,414,1,5
Kiliann Sildillia,fr FRA,DF,Freiburg,21-248,2002,12.5,720,594,124,9,1,3,24,115,0,0,0,0,515,2,18
Mohamed Simakan,fr FRA,DF,RB Leipzig,23-261,2000,15.7,1136,1079,56,40,2,10,4,16,0,0,0,0,1004,1,4
Xavi Simons,nl NED,MF,RB Leipzig,20-273,2003,15.1,713,649,58,12,11,4,37,7,27,8,11,0,556,6,15
Tim Skarke,de GER,"FW,MF",Darmstadt 98,27-134,1996,13.0,415,376,39,2,1,9,39,26,0,0,0,0,300,0,21
Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,28-254,1995,13.3,758,738,19,17,3,2,2,2,0,0,0,0,634,1,13
Robert Skov,dk DEN,"DF,FW",Hoffenheim,27-244,1996,9.3,421,333,86,15,1,2,41,63,8,3,5,0,304,2,17
Hrvoje Smolčić,hr CRO,DF,Eint Frankfurt,23-155,2000,2.8,220,210,10,3,0,0,0,2,0,0,0,0,193,0,2
Danilo Soares,br BRA,DF,Bochum,32-082,1991,3.9,179,131,48,1,1,0,3,46,1,0,0,0,124,0,3
Borna Sosa,hr CRO,"FW,DF",Stuttgart,25-363,1998,0.5,43,37,6,2,0,1,12,1,3,2,1,0,27,0,2
Anton Stach,de GER,MF,Hoffenheim,25-065,1998,12.5,608,589,18,7,6,4,21,1,8,4,4,0,484,1,9
Anton Stach,de GER,MF,Mainz 05,25-065,1998,1.9,68,65,3,2,0,0,2,0,1,0,1,0,43,0,1
Jens Stage,dk DEN,MF,Werder Bremen,27-072,1996,15.9,623,592,28,12,1,2,5,5,0,0,0,0,468,3,14
Josip Stanišić,hr CRO,DF,Leverkusen,23-292,2000,3.8,308,293,12,6,0,1,4,6,0,0,0,0,279,3,3
Niklas Stark,de GER,DF,Werder Bremen,28-280,1995,7.4,396,380,15,15,0,4,0,0,0,0,0,0,308,1,1
Pascal Stenzel,de GER,DF,Stuttgart,27-305,1996,8.9,598,486,110,21,2,16,18,89,0,0,0,0,515,2,10
Leonidas Stergiou,ch SUI,DF,Stuttgart,21-322,2002,0.5,29,25,4,1,0,0,0,3,0,0,0,0,24,0,0
Angelo Stiller,de GER,MF,Hoffenheim,22-290,2001,0.9,43,37,5,3,0,1,3,0,2,0,0,0,36,1,2
Angelo Stiller,de GER,MF,Stuttgart,22-290,2001,14.2,1093,1016,76,42,8,4,35,4,28,23,2,0,972,1,8
Kevin Stöger,at AUT,MF,Bochum,30-145,1993,14.1,928,792,130,70,10,10,89,9,29,8,21,0,613,6,20
Filip Stojilković,ch SUI,"FW,MF",Darmstadt 98,24-015,2000,1.7,21,20,1,0,0,0,3,0,0,0,0,0,10,0,0
Niklas Süle,de GER,DF,Dortmund,28-138,1995,6.9,606,577,29,20,0,8,2,9,0,0,0,0,561,0,3
Mattias Svanberg,se SWE,MF,Wolfsburg,25-014,1999,13.6,548,517,28,18,2,5,27,0,10,10,0,0,391,3,15
Attila Szalai,hu HUN,DF,Hoffenheim,25-364,1998,3.2,178,171,6,1,2,3,5,5,0,0,0,0,131,1,2
Jonathan Tah,de GER,DF,Leverkusen,27-342,1996,14.5,1021,1004,14,13,1,2,0,0,0,0,0,0,961,3,1
Edmond Tapsoba,bf BFA,DF,Leverkusen,24-351,1999,13.0,1130,1090,38,20,3,4,2,6,0,0,0,0,1046,2,6
Mathys Tel,fr FRA,"FW,MF",Bayern Munich,18-267,2005,2.6,103,98,5,0,0,0,5,3,2,0,0,0,85,0,3
Nathan Tella,ng NGA,DF,Leverkusen,24-198,1999,0.9,47,44,3,0,0,0,2,3,0,0,0,0,38,0,1
Norman Theuerkauf,de GER,"MF,DF",Heidenheim,36-360,1987,8.6,277,244,31,3,0,4,11,26,2,2,0,0,209,2,8
Jan Thielmann,de GER,"FW,MF",Köln,21-238,2002,5.9,190,173,15,1,1,0,15,14,0,0,0,0,121,2,8
Denis Thomalla,de GER,"MF,FW",Heidenheim,31-156,1992,3.9,162,158,3,2,0,1,0,0,0,0,0,0,125,1,5
Phillip Tietz,de GER,FW,Augsburg,26-194,1997,12.6,252,242,7,0,2,1,5,0,0,0,0,0,153,3,6
Steffen Tigges,de GER,"FW,MF",Köln,25-172,1998,4.4,100,97,2,0,0,0,6,1,0,0,0,0,57,1,5
Umut Tohumcu,de GER,MF,Hoffenheim,19-161,2004,2.4,69,69,0,0,1,0,1,0,0,0,0,0,62,0,0
Tiago Tomás,pt POR,"FW,MF",Wolfsburg,21-217,2002,6.7,170,160,9,5,0,0,20,1,2,1,1,0,110,1,9
Fabio Torsiello,it ITA,"FW,DF",Darmstadt 98,18-351,2005,0.3,5,4,1,0,0,0,1,0,0,0,0,0,5,0,0
Lucas Tousart,fr FRA,MF,Union Berlin,26-265,1997,3.4,119,116,3,1,0,0,3,0,0,0,0,0,84,0,6
