Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Kevin Behrens,de GER,FW,Union Berlin,32-350,1991,12.3,4,36,12,33.3,2.92,0.97,0.11,0.33,11.1,0,0,0,5.0,5.0,0.14,-1.0,-1.0
Maximilian Beier,de GER,FW,Hoffenheim,21-094,2002,11.4,6,37,19,51.4,3.24,1.66,0.16,0.32,14.8,0,0,0,5.3,5.3,0.14,+0.7,+0.7
Stefan Bell,de GER,DF,Mainz 05,32-148,1991,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Ramy Bensebaini,dz ALG,DF,Dortmund,28-278,1995,11.1,0,15,0,0.0,1.35,0.00,0.00,,17.3,0,0,0,1.6,1.6,0.10,-1.6,-1.6
Mergim Berisha,de GER,FW,Hoffenheim,25-253,1998,1.6,0,6,1,16.7,3.75,0.62,0.00,0.00,16.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5
Mergim Berisha,de GER,FW,Augsburg,25-253,1998,1.4,0,5,0,0.0,3.69,0.00,0.00,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Bernardo,br BRA,DF,Bochum,28-250,1995,17.0,1,14,5,35.7,0.82,0.29,0.07,0.20,12.2,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Matúš Bero,sk SVK,"MF,FW",Bochum,28-135,1995,7.4,0,11,3,27.3,1.48,0.40,0.00,0.00,16.4,0,0,0,1.0,1.0,0.09,-1.0,-1.0
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,25-015,1999,14.0,5,23,9,39.1,1.64,0.64,0.22,0.56,22.6,7,0,1,2.2,1.5,0.06,+2.8,+3.5
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-205,2005,1.6,0,1,0,0.0,0.62,0.00,0.00,,26.9,0,0,0,0.0,0.0,0.05,0.0,0.0
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-031,1993,9.3,1,15,2,13.3,1.62,0.22,0.07,0.50,19.1,0,0,0,1.4,1.4,0.10,-0.4,-0.4
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Victor Boniface,ng NGA,FW,Leverkusen,23-027,2000,14.2,10,70,28,40.0,4.94,1.97,0.13,0.32,15.7,0,1,1,12.1,11.3,0.16,-2.1,-2.3
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,5.1,1,0,0,,0.00,0.00,,,,0,1,1,0.8,0.0,,+0.2,0.0
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-303,1999,6.4,0,4,2,50.0,0.62,0.31,0.00,0.00,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Rafael Borré,co COL,FW,Werder Bremen,28-126,1995,10.0,4,17,7,41.2,1.69,0.70,0.24,0.57,14.8,0,0,0,2.1,2.1,0.13,+1.9,+1.9
Julian Brandt,de GER,"MF,FW",Dortmund,27-262,1996,14.1,6,23,11,47.8,1.63,0.78,0.26,0.55,17.5,1,0,0,3.6,3.6,0.16,+2.4,+2.4
Tim Breithaupt,de GER,MF,Augsburg,21-346,2002,2.9,0,2,0,0.0,0.69,0.00,0.00,,26.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Maximilian Breunig,de GER,FW,Freiburg,23-158,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
John Brooks,us USA,DF,Hoffenheim,30-356,1993,12.0,1,8,2,25.0,0.67,0.17,0.13,0.50,8.2,0,0,0,2.0,2.0,0.25,-1.0,-1.0
Moritz Broschinski,de GER,"FW,MF",Bochum,23-118,2000,3.4,0,4,1,25.0,1.18,0.29,0.00,0.00,15.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6
Alexander Brunst,de GER,GK,Darmstadt 98,28-196,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marius Bülter,de GER,"FW,DF",Hoffenheim,30-296,1993,9.6,1,15,4,26.7,1.57,0.42,0.07,0.25,18.2,0,0,0,1.0,1.0,0.07,0.0,0.0
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,23-192,2000,2.9,0,6,1,16.7,2.05,0.34,0.00,0.00,12.8,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Oliver Burke,sct SCO,FW,Werder Bremen,26-287,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marnon Busch,de GER,DF,Heidenheim,29-042,1994,4.2,0,5,1,20.0,1.20,0.24,0.00,0.00,25.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1
Aurélio Buta,pt POR,"DF,MF",Eint Frankfurt,26-343,1997,10.8,1,8,3,37.5,0.74,0.28,0.13,0.33,17.7,0,0,0,0.3,0.3,0.04,+0.7,+0.7
Jamie Bynoe-Gittens,eng ENG,"FW,DF",Dortmund,19-164,2004,5.0,1,19,7,36.8,3.79,1.40,0.05,0.14,17.9,0,0,0,1.2,1.2,0.06,-0.2,-0.2
Anthony Caci,fr FRA,DF,Mainz 05,26-202,1997,13.8,2,14,2,14.3,1.02,0.15,0.14,1.00,18.9,0,0,0,0.5,0.5,0.04,+1.5,+1.5
Emre Can,de GER,"MF,DF",Dortmund,30-007,1994,11.6,1,5,0,0.0,0.43,0.00,0.00,,31.3,0,1,1,0.9,0.1,0.02,+0.1,-0.1
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-164,1997,0.6,0,3,0,0.0,5.00,0.00,0.00,,14.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Rasmus Carstensen,dk DEN,"DF,FW",Köln,23-100,2000,12.7,0,7,4,57.1,0.55,0.31,0.00,0.00,13.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Fabio Carvalho,pt POR,MF,RB Leipzig,21-142,2002,1.8,0,3,2,66.7,1.64,1.09,0.00,0.00,14.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Koen Casteels,be BEL,GK,Wolfsburg,31-208,1992,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Václav Černý,cz CZE,"FW,MF",Wolfsburg,26-094,1997,6.8,2,13,3,23.1,1.90,0.44,0.15,0.67,16.6,0,0,0,1.2,1.2,0.09,+0.8,+0.8
Julian Chabot,de GER,DF,Köln,25-341,1998,14.4,0,8,1,12.5,0.56,0.07,0.00,0.00,8.9,0,0,0,0.8,0.8,0.11,-0.8,-0.8
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,21-052,2002,10.4,1,17,9,52.9,1.63,0.86,0.06,0.11,18.1,2,0,0,1.2,1.2,0.07,-0.2,-0.2
Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,18-228,2005,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kingsley Coman,fr FRA,FW,Bayern Munich,27-220,1996,9.5,3,26,6,23.1,2.74,0.63,0.12,0.50,16.8,0,0,0,2.4,2.4,0.09,+0.6,+0.6
Bambasé Conté,de GER,"FW,MF",Hoffenheim,20-196,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Danny da Costa,de GER,DF,Mainz 05,30-190,1993,8.1,0,6,1,16.7,0.74,0.12,0.00,0.00,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Nicolas Cozza,fr FRA,DF,Wolfsburg,25-011,1999,3.1,0,1,0,0.0,0.33,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-159,2000,7.1,4,19,8,42.1,2.67,1.12,0.16,0.38,15.4,1,1,2,4.6,3.0,0.16,-0.6,0.0
Finn Dahmen,de GER,GK,Augsburg,25-298,1998,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lukas Daschner,de GER,"MF,FW",Bochum,25-110,1998,3.4,1,11,4,36.4,3.25,1.18,0.09,0.25,16.2,0,0,0,2.2,2.2,0.20,-1.2,-1.2
