Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Jonas Föhrenbach,de GER,DF,Heidenheim,27-358,1996,16,15,"1,359",15.1,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,20,42,41,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,32-088,1991,14,5,464,5.2,2,1,3,2,0,1,0,0,1.4,0.6,0.9,1.5,8,22,38,0.39,0.19,0.58,0.39,0.58,0.27,0.17,0.44,0.11,0.28
Philipp Förster,de GER,"MF,FW",Bochum,28-349,1995,8,1,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,4,14,11,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.19,0.09,0.19
Bartol Franjić,hr CRO,MF,Darmstadt 98,24-005,2000,11,6,627,7.0,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,8,27,8,0.00,0.14,0.14,0.00,0.14,0.00,0.03,0.03,0.00,0.03
Marco Friedl,at AUT,DF,Werder Bremen,25-309,1998,13,13,"1,117",12.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,30,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marvin Friedrich,de GER,DF,M'Gladbach,28-037,1995,11,6,580,6.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,1,16,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Jeremie Frimpong,nl NED,DF,Leverkusen,23-040,2000,17,17,"1,404",15.6,5,6,11,5,0,0,3,0,4.1,4.1,4.0,8.1,100,31,215,0.32,0.38,0.71,0.32,0.71,0.26,0.26,0.52,0.26,0.52
Chris Führich,de GER,"FW,MF",Stuttgart,26-010,1998,17,17,"1,340",14.9,5,5,10,5,0,1,1,0,4.8,4.0,5.0,9.0,86,58,127,0.34,0.34,0.67,0.34,0.67,0.32,0.33,0.66,0.27,0.60
Niclas Füllkrug,de GER,FW,Werder Bremen,30-344,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,2,9,12,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.36,0.23,0.36
Niclas Füllkrug,de GER,FW,Dortmund,30-344,1993,15,13,"1,090",12.1,5,5,10,5,0,0,0,0,5.0,5.0,2.3,7.4,6,20,66,0.41,0.41,0.83,0.41,0.83,0.42,0.19,0.61,0.42,0.61
Cristian Gamboa,cr CRC,DF,Bochum,34-087,1989,14,11,"1,021",11.3,0,1,1,0,0,0,5,0,0.1,0.1,0.3,0.4,10,29,15,0.00,0.09,0.09,0.00,0.09,0.01,0.03,0.04,0.01,0.04
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-312,1994,13,8,697,7.7,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1.1,10,13,36,0.13,0.00,0.13,0.13,0.13,0.12,0.02,0.14,0.12,0.14
Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,28-261,1995,3,0,54,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.4,2,4,5,0.00,1.67,1.67,0.00,1.67,0.22,0.39,0.61,0.22,0.61
Benedikt Gimber,de GER,DF,Heidenheim,26-334,1997,8,8,695,7.7,1,1,2,1,0,0,3,0,0.5,0.5,0.5,1.0,1,8,3,0.13,0.13,0.26,0.13,0.26,0.06,0.07,0.13,0.06,0.13
Matthias Ginter,de GER,DF,Freiburg,30-000,1994,16,16,"1,373",15.3,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.3,18,111,19,0.00,0.13,0.13,0.00,0.13,0.06,0.09,0.15,0.06,0.15
Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,34-036,1989,10,8,633,7.0,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,6,39,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-189,1995,5,3,226,2.5,0,0,0,0,0,0,0,0,1.1,1.1,0.5,1.7,12,10,26,0.00,0.00,0.00,0.00,0.00,0.46,0.22,0.67,0.46,0.67
Leon Goretzka,de GER,MF,Bayern Munich,28-347,1995,12,10,844,9.4,2,2,4,2,0,0,0,0,2.5,2.5,1.7,4.3,27,56,33,0.21,0.21,0.43,0.21,0.43,0.27,0.19,0.46,0.27,0.46
Robin Gosens,de GER,"DF,MF",Union Berlin,29-198,1994,14,11,974,10.8,4,0,4,4,0,0,4,0,1.1,1.1,1.3,2.4,7,48,58,0.37,0.00,0.37,0.37,0.37,0.10,0.12,0.22,0.10,0.22
Mario Götze,de GER,MF,Eint Frankfurt,31-230,1992,15,9,865,9.6,0,1,1,0,0,0,4,1,0.6,0.6,1.4,2.1,8,47,43,0.00,0.10,0.10,0.00,0.10,0.07,0.15,0.22,0.07,0.22
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-193,1991,14,13,"1,170",13.0,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1.0,11,63,6,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
Jens Grahl,de GER,GK,Eint Frankfurt,35-119,1988,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,1.00,1.00,0.00,1.00,0.00,0.24,0.24,0.00,0.24
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-248,2002,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,1.92,1.92,0.00,1.92
Michael Gregoritsch,at AUT,FW,Freiburg,29-276,1994,15,7,667,7.4,3,1,4,3,0,0,0,0,4.2,4.2,0.5,4.7,5,15,34,0.40,0.13,0.54,0.40,0.54,0.56,0.06,0.63,0.56,0.63
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-287,1993,15,14,"1,177",13.1,3,5,8,0,3,3,1,0,4.2,1.8,4.4,6.2,22,50,73,0.23,0.38,0.61,0.00,0.38,0.32,0.33,0.65,0.14,0.47
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28-165,1995,14,9,860,9.6,1,1,2,1,0,0,4,0,0.8,0.8,0.5,1.3,14,57,10,0.10,0.10,0.21,0.10,0.21,0.09,0.05,0.14,0.09,0.14
Álex Grimaldo,es ESP,DF,Leverkusen,28-121,1995,17,17,"1,523",16.9,7,6,13,7,0,0,1,0,2.4,2.4,3.4,5.8,37,72,115,0.41,0.35,0.77,0.41,0.77,0.14,0.20,0.34,0.14,0.34
Christian Groß,de GER,"MF,DF",Werder Bremen,34-345,1989,8,5,455,5.1,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,10,23,4,0.00,0.20,0.20,0.00,0.20,0.02,0.04,0.06,0.02,0.06
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-233,2004,15,9,830,9.2,1,1,2,1,0,0,3,0,1.1,1.1,1.6,2.7,49,38,86,0.11,0.11,0.22,0.11,0.22,0.12,0.18,0.29,0.12,0.29
Ilia Gruev,bg BUL,MF,Werder Bremen,23-258,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raphaël Guerreiro,pt POR,"MF,DF",Bayern Munich,30-028,1993,6,3,377,4.2,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,4,19,14,0.24,0.00,0.24,0.24,0.24,0.16,0.01,0.17,0.16,0.17
Josuha Guilavogui,fr FRA,DF,Mainz 05,33-122,1990,2,1,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Serhou Guirassy,gn GUI,FW,Stuttgart,27-313,1996,14,12,"1,055",11.7,17,1,18,14,3,3,0,0,11.6,9.2,3.5,12.7,16,22,82,1.45,0.09,1.54,1.19,1.28,0.99,0.30,1.29,0.79,1.09
Manuel Gulde,de GER,DF,Freiburg,32-341,1991,12,8,808,9.0,1,0,1,1,0,0,2,0,0.8,0.8,0.1,0.9,3,29,1,0.11,0.00,0.11,0.11,0.11,0.09,0.01,0.10,0.09,0.10
Robert Gumny,pl POL,DF,Augsburg,25-229,1998,12,6,464,5.2,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,7,17,17,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Christian Günter,de GER,DF,Freiburg,30-325,1993,1,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.59,0.00,0.59
Janik Haberer,de GER,MF,Union Berlin,29-292,1994,13,11,861,9.6,0,0,0,0,0,0,3,0,0.7,0.7,0.1,0.8,5,35,27,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08
Robin Hack,de GER,"FW,MF",M'Gladbach,25-145,1998,13,3,422,4.7,2,2,4,2,0,0,1,0,1.7,1.7,0.9,2.6,14,14,30,0.43,0.43,0.85,0.43,0.85,0.36,0.19,0.55,0.36,0.55
Amadou Haidara,ml MLI,MF,RB Leipzig,25-353,1998,10,8,639,7.1,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,2,56,6,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21
Sébastien Haller,ci CIV,FW,Dortmund,29-211,1994,11,4,361,4.0,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,9,10,30,0.00,0.00,0.00,0.00,0.00,0.23,0.16,0.39,0.23,0.39
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27-002,1997,2,1,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Genki Haraguchi,jp JPN,MF,Stuttgart,32-255,1991,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,40-001,1984,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thorgan Hazard,be BEL,DF,Dortmund,30-296,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominique Heintz,de GER,DF,Köln,30-157,1993,6,5,410,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,6,17,13,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Benjamin Henrichs,de GER,DF,RB Leipzig,26-330,1997,16,15,"1,339",14.9,1,3,4,1,0,0,1,0,1.4,1.4,3.1,4.6,28,67,93,0.07,0.20,0.27,0.07,0.27,0.10,0.21,0.31,0.10,0.31
Patrick Herrmann,de GER,"DF,FW",M'Gladbach,32-341,1991,3,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,4,5,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15
Piero Hincapié,ec ECU,DF,Leverkusen,22-010,2002,10,4,386,4.3,0,1,1,0,0,0,0,0,0.9,0.9,0.2,1.0,9,21,6,0.00,0.23,0.23,0.00,0.23,0.20,0.04,0.24,0.20,0.24
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-178,2002,14,1,155,1.7,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,9,5,12,0.58,0.00,0.58,0.58,0.58,0.89,0.10,0.99,0.89,0.99
Nicolas Höfler,de GER,MF,Freiburg,33-316,1990,12,12,"1,071",11.9,1,0,1,1,0,0,5,1,0.5,0.5,0.1,0.6,7,46,9,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
Jonas Hofmann,de GER,MF,Leverkusen,31-189,1992,17,16,"1,362",15.1,5,5,10,5,0,0,3,0,2.9,2.9,5.1,8.0,41,72,136,0.33,0.33,0.66,0.33,0.66,0.19,0.34,0.53,0.19,0.53
Philipp Hofmann,de GER,FW,Bochum,30-295,1993,14,10,804,8.9,0,2,2,0,0,0,1,0,1.5,1.5,1.1,2.6,2,18,49,0.00,0.22,0.22,0.00,0.22,0.17,0.13,0.29,0.17,0.29
Lucas Höler,de GER,"FW,MF",Freiburg,29-193,1994,17,13,"1,179",13.1,5,1,6,4,1,1,2,0,5.2,4.4,1.6,6.0,14,24,75,0.38,0.08,0.46,0.31,0.38,0.40,0.12,0.52,0.34,0.46
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-192,1990,13,13,"1,082",12.0,0,2,2,0,0,0,3,1,0.1,0.1,1.1,1.2,7,60,19,0.00,0.17,0.17,0.00,0.17,0.01,0.09,0.10,0.01,0.10
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22-247,2001,10,4,347,3.9,2,0,2,2,0,0,1,0,0.5,0.5,0.3,0.9,15,11,33,0.52,0.00,0.52,0.52,0.52,0.13,0.09,0.22,0.13,0.22
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-161,1996,17,16,"1,325",14.7,1,6,7,1,0,0,1,0,0.5,0.5,5.3,5.8,48,50,150,0.07,0.41,0.48,0.07,0.48,0.04,0.36,0.39,0.04,0.39
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,27-030,1996,13,6,595,6.6,1,0,1,1,0,0,1,0,1.0,1.0,0.3,1.3,14,9,42,0.15,0.00,0.15,0.15,0.15,0.16,0.05,0.20,0.16,0.20
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-128,1999,7,1,217,2.4,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,7,2,7,0.00,0.00,0.00,0.00,0.00,0.27,0.14,0.41,0.27,0.41
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-056,1989,17,17,"1,530",17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timo Hübers,de GER,DF,Köln,27-183,1996,17,17,"1,518",16.9,0,0,0,0,0,0,3,0,1.3,1.3,0.2,1.5,10,63,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
Mats Hummels,de GER,DF,Dortmund,35-034,1988,14,14,992,11.0,2,0,2,2,0,0,4,1,2.5,2.5,0.2,2.8,8,59,0,0.18,0.00,0.18,0.18,0.18,0.23,0.02,0.25,0.23,0.25
Denis Huseinbasic,de GER,MF,Köln,22-200,2001,11,6,549,6.1,0,2,2,0,0,0,1,0,0.1,0.1,0.3,0.4,10,27,10,0.00,0.33,0.33,0.00,0.33,0.02,0.06,0.07,0.02,0.07
Iago,br BRA,"DF,FW",Augsburg,26-302,1997,11,6,604,6.7,1,1,2,1,0,0,1,0,0.2,0.2,0.8,1.0,10,19,17,0.15,0.15,0.30,0.15,0.30,0.03,0.12,0.14,0.03,0.14
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-356,1998,7,4,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Ko Itakura,jp JPN,DF,M'Gladbach,26-357,1997,7,7,611,6.8,2,0,2,2,0,0,4,0,0.7,0.7,0.0,0.7,3,11,0,0.29,0.00,0.29,0.29,0.29,0.10,0.00,0.10,0.10,0.10
Hiroki Ito,jp JPN,DF,Stuttgart,24-252,1999,12,11,982,10.9,0,2,2,0,0,0,1,0,0.6,0.6,1.4,2.0,18,58,22,0.00,0.18,0.18,0.00,0.18,0.05,0.13,0.18,0.05,0.18
Lee Jae-sung,kr KOR,MF,Mainz 05,31-162,1992,16,13,"1,120",12.4,2,0,2,2,0,0,3,0,1.2,1.2,0.7,1.9,11,52,55,0.16,0.00,0.16,0.16,0.16,0.09,0.06,0.15,0.09,0.15
Paul Jaeckel,de GER,DF,Union Berlin,25-181,1998,4,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,26-250,1997,4,1,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,11,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
Tony Jantschke,de GER,"DF,MF",M'Gladbach,33-287,1990,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,26-132,1997,13,9,754,8.4,1,3,4,1,0,0,0,0,0.5,0.5,2.1,2.5,13,24,41,0.12,0.36,0.48,0.12,0.48,0.05,0.25,0.30,0.05,0.30
Moritz Jenz,de GER,DF,Wolfsburg,24-264,1999,10,9,851,9.5,0,1,1,0,0,0,2,0,0.0,0.0,0.3,0.3,0,22,1,0.00,0.11,0.11,0.00,0.11,0.00,0.03,0.03,0.00,0.03
Anthony Jung,de GER,"DF,FW",Werder Bremen,32-077,1991,16,15,"1,292",14.4,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.2,8,54,14,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Josip Juranović,hr CRO,DF,Union Berlin,28-156,1995,10,8,686,7.6,0,2,2,0,0,0,1,0,0.4,0.4,1.5,1.9,15,36,25,0.00,0.26,0.26,0.00,0.26,0.06,0.20,0.25,0.06,0.25
Julian Justvan,de GER,"FW,MF",Hoffenheim,25-292,1998,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,5,12,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Ozan Kabak,tr TUR,DF,Hoffenheim,23-300,2000,13,13,"1,049",11.7,2,0,2,2,0,0,4,0,1.1,1.1,0.4,1.5,9,51,2,0.17,0.00,0.17,0.17,0.17,0.09,0.03,0.13,0.09,0.13
Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,31-269,1992,13,12,"1,077",12.0,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,18,22,81,0.08,0.08,0.17,0.08,0.17,0.13,0.14,0.27,0.13,0.27
Florian Kainz,at AUT,"MF,FW",Köln,31-087,1992,17,15,"1,168",13.0,3,1,4,0,3,3,2,0,2.8,0.5,2.0,2.4,29,75,40,0.23,0.08,0.31,0.00,0.08,0.22,0.15,0.37,0.04,0.19
Sasa Kalajdzic,at AUT,FW,Eint Frankfurt,26-196,1997,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,21-228,2002,12,2,235,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,7,12,26,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16
Kevin Kampl,si SVN,MF,RB Leipzig,33-102,1990,14,10,944,10.5,1,0,1,1,0,0,2,0,0.1,0.1,0.8,0.9,20,71,16,0.10,0.00,0.10,0.10,0.10,0.01,0.08,0.09,0.01,0.09
Harry Kane,eng ENG,FW,Bayern Munich,30-175,1993,16,16,"1,408",15.6,22,5,27,19,3,3,1,0,15.9,13.5,5.0,18.6,18,45,75,1.41,0.32,1.73,1.21,1.53,1.02,0.32,1.34,0.87,1.19
Atakan Karazor,de GER,MF,Stuttgart,27-098,1996,17,17,"1,445",16.1,0,2,2,0,0,0,4,0,0.7,0.7,1.2,1.9,14,70,20,0.00,0.12,0.12,0.00,0.12,0.05,0.08,0.12,0.04,0.12
Emir Karic,at AUT,DF,Darmstadt 98,26-224,1997,11,7,747,8.3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.7,28,45,48,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
Silas Katompa,cd COD,"FW,MF",Stuttgart,25-105,1998,16,8,726,8.1,3,1,4,3,0,1,0,0,5.0,4.2,1.0,5.2,37,17,101,0.37,0.12,0.50,0.37,0.50,0.61,0.13,0.74,0.52,0.64
Mikkel Kaufmann,dk DEN,"FW,DF",Union Berlin,23-016,2001,9,1,168,1.9,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,5,14,0.54,0.00,0.54,0.54,0.54,0.16,0.00,0.16,0.16,0.16
Naby Keïta,gn GUI,MF,Werder Bremen,28-343,1995,3,1,81,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
Yannik Keitel,de GER,MF,Freiburg,23-338,2000,3,2,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Keller,de GER,"MF,FW",Heidenheim,24-167,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aljoscha Kemlein,de GER,MF,Union Berlin,19-170,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Tobias Kempe,de GER,MF,Darmstadt 98,34-206,1989,14,9,823,9.1,3,1,4,0,3,3,0,0,3.2,0.8,1.5,2.3,8,26,33,0.33,0.11,0.44,0.00,0.11,0.35,0.16,0.51,0.09,0.25
Rani Khedira,de GER,MF,Union Berlin,29-357,1994,5,5,360,4.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,3,8,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luca Kilian,de GER,DF,Köln,24-140,1999,9,2,275,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Joshua Kimmich,de GER,MF,Bayern Munich,28-345,1995,12,12,946,10.5,1,3,4,1,0,0,0,1,0.5,0.5,2.6,3.2,14,113,18,0.10,0.29,0.38,0.10,0.38,0.05,0.25,0.30,0.05,0.30
Christoph Klarer,at AUT,DF,Darmstadt 98,23-219,2000,16,15,"1,260",14.0,0,2,2,0,0,0,5,0,0.4,0.4,0.7,1.1,7,42,7,0.00,0.14,0.14,0.00,0.14,0.03,0.05,0.08,0.03,0.08
Tim Kleindienst,de GER,FW,Heidenheim,28-141,1995,17,17,"1,486",16.5,6,3,9,4,2,2,2,0,8.5,7.0,2.0,9.0,21,42,97,0.36,0.18,0.55,0.24,0.42,0.52,0.12,0.64,0.42,0.54
Lukas Klostermann,de GER,DF,RB Leipzig,27-230,1996,14,9,871,9.7,1,0,1,1,0,0,3,0,0.7,0.7,0.4,1.0,12,68,8,0.10,0.00,0.10,0.10,0.10,0.07,0.04,0.11,0.07,0.11
Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,22-009,2002,14,11,888,9.9,4,0,4,4,0,0,4,1,3.0,3.0,0.7,3.8,34,22,62,0.41,0.00,0.41,0.41,0.41,0.31,0.08,0.38,0.31,0.38
Robin Knoche,de GER,DF,Union Berlin,31-242,1992,13,12,"1,131",12.6,0,0,0,0,0,1,0,0,1.0,0.2,0.2,0.3,2,49,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.01,0.03
Gregor Kobel,ch SUI,GK,Dortmund,26-044,1997,17,17,"1,465",16.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Robin Koch,de GER,DF,Eint Frankfurt,27-186,1996,15,15,"1,323",14.7,1,0,1,1,0,0,4,0,1.0,1.0,0.0,1.0,6,39,1,0.07,0.00,0.07,0.07,0.07,0.07,0.00,0.07,0.07,0.07
Dominik Kohr,de GER,"MF,DF",Mainz 05,29-353,1994,16,14,"1,114",12.4,0,0,0,0,0,0,6,0,1.0,1.0,0.8,1.8,12,58,15,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15
Randal Kolo Muani,fr FRA,FW,Eint Frankfurt,25-045,1998,2,2,153,1.7,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,6,3,9,0.59,0.00,0.59,0.59,0.59,0.77,0.00,0.77,0.77,0.77
Kouadio Koné,fr FRA,MF,M'Gladbach,22-247,2001,9,8,698,7.8,1,0,1,1,0,0,3,1,0.4,0.4,0.3,0.7,19,24,29,0.13,0.00,0.13,0.13,0.13,0.05,0.04,0.10,0.05,0.10
Odilon Kossonou,ci CIV,DF,Leverkusen,23-015,2001,15,14,"1,208",13.4,1,0,1,1,0,0,2,0,0.6,0.6,0.5,1.1,30,83,15,0.07,0.00,0.07,0.07,0.07,0.04,0.04,0.08,0.04,0.08
Dawid Kownacki,pl POL,FW,Werder Bremen,26-311,1997,10,3,233,2.6,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,3,2,18,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.26,0.21,0.26
Alex Král,cz CZE,MF,Union Berlin,25-245,1998,13,9,852,9.5,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,10,27,16,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11
Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,32-214,1991,14,11,"1,001",11.1,6,1,7,2,4,4,3,0,5.4,2.3,3.2,5.5,28,46,72,0.54,0.09,0.63,0.18,0.27,0.49,0.29,0.78,0.20,0.49
Christoph Kramer,de GER,MF,M'Gladbach,32-334,1991,11,1,183,2.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,8,9,7,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.12,0.05,0.12
Frans Krätzig,de GER,DF,Bayern Munich,21-005,2003,4,0,56,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0,7,7,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.84,0.42,0.84
Tom Krauß,de GER,MF,Mainz 05,22-211,2001,16,9,877,9.7,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,9,39,18,0.10,0.00,0.10,0.10,0.10,0.04,0.01,0.05,0.04,0.05
Lukas Kübler,de GER,DF,Freiburg,31-142,1992,12,10,853,9.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,3,27,18,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Moritz-Broni Kwarteng,gh GHA,"FW,MF",Bochum,25-266,1998,6,1,164,1.8,0,1,1,0,0,0,1,0,0.5,0.5,0.5,1.0,5,5,13,0.00,0.55,0.55,0.00,0.55,0.26,0.30,0.56,0.26,0.56
