Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Maximilian Bauer,de GER,DF,Augsburg,23-344,2000,8,5,493,5.5,1,0,1,1,0,0,1,0,1.4,1.4,0.0,1.4,0,11,0,0.18,0.00,0.18,0.18,0.18,0.25,0.00,0.25,0.25,0.25
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-085,2005,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver Baumann,de GER,GK,Hoffenheim,33-231,1990,17,17,"1,530",17.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.01,0.01,0.00,0.01
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-171,1999,16,7,688,7.6,3,1,4,3,0,0,2,0,2.6,2.6,1.0,3.6,17,36,54,0.39,0.13,0.52,0.39,0.52,0.34,0.13,0.47,0.34,0.47
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-271,1994,15,7,733,8.1,3,0,3,3,0,0,2,0,1.8,1.8,0.2,2.0,15,18,59,0.37,0.00,0.37,0.37,0.37,0.22,0.03,0.24,0.22,0.24
Adrian Beck,de GER,MF,Heidenheim,26-224,1997,14,7,611,6.8,1,1,2,1,0,0,1,0,1.7,1.7,0.7,2.4,6,10,24,0.15,0.15,0.29,0.15,0.29,0.25,0.10,0.35,0.25,0.35
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-344,1995,11,7,645,7.2,0,1,1,0,0,0,0,0,0.8,0.8,1.8,2.6,32,20,73,0.00,0.14,0.14,0.00,0.14,0.12,0.25,0.37,0.12,0.37
Donny van de Beek,nl NED,FW,Eint Frankfurt,26-276,1997,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Kevin Behrens,de GER,FW,Union Berlin,32-350,1991,16,13,"1,108",12.3,4,0,4,4,0,0,2,0,5.0,5.0,0.8,5.8,9,41,82,0.32,0.00,0.32,0.32,0.32,0.41,0.07,0.47,0.41,0.47
Maximilian Beier,de GER,FW,Hoffenheim,21-094,2002,16,12,"1,028",11.4,6,0,6,6,0,0,0,0,5.3,5.3,0.3,5.5,23,15,78,0.53,0.00,0.53,0.53,0.53,0.46,0.02,0.48,0.46,0.48
Stefan Bell,de GER,DF,Mainz 05,32-148,1991,10,8,666,7.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0,23,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Ramy Bensebaini,dz ALG,DF,Dortmund,28-278,1995,13,11,"1,001",11.1,0,0,0,0,0,0,4,1,1.6,1.6,0.4,2.0,16,74,59,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.18,0.14,0.18
Mergim Berisha,de GER,FW,Hoffenheim,25-253,1998,6,0,144,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,2,3,13,0.00,0.00,0.00,0.00,0.00,0.32,0.19,0.51,0.32,0.51
Mergim Berisha,de GER,FW,Augsburg,25-253,1998,2,2,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,1,5,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20
Bernardo,br BRA,DF,Bochum,28-250,1995,17,17,"1,529",17.0,1,0,1,1,0,0,4,0,1.1,1.1,0.3,1.4,14,47,19,0.06,0.00,0.06,0.06,0.06,0.07,0.02,0.09,0.07,0.09
Matúš Bero,sk SVK,"MF,FW",Bochum,28-135,1995,10,9,670,7.4,0,0,0,0,0,0,4,0,1.0,1.0,0.5,1.5,6,11,33,0.00,0.00,0.00,0.00,0.00,0.14,0.07,0.20,0.14,0.20
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,25-015,1999,15,15,"1,262",14.0,5,7,12,5,0,1,4,0,2.2,1.5,3.0,4.4,31,25,58,0.36,0.50,0.86,0.36,0.86,0.16,0.21,0.37,0.10,0.32
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-205,2005,8,1,146,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.8,2,15,12,0.00,0.62,0.62,0.00,0.62,0.03,0.44,0.46,0.03,0.46
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-031,1993,14,11,835,9.3,1,1,2,1,0,0,5,0,1.4,1.4,1.2,2.6,33,38,30,0.11,0.11,0.22,0.11,0.22,0.15,0.12,0.28,0.15,0.28
Janis Blaswich,de GER,GK,RB Leipzig,32-262,1991,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Victor Boniface,ng NGA,FW,Leverkusen,23-027,2000,16,15,"1,276",14.2,10,7,17,9,1,1,2,0,12.1,11.3,3.6,14.9,43,29,131,0.71,0.49,1.20,0.63,1.13,0.85,0.25,1.10,0.79,1.05
Leonardo Bonucci,it ITA,DF,Union Berlin,36-263,1987,7,6,460,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,0,21,1,0.20,0.00,0.20,0.00,0.00,0.15,0.06,0.22,0.00,0.06
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-240,2004,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-303,1999,10,7,577,6.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,17,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Rafael Borré,co COL,FW,Werder Bremen,28-126,1995,14,11,904,10.0,4,0,4,4,0,0,0,0,2.1,2.1,1.8,3.9,15,25,67,0.40,0.00,0.40,0.40,0.40,0.21,0.18,0.39,0.21,0.39
Julian Brandt,de GER,"MF,FW",Dortmund,27-262,1996,17,15,"1,267",14.1,6,7,13,6,0,0,1,0,3.6,3.6,6.5,10.2,39,55,100,0.43,0.50,0.92,0.43,0.92,0.26,0.46,0.72,0.26,0.72
Tim Breithaupt,de GER,MF,Augsburg,21-346,2002,10,2,259,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Maximilian Breunig,de GER,FW,Freiburg,23-158,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
