Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,26.4,95,3.60,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1
George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Che Adams,sct SCO,FW,Southampton,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0
Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0
Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,18,0.78,15,0,0,3,0,0,0,0.00,0,0,0,0,0,0
Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,1.0,2,1.91,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,12.0,23,1.93,14,2,4,1,2,0,0,0.00,0,0,0,0,0,0
Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Manuel Akanji,ch SUI,DF,Manchester City,27,1995,25.4,23,0.91,22,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,24,1.15,20,1,0,2,0,1,2,0.10,2,0,0,0,0,0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,2.6,7,2.66,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,41,2.94,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,11.4,22,1.92,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,124,3.82,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0
Alisson,br BRA,GK,Liverpool,29,1992,37.0,3,0.08,3,0,0,0,0,0,2,0.05,2,0,0,0,0,0
Dele Alli,eng ENG,MF,Everton,26,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,87,3.14,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,16.3,52,3.20,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0
Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,15,0.84,15,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,0.0,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,25,0.81,20,3,0,0,1,1,1,0.03,0,1,0,0,0,0
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,4.6,22,4.83,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,14.0,38,2.72,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0
Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,39,1.92,24,0,6,4,5,0,9,0.44,6,0,2,1,0,0
Antony,br BRA,FW,Manchester Utd,22,2000,20.0,74,3.69,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0
Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,13.6,27,1.99,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0
Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1
Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,15.6,50,3.20,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0
Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,8,1.30,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,21.6,26,1.20,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,15.6,25,1.60,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0
Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,4,5.37,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,3,0.86,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,30.2,78,2.59,53,0,9,6,7,3,8,0.27,5,0,1,1,1,0
Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,40,1.75,33,0,0,3,2,2,1,0.04,1,0,0,0,0,0
César Azpilicueta,es ESP,DF,Chelsea,32,1989,17.0,25,1.47,25,0,0,0,0,0,1,0.06,1,0,0,0,0,0
Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,10.1,12,1.19,11,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,21.9,62,2.84,40,2,10,7,3,0,8,0.37,5,0,0,3,0,0
Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,5.8,13,2.22,8,1,2,0,2,0,1,0.17,0,0,1,0,0,0
Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,27,1.60,17,0,1,5,3,1,6,0.36,4,0,1,1,0,0
Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,18,2.63,11,1,2,2,2,0,4,0.58,3,0,0,0,1,0
Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,63,2.09,43,0,3,9,7,1,14,0.46,8,0,1,2,2,1
Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32.0,7,0.22,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
