Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Rayan Raveloson,mg MAD,"DF,MF",Auxerre,fr Ligue 1,25,1997,27.0,1130,982,146,30,1,20,33,115,1,1,0,0,917,2,21
David Raya,es ESP,GK,Brentford,eng Premier League,26,1995,38.0,1640,1181,455,185,0,19,0,1,0,0,0,0,1054,4,1
Tim Ream,us USA,DF,Fulham,eng Premier League,34,1987,32.2,1922,1858,59,34,0,25,4,11,0,0,0,0,1662,5,8
Ante Rebić,hr CRO,"FW,MF",Milan,it Serie A,28,1993,10.9,334,316,15,2,4,1,39,4,4,2,1,0,187,3,16
Arkadiusz Reca,pl POL,DF,Spezia,it Serie A,27,1995,24.1,1197,943,250,5,0,9,99,245,0,0,0,0,827,4,45
Nathan Redmond,eng ENG,DF,Southampton,eng Premier League,28,1994,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Harrison Reed,eng ENG,MF,Fulham,eng Premier League,27,1995,31.8,1281,1225,51,14,0,4,54,5,3,2,1,0,988,5,46
Sergio Reguilón,es ESP,DF,Atlético Madrid,es La Liga,25,1996,3.4,147,131,15,1,1,0,9,14,0,0,0,0,117,1,7
Bobby Reid,jm JAM,"FW,DF",Fulham,eng Premier League,29,1993,27.5,907,829,74,6,1,2,53,68,0,0,0,0,636,4,35
Pepe Reina,es ESP,GK,Villarreal,es La Liga,39,1982,22.0,855,678,176,58,0,2,0,0,0,0,0,0,685,1,1
Jeff Reine-Adélaïde,fr FRA,MF,Troyes,fr Ligue 1,24,1998,2.6,128,120,8,5,0,1,0,0,0,0,0,0,106,0,3
Jeff Reine-Adélaïde,fr FRA,MF,Lyon,fr Ligue 1,24,1998,3.7,329,312,16,5,2,0,13,1,8,4,2,0,285,1,5
Reinier,br BRA,"MF,FW",Girona,es La Liga,20,2002,7.2,248,241,6,2,1,1,2,1,0,0,0,0,198,1,8
Rocco Reitz,de GER,MF,M'Gladbach,de Bundesliga,20,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Karim Rekik,nl NED,DF,Sevilla,es La Liga,27,1994,13.1,700,671,27,9,0,3,1,18,0,0,0,0,642,2,0
Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,27,1995,38.0,1313,970,336,120,0,3,0,0,0,0,0,0,941,7,0
