Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1
James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0
George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,2031,1882,142,116,0,30,5,10,0,0,0,0,1679,7,20
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,1981,1927,45,43,5,5,10,2,0,0,0,0,1819,9,15
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,1483,1431,49,47,10,8,6,1,1,0,0,0,1308,3,14
Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,195,194,0,0,0,1,5,0,0,0,0,0,115,1,2
Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,105,91,13,0,0,2,6,0,0,0,0,0,69,1,3
Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1
Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,777,744,28,1,1,1,29,22,1,0,0,0,576,5,46
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8
Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4
Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0
Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25
Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,498,490,7,0,6,7,12,4,0,0,0,0,330,1,17
Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24
Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,179,159,19,0,1,1,13,6,0,0,0,0,123,1,8
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1300,1235,58,47,2,12,2,7,0,0,0,0,1066,7,10
Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,457,431,23,3,2,1,25,12,8,7,1,0,335,3,21
Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,565,535,23,4,3,2,18,5,8,2,2,0,427,7,19
Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,76,72,4,1,0,1,6,1,2,0,2,0,49,0,5
Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,674,641,30,10,0,3,21,13,4,1,3,0,557,3,16
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,193,185,8,2,0,1,4,5,0,0,0,0,146,0,4
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,1493,1433,56,50,7,18,2,4,0,0,0,0,1281,4,11
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,241,169,72,10,0,0,0,0,0,0,0,0,171,0,0
Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,744,720,21,15,3,8,9,2,4,3,0,0,619,3,12
Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2
Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,1142,1040,95,50,3,39,57,5,35,3,24,0,930,7,17
Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,735,711,17,2,5,1,34,7,5,3,2,0,531,7,39
Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,763,723,36,29,0,21,0,0,0,0,0,0,599,4,5
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,847,696,149,18,0,3,39,131,0,0,0,0,696,2,22
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0
Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13
Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,592,576,16,13,3,6,5,1,0,0,0,0,447,0,11
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,1766,1710,51,42,0,5,2,8,0,0,0,0,1525,5,13
Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17
Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,578,487,89,5,0,2,21,81,3,1,2,0,470,2,18
Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,817,715,100,24,1,6,4,67,0,0,0,0,646,2,13
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8
Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,255,242,10,1,3,3,0,0,0,0,0,0,178,3,1
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,415,398,14,1,1,5,4,2,0,0,0,0,243,3,11
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26
Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20
Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,168,161,5,1,0,0,10,3,1,1,0,0,130,2,6
Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,174,168,4,2,1,2,0,2,0,0,0,0,160,2,3
Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,406,396,9,7,1,3,11,2,0,0,0,0,302,1,20
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,1024,966,56,30,1,14,8,26,0,0,0,0,814,2,18
David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,1189,1082,98,45,4,3,26,46,3,3,0,0,1042,9,11
Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,,,,,,,1,,,,,,,,
Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,85,80,5,0,0,0,0,0,0,0,0,0,56,0,1
Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,1460,1277,178,40,4,8,91,137,1,0,0,0,1217,5,24
Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,1988,1732,246,81,14,7,147,7,117,55,49,0,1640,10,30
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,1472,1428,42,34,0,15,1,0,0,0,0,0,1303,2,7
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10
Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,1097,1063,31,23,8,15,3,6,0,0,0,0,946,3,22
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,290,279,9,1,2,4,4,1,0,0,0,0,222,2,10
Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,1046,978,63,44,6,27,44,0,15,9,2,2,827,5,17
Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,877,826,37,30,1,25,7,7,0,0,0,0,509,14,13
Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,392,365,25,5,1,0,108,13,7,2,4,0,219,2,26
Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,145,96,48,13,0,0,0,0,0,0,0,0,95,1,0
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,809,782,21,8,3,10,43,2,9,5,4,0,607,6,18
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,2912,2393,509,70,26,59,252,341,98,16,74,1,2188,10,37
Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,521,502,17,15,0,5,11,0,1,1,0,0,420,2,8
Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,165,158,6,0,0,0,30,0,2,1,1,0,108,1,6
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,101,84,17,0,0,0,7,17,0,0,0,0,74,0,2
Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1
Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,848,789,58,7,0,3,65,50,0,0,0,0,658,1,32
Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0
Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,1402,1226,164,72,7,12,127,13,63,22,17,0,1110,12,18
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,982,946,30,0,3,4,26,18,11,0,0,0,811,6,29
Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,1005,956,47,16,1,11,23,16,12,6,4,0,896,2,8
Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,686,527,157,8,0,0,27,149,0,0,0,0,448,2,21
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,91,84,5,3,1,1,2,0,2,1,1,0,64,2,1
Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,18,2003,0.1,,,,,,,0,,,,,,,,
Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,579,431,147,6,0,2,23,141,0,0,0,0,350,1,16
Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,16.3,503,478,21,2,7,3,26,4,4,3,0,0,395,4,17
Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,4.1,84,76,8,0,0,1,4,0,3,0,3,0,68,0,1
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,1392,1308,80,72,5,35,9,2,0,0,0,0,1123,4,12
Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5
Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,3.0,83,80,3,0,0,1,2,2,0,0,0,0,63,0,1
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2
Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,13.6,299,278,20,1,1,1,16,8,0,0,0,0,215,1,16
Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5
Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,1110,869,238,14,1,2,39,222,2,0,1,0,830,3,31
Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,16,9,7,0,0,0,0,3,0,0,0,0,11,0,1
Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,1032,948,81,33,0,0,5,48,0,0,0,0,821,3,23
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,10.9,507,472,32,14,4,4,16,4,9,2,7,0,423,3,15
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16,2006,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,29.3,1548,1426,116,46,3,17,11,47,0,0,0,0,1254,6,20
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,22.2,1490,1396,91,80,1,22,26,9,1,0,0,0,1323,3,25
Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,18,2004,3.3,185,174,11,0,0,1,14,11,0,0,0,0,155,0,5
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,1972,1840,123,107,4,44,10,13,1,0,0,0,1561,9,13
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,2002,4.6,198,193,3,0,1,0,9,2,1,0,0,0,150,2,10
Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,32.9,1410,1370,34,2,4,8,50,21,3,1,2,0,1093,6,41
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,32.4,2324,2262,54,49,8,23,14,5,0,0,0,0,1942,8,31
Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,16.1,428,391,35,0,0,4,1,0,0,0,0,0,320,2,16
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,26.7,1455,1404,49,42,0,4,4,5,0,0,0,0,1218,2,12
Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,1544,1160,366,42,1,16,179,276,48,18,23,0,1012,18,40
Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,260,190,70,3,0,2,12,67,0,0,0,0,153,0,13
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,22,1999,14.0,526,480,45,9,2,5,43,21,14,9,1,1,387,1,18
Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,19,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0
Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,2059,1854,201,64,4,21,31,136,0,0,0,0,1629,4,31
Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22,2000,1.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18,2004,0.5,10,9,1,1,0,0,1,0,0,0,0,0,8,0,1
Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,6.6,420,418,2,2,1,0,0,0,0,0,0,0,380,0,5
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,20.3,348,335,12,1,1,1,35,8,0,0,0,0,186,1,18
Antony,br BRA,"FW,MF",Manchester Utd,eng Premier League,20,2001,20.0,,,,,,,32,,,,,,,,
Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,229,213,16,4,0,1,2,12,0,0,0,0,201,0,1
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,22.0,712,513,195,3,2,2,63,180,4,0,0,0,432,4,32
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4
Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,24,1998,5.8,370,361,9,4,1,3,6,1,3,0,0,0,299,0,9
Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20,2002,2.8,154,133,21,8,0,4,17,3,8,2,4,0,115,0,4
Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,8.8,468,393,74,5,0,0,21,69,0,0,0,0,339,1,8
Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18,2004,0.7,27,26,1,1,0,1,2,0,0,0,0,0,19,0,2
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,11.0,421,355,66,44,0,6,42,0,22,14,7,1,326,0,7
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6
Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1
Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,1.4,17,15,2,0,0,0,1,1,0,0,0,0,10,0,1
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0
Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26,1996,13.6,385,376,9,0,0,0,8,2,0,0,0,0,280,0,16
Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,25,1997,14.8,302,267,35,0,0,4,14,3,0,0,0,0,220,0,21
Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,30,1992,15.6,676,634,40,4,3,3,37,14,2,0,2,0,531,2,24
Marko Arnautović,at AUT,FW,Bologna,it Serie A,33,1989,17.0,467,420,40,0,3,0,9,4,0,0,0,0,328,7,15
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28,1994,30.7,1642,1335,296,177,6,32,154,9,87,57,28,0,1269,11,9
Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18,2004,0.0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0
Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,20,2001,0.2,11,9,2,0,0,0,1,0,2,1,0,0,9,0,0
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,28.5,1046,805,241,59,0,3,0,0,0,0,0,0,871,0,1
Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,18,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2
Tolgay Arslan,de GER,MF,Udinese,it Serie A,31,1990,13.5,605,556,48,27,0,15,28,6,14,7,1,0,485,1,14
Ricard Artero,es ESP,"MF,FW",Girona,es La Liga,19,2003,1.5,47,47,0,0,0,0,0,0,0,0,0,0,37,0,3
Arthur,br BRA,FW,Fiorentina,it Serie A,24,1998,15.9,271,253,16,0,1,1,4,3,0,0,0,0,183,2,14
Santiago Arzamendia,py PAR,"DF,MF",Cádiz,es La Liga,24,1998,5.4,226,188,35,7,0,3,14,26,2,1,1,0,150,3,16
Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,27,1994,19.0,342,336,4,1,2,0,28,2,1,0,0,0,237,2,16
Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,25,1997,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9
Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10.0,353,234,118,26,0,2,0,0,0,0,0,0,233,1,1
Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,26,1996,16.0,802,722,76,18,5,7,82,8,48,25,7,0,650,4,28
Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,21,2001,8.1,269,234,34,11,0,8,19,5,15,7,6,0,165,1,8
Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,19,2002,1.9,63,62,1,0,0,0,3,0,0,0,0,0,37,0,4
Kristjan Asllani,al ALB,MF,Inter,it Serie A,20,2002,6.6,457,426,30,13,1,5,21,1,16,5,9,0,402,1,4
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,34,1987,31.9,1227,1146,75,23,15,15,45,11,23,8,6,0,936,6,33
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22,2000,2.9,155,127,27,5,0,0,4,22,0,0,0,0,127,1,2
Youcef Atal,dz ALG,"DF,MF",Nice,fr Ligue 1,26,1996,8.7,509,432,77,11,1,1,40,66,0,0,0,0,408,0,19
Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,16,2005,1.9,48,48,0,0,0,1,1,0,0,0,0,0,41,0,1
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33,1989,6.2,111,101,10,0,0,0,3,0,0,0,0,0,82,0,5
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25.0,919,628,286,86,0,0,0,0,0,0,0,0,617,5,2
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,27,1994,34.0,1774,1408,365,49,0,5,170,295,21,6,15,0,1283,1,71
Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0
Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28,1994,1.5,70,60,10,0,0,0,6,10,0,0,0,0,49,0,0
Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29,1992,21.6,943,758,183,16,1,0,40,167,0,0,0,0,667,2,28
Mathias Autret,fr FRA,"MF,FW",Auxerre,fr Ligue 1,31,1991,14.3,597,530,64,20,4,18,65,10,24,13,7,0,451,3,15
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,28,1994,19.0,526,478,43,10,2,24,81,8,15,6,7,0,287,5,21
Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,35,1986,19.9,714,693,21,21,0,1,0,0,0,0,0,0,607,0,2
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,24,1997,15.6,223,220,3,0,2,1,3,1,0,0,0,0,143,0,9
Yasin Ayari,se SWE,MF,Brighton,eng Premier League,18,2003,0.7,23,22,0,0,1,0,0,0,0,0,0,0,20,1,0
Mehmet Aydin,de GER,"DF,FW",Schalke 04,de Bundesliga,20,2002,6.3,280,220,56,4,1,1,23,51,1,0,0,0,178,4,13
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,eng Premier League,32,1989,3.5,73,68,5,0,0,0,1,0,1,0,0,0,53,0,0
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,30,1991,30.2,875,860,13,3,5,1,43,9,0,0,0,0,676,2,34
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,27,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,30,1991,22.8,1132,912,212,22,0,11,62,190,0,0,0,0,786,8,46
Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,de Bundesliga,27,1995,10.3,247,232,13,0,2,0,0,1,0,0,0,0,162,2,10
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,32,1989,17.0,1065,893,169,30,0,0,26,139,0,0,0,0,872,3,14
Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iddrisu Baba,gh GHA,"MF,DF",Mallorca,es La Liga,26,1996,18.9,584,571,10,9,1,7,0,1,0,0,0,0,476,3,9
Srđan Babić,rs SRB,DF,Almería,es La Liga,26,1996,33.3,1373,1295,71,65,1,12,2,5,0,0,0,0,1172,7,9
Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22,2000,16.1,847,829,15,12,0,0,4,2,0,0,0,0,735,3,9
Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22,2000,1.0,59,59,0,0,0,0,0,0,0,0,0,0,52,0,0
Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36.0,1072,666,402,106,0,1,0,0,0,0,0,0,791,4,0
Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21,2001,10.1,860,840,19,17,1,6,2,2,0,0,0,0,769,1,4
Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21,2001,9.3,468,455,13,13,0,5,0,0,0,0,0,0,403,0,2
Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,21,2001,21.6,859,831,23,8,21,3,26,2,8,6,0,0,681,5,30
Jaime Báez,uy URU,DF,Cremonese,it Serie A,27,1995,1.1,48,44,4,2,0,0,9,0,2,0,1,0,32,0,2
Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,24,1997,21.9,547,507,40,4,4,5,96,10,18,13,0,0,337,0,31
Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28,1994,6.0,274,256,17,13,1,0,0,3,0,0,0,0,231,1,3
Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29,1993,1.4,56,55,1,1,0,1,0,0,0,0,0,0,52,0,0
Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,21,2000,0.6,32,29,3,3,0,0,0,0,0,0,0,0,27,0,0
Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,17,2004,5.8,258,255,3,3,0,3,5,0,0,0,0,0,200,0,6
Nedim Bajrami,al ALB,"MF,FW",Empoli,it Serie A,23,1999,10.4,348,305,43,9,0,4,35,8,18,10,5,0,260,0,8
Nedim Bajrami,al ALB,"FW,MF",Sassuolo,it Serie A,23,1999,9.1,355,307,48,9,0,0,57,5,34,17,13,0,245,0,15
