Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,DrblTkl,DrblCh,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Cristiano Ronaldo,pt POR,FW,Manchester Utd,37,1985,5.8,2,2,1,0,1,1,2,50.0,1,0,0,0,1,3,9,0
Connor Ronan,ie IRL,MF,Wolves,24,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Salomón Rondón,ve VEN,FW,Everton,32,1989,1.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Joe Rothwell,eng ENG,MF,Bournemouth,27,1995,11.3,20,13,7,12,1,7,21,33.3,14,14,3,11,9,29,7,0
Georginio Rutter,fr FRA,"FW,MF",Leeds United,20,2002,3.0,10,9,5,3,2,5,8,62.5,3,5,0,5,3,13,3,0
José Sá,pt POR,GK,Wolves,29,1993,36.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,10,6
Marcel Sabitzer,at AUT,MF,Manchester Utd,28,1994,7.0,12,8,3,8,1,2,11,18.2,9,6,2,4,8,20,11,0
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25,1997,12.4,10,3,3,6,1,2,11,18.2,9,4,0,4,5,15,2,0
Bukayo Saka,eng ENG,FW,Arsenal,20,2001,35.3,63,34,22,15,26,20,44,45.5,24,38,0,38,14,77,19,0
Mohamed Salah,eg EGY,FW,Liverpool,30,1992,36.6,21,12,4,5,12,10,26,38.5,16,21,0,21,6,27,4,0
William Saliba,fr FRA,DF,Arsenal,21,2001,26.8,34,20,23,9,2,15,18,83.3,3,13,10,3,19,53,85,4
Mohammed Salisu,gh GHA,DF,Southampton,23,1999,21.9,51,29,33,16,2,24,34,70.6,10,56,25,31,31,82,122,1
Albert Sambi Lokonga,be BEL,MF,Arsenal,22,1999,2.2,1,1,0,0,1,0,2,0.0,2,1,0,1,5,6,2,0
Albert Sambi Lokonga,be BEL,MF,Crystal Palace,22,1999,6.0,13,10,7,4,2,8,12,66.7,4,8,3,5,7,20,10,0
Davinson Sánchez,co COL,DF,Tottenham,26,1996,9.5,24,11,17,6,1,14,20,70.0,6,16,10,6,12,36,41,0
Robert Sánchez,es ESP,GK,Brighton,24,1997,23.0,1,0,1,0,0,0,0,,0,0,0,0,3,4,9,2
Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,22,2000,18.7,16,10,7,5,4,8,28,28.6,20,25,2,23,7,23,6,0
Morgan Sanson,fr FRA,MF,Aston Villa,27,1994,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0
Pablo Sarabia,es ESP,"FW,MF",Wolves,30,1992,8.5,12,6,4,5,3,6,15,40.0,9,7,0,7,2,14,4,0
Jeremy Sarmiento,ec ECU,MF,Brighton,20,2002,2.0,6,3,4,1,1,2,5,40.0,3,2,0,2,1,7,0,0
Gianluca Scamacca,it ITA,FW,West Ham,23,1999,10.3,10,5,1,3,6,2,2,100.0,0,3,0,3,4,14,5,0
Gustavo Scarpa,br BRA,"MF,FW",Nott'ham Forest,28,1994,2.0,5,2,3,1,1,2,5,40.0,3,4,0,4,0,5,3,0
Kevin Schade,de GER,FW,Brentford,20,2001,8.1,12,8,7,2,3,5,10,50.0,5,7,0,7,4,16,6,0
Fabian Schär,ch SUI,DF,Newcastle Utd,30,1991,35.6,47,22,31,13,3,24,39,61.5,15,34,19,15,52,99,139,0
Jeffrey Schlupp,gh GHA,"MF,FW",Crystal Palace,29,1992,28.1,66,46,28,29,9,22,43,51.2,21,39,8,31,23,89,38,0
Nélson Semedo,pt POR,DF,Wolves,28,1993,29.2,71,42,48,19,4,33,64,51.6,31,42,15,27,29,100,83,2
Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,22,2000,2.9,1,0,0,0,1,1,6,16.7,5,10,1,9,2,3,4,0
Marcos Senesi,ar ARG,DF,Bournemouth,25,1997,27.7,50,35,28,22,0,23,43,53.5,20,38,20,18,43,93,146,2
Ryan Sessegnon,eng ENG,DF,Tottenham,22,2000,9.0,16,11,9,7,0,6,12,50.0,6,8,1,7,6,22,17,1
Luke Shaw,eng ENG,DF,Manchester Utd,27,1995,28.4,55,36,31,22,2,32,45,71.1,13,51,17,34,36,91,55,2
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,1992,0.4,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0
Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30,1992,6.0,2,1,0,1,1,1,9,11.1,8,7,2,5,5,7,10,1
Bernardo Silva,pt POR,"MF,FW",Manchester City,27,1994,24.5,44,23,11,25,8,18,44,40.9,26,23,6,17,16,60,6,0
Thiago Silva,br BRA,DF,Chelsea,37,1984,26.1,41,27,24,17,0,21,31,67.7,10,38,29,9,34,75,111,2
Ellis Simms,eng ENG,FW,Everton,21,2001,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Luis Sinisterra,co COL,FW,Leeds United,23,1999,9.6,21,14,8,9,4,11,18,61.1,7,11,1,10,8,29,2,0
Oliver Skipp,eng ENG,MF,Tottenham,21,2000,16.6,34,17,18,15,1,16,33,48.5,17,17,8,9,17,51,19,1
Adam Smith,eng ENG,DF,Bournemouth,31,1991,32.7,49,29,27,19,3,29,60,48.3,31,30,13,17,25,74,81,1
Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,22,2000,1.9,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,2,0
Cédric Soares,pt POR,DF,Arsenal,30,1991,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Cédric Soares,pt POR,DF,Fulham,30,1991,2.2,8,5,4,3,1,3,3,100.0,0,3,1,2,1,9,5,0
Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,1997,31.8,15,9,8,3,4,5,22,22.7,17,26,7,19,6,21,46,0
Manor Solomon,il ISR,FW,Fulham,23,1999,6.4,20,12,12,6,2,9,16,56.3,7,8,0,8,5,25,3,0
Tomáš Souček,cz CZE,MF,West Ham,27,1995,31.3,77,37,41,29,7,28,58,48.3,30,42,17,25,53,130,71,3
Boubakary Soumaré,fr FRA,MF,Leicester City,23,1999,18.1,57,34,29,26,2,23,43,53.5,20,15,4,11,33,90,27,1
Harry Souttar,au AUS,DF,Leicester City,23,1998,11.0,15,9,10,5,0,7,18,38.9,11,16,12,4,12,27,45,0
Çağlar Söyüncü,tr TUR,DF,Leicester City,26,1996,5.9,14,9,10,4,0,7,10,70.0,3,9,8,1,7,21,30,0
Djed Spence,eng ENG,"FW,DF",Tottenham,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jack Stacey,eng ENG,DF,Bournemouth,26,1996,3.3,5,4,3,1,1,2,5,40.0,3,3,1,2,5,10,15,0
Junior Stanislas,eng ENG,MF,Bournemouth,32,1989,0.7,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0
Jay Stansfield,eng ENG,FW,Fulham,19,2002,1.0,0,0,0,0,0,0,2,0.0,2,4,1,3,1,1,1,0
Jason Steele,eng ENG,GK,Brighton,31,1990,15.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1
Jack Stephens,eng ENG,DF,Southampton,28,1994,0.5,2,2,2,0,0,1,1,100.0,0,1,1,0,1,3,2,0
Jack Stephens,eng ENG,DF,Bournemouth,28,1994,13.0,15,11,10,4,1,6,10,60.0,4,23,16,7,16,31,53,0
Raheem Sterling,eng ENG,"FW,MF",Chelsea,27,1994,21.0,18,10,5,4,9,8,14,57.1,6,17,0,17,2,20,5,0
John Stones,eng ENG,"DF,MF",Manchester City,28,1994,20.5,23,13,11,8,4,7,10,70.0,3,17,10,7,9,32,40,0
Pascal Struijk,nl NED,DF,Leeds United,22,1999,24.4,84,57,43,31,10,49,75,65.3,26,32,12,20,32,116,70,1
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,20,2002,10.7,15,9,4,7,4,4,14,28.6,10,16,0,16,6,21,6,0
Crysencio Summerville,nl NED,FW,Leeds United,20,2001,15.8,30,20,14,14,2,11,23,47.8,12,20,2,18,13,43,11,0
Sam Surridge,eng ENG,FW,Nott'ham Forest,24,1998,3.6,5,0,1,3,1,1,4,25.0,3,5,2,3,0,5,7,0
Japhet Tanganga,eng ENG,DF,Tottenham,23,1999,1.6,3,2,3,0,0,1,5,20.0,4,1,0,1,2,5,8,0
Matt Targett,eng ENG,DF,Newcastle Utd,26,1995,6.8,13,10,8,3,2,9,24,37.5,15,8,3,5,9,22,16,0
James Tarkowski,eng ENG,DF,Everton,29,1992,38.0,51,26,36,13,2,20,38,52.6,18,99,78,21,51,102,201,3
Marcus Tavernier,eng ENG,"MF,FW",Bournemouth,23,1999,19.4,33,22,19,11,3,11,32,34.4,21,25,4,21,9,42,23,0
Tetê,br BRA,FW,Leicester City,22,2000,8.2,14,8,5,7,2,6,21,28.6,15,9,0,9,2,16,3,0
Kenny Tete,nl NED,DF,Fulham,26,1995,28.5,83,46,41,29,13,38,50,76.0,12,48,17,31,52,135,81,1
Luke Thomas,eng ENG,DF,Leicester City,21,2001,11.9,23,19,15,5,3,15,32,46.9,17,20,4,16,27,50,35,0
Youri Tielemans,be BEL,MF,Leicester City,25,1997,26.0,66,39,27,30,9,23,61,37.7,38,35,8,27,28,94,24,1
Kieran Tierney,sct SCO,DF,Arsenal,25,1997,8.8,20,11,9,9,2,12,16,75.0,4,8,2,6,11,31,25,0
Harry Toffolo,eng ENG,DF,Nott'ham Forest,26,1995,10.4,17,8,10,4,3,10,14,71.4,4,16,8,8,10,27,33,0
Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,1998,7.4,27,18,12,10,5,13,18,72.2,5,7,0,7,14,41,15,1
James Tomkins,eng ENG,DF,Crystal Palace,33,1989,3.8,4,2,2,1,1,1,3,33.3,2,3,2,1,5,9,19,0
Ivan Toney,eng ENG,FW,Brentford,26,1996,32.8,23,13,4,9,10,7,23,30.4,16,24,9,15,14,37,36,0
Adama Traoré,es ESP,"FW,MF",Wolves,26,1996,16.6,14,7,7,4,3,4,9,44.4,5,8,1,7,3,17,17,0
Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,1995,2.6,1,1,1,0,0,1,4,25.0,3,5,0,5,2,3,0,0
Boubacar Traoré,ml MLI,MF,Wolves,20,2001,4.6,12,5,4,5,3,3,7,42.9,4,4,2,2,7,19,1,0
Mark Travers,ie IRL,GK,Bournemouth,23,1999,11.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0
Kieran Trippier,eng ENG,DF,Newcastle Utd,31,1990,37.1,71,49,36,27,8,46,90,51.1,44,45,15,30,43,114,84,2
Leandro Trossard,be BEL,FW,Arsenal,27,1994,10.3,12,7,4,2,6,6,18,33.3,12,18,0,18,6,18,3,1
Leandro Trossard,be BEL,"FW,MF",Brighton,27,1994,14.6,10,6,7,1,2,1,8,12.5,7,17,0,17,6,16,1,0
Kostas Tsimikas,gr GRE,DF,Liverpool,26,1996,8.6,14,9,10,2,2,10,16,62.5,6,8,1,7,12,26,15,0
Deniz Undav,de GER,"FW,MF",Brighton,26,1996,7.0,7,4,2,2,3,2,8,25.0,6,4,1,3,0,7,1,0
Yan Valery,tn TUN,DF,Southampton,23,1999,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
Virgil van Dijk,nl NED,DF,Liverpool,31,1991,31.5,27,14,13,11,3,8,19,42.1,11,24,16,8,31,58,138,2
Raphaël Varane,fr FRA,DF,Manchester Utd,29,1993,21.2,24,9,18,6,0,7,17,41.2,10,24,17,7,11,35,91,0
Jamie Vardy,eng ENG,FW,Leicester City,35,1987,20.6,10,5,4,3,3,1,7,14.3,6,17,3,14,2,12,30,0
Joël Veltman,nl NED,DF,Brighton,30,1992,24.3,62,32,44,14,4,37,57,64.9,20,27,8,19,19,81,51,0
Fabio Vieira,pt POR,"MF,FW",Arsenal,22,2000,5.7,6,4,3,0,3,3,5,60.0,2,5,0,5,4,10,2,0
Matías Viña,uy URU,DF,Bournemouth,24,1997,5.1,19,11,9,8,2,14,30,46.7,16,13,1,12,4,23,22,0
Rúben Vinagre,pt POR,"DF,MF",Everton,23,1999,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0
Carlos Vinícius,br BRA,FW,Fulham,27,1995,12.3,4,1,0,2,2,0,4,0.0,4,7,0,7,0,4,10,0
Theo Walcott,eng ENG,"FW,MF",Southampton,33,1989,12.5,13,6,8,4,1,8,27,29.6,19,8,1,7,9,22,7,0
Kyle Walker,eng ENG,DF,Manchester City,32,1990,21.8,13,9,8,5,0,4,24,16.7,20,12,2,10,18,31,22,0
Kyle Walker-Peters,eng ENG,DF,Southampton,25,1997,29.4,61,32,34,24,3,22,42,52.4,20,47,8,39,27,88,52,0
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,1997,15.9,40,25,20,17,3,23,25,92.0,2,24,8,16,22,62,41,0
Danny Ward,wls WAL,GK,Leicester City,29,1993,26.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,14,2
Joel Ward,eng ENG,DF,Crystal Palace,32,1989,25.1,50,36,30,11,9,30,41,73.2,11,32,16,16,25,75,80,1
James Ward-Prowse,eng ENG,MF,Southampton,27,1994,37.5,65,37,31,27,7,21,61,34.4,40,30,10,20,55,120,48,0
Ollie Watkins,eng ENG,FW,Aston Villa,26,1995,34.7,19,13,3,13,3,10,27,37.0,17,21,4,17,10,29,39,0
Adam Webster,eng ENG,DF,Brighton,27,1995,22.1,22,12,10,9,3,11,19,57.9,8,30,19,11,19,41,55,4
Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,1992,8.9,11,5,6,1,4,2,9,22.2,7,7,2,5,7,18,9,0
Danny Welbeck,eng ENG,FW,Brighton,31,1990,20.6,15,7,0,7,8,4,11,36.4,7,24,2,22,5,20,20,0
Ben White,eng ENG,DF,Arsenal,24,1997,33.9,60,31,23,30,7,42,70,60.0,28,47,11,36,22,82,79,1
Harvey White,eng ENG,MF,Tottenham,20,2001,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2004,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Neco Williams,wls WAL,DF,Nott'ham Forest,21,2001,20.9,72,47,49,17,6,38,71,53.5,33,33,8,25,33,105,48,0
Willian,br BRA,FW,Fulham,33,1988,23.6,13,8,8,3,2,7,25,28.0,18,13,0,13,9,22,9,0
Joe Willock,eng ENG,MF,Newcastle Utd,22,1999,28.4,51,30,13,26,12,25,58,43.1,33,54,8,46,25,76,17,0
Callum Wilson,eng ENG,FW,Newcastle Utd,30,1992,20.9,9,3,0,8,1,0,3,0.0,3,8,0,8,1,10,5,0
Harry Wilson,wls WAL,FW,Fulham,25,1997,12.2,21,13,9,9,3,8,18,44.4,10,17,2,15,6,27,14,0
Yoane Wissa,cd COD,FW,Brentford,25,1996,17.8,17,12,4,7,6,6,13,46.2,7,10,0,10,6,23,15,0
Maximilian Wöber,at AUT,DF,Leeds United,24,1998,14.1,25,18,9,15,1,16,24,66.7,8,32,14,18,27,52,67,1
Chris Wood,nz NZL,FW,Newcastle Utd,30,1991,5.0,5,4,0,3,2,3,5,60.0,2,2,2,0,1,6,7,0
Chris Wood,nz NZL,FW,Nott'ham Forest,30,1991,4.1,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0
Joe Worrall,eng ENG,DF,Nott'ham Forest,25,1997,24.7,53,25,39,12,2,25,35,71.4,10,33,23,10,26,79,111,1
Granit Xhaka,ch SUI,MF,Arsenal,29,1992,33.3,34,27,11,18,5,16,41,39.0,25,28,10,18,15,49,45,1
Ryan Yates,eng ENG,MF,Nott'ham Forest,24,1997,20.4,38,19,19,16,3,14,22,63.6,8,26,8,18,10,48,44,0
Ashley Young,eng ENG,DF,Aston Villa,37,1985,22.6,50,27,34,15,1,37,49,75.5,12,25,11,14,21,71,65,0
Illia Zabarnyi,ua UKR,DF,Bournemouth,19,2002,3.3,4,2,4,0,0,3,7,42.9,4,7,2,5,3,7,14,0
Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,25.4,32,20,12,12,8,8,21,38.1,13,21,1,20,16,48,9,0
Denis Zakaria,ch SUI,MF,Chelsea,25,1996,4.6,9,5,5,2,2,2,8,25.0,6,4,1,3,3,12,10,0
Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,16.2,39,24,24,14,1,23,43,53.5,20,31,9,22,16,55,32,0
Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,23.5,40,18,14,17,9,21,39,53.8,18,20,2,18,22,62,38,2
Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,7.3,20,12,12,5,3,4,9,44.4,5,8,0,8,5,25,5,1
Kurt Zouma,fr FRA,DF,West Ham,27,1994,22.1,9,4,4,5,0,5,8,62.5,3,17,14,3,30,39,120,1
Martin Ødegaard,no NOR,MF,Arsenal,23,1998,34.7,36,23,12,14,10,14,47,29.8,33,20,5,15,6,42,12,1
