Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,DrblTkl,DrblCh,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Emil Krafth,se SWE,DF,Newcastle Utd,27,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,2000,23.0,38,15,23,7,8,16,44,36.4,28,19,0,19,13,51,7,0
Layvin Kurzawa,fr FRA,DF,Fulham,29,1992,1.5,3,2,1,1,1,3,3,100.0,0,1,1,0,2,5,4,0
Adam Lallana,eng ENG,"MF,FW",Brighton,34,1988,8.0,9,4,6,2,1,0,7,0.0,7,6,0,6,2,11,1,0
Tariq Lamptey,gh GHA,DF,Brighton,21,2000,5.0,11,6,6,4,1,5,7,71.4,2,7,3,4,7,18,2,0
Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,1993,2.8,2,2,1,1,0,2,6,33.3,4,2,0,2,2,4,0,0
Aymeric Laporte,es ESP,DF,Manchester City,28,1994,11.0,11,8,6,4,1,7,11,63.6,4,10,4,6,3,14,30,1
Juan Larios,es ESP,DF,Southampton,18,2004,1.7,7,6,6,1,0,5,5,100.0,0,2,0,2,3,10,4,0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,1993,2.4,1,0,1,0,0,1,1,100.0,0,3,2,1,0,1,17,0
Roméo Lavia,be BEL,MF,Southampton,18,2004,24.7,60,35,27,29,4,21,53,39.6,32,47,11,36,33,93,23,1
Dexter Lembikisa,jm JAM,DF,Wolves,18,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mario Lemina,ga GAB,MF,Wolves,28,1993,14.4,38,24,22,13,3,20,38,52.6,18,26,8,18,14,52,24,1
Clément Lenglet,fr FRA,DF,Tottenham,27,1995,22.4,38,23,18,15,5,16,34,47.1,18,26,11,15,18,56,68,2
Bernd Leno,de GER,GK,Fulham,30,1992,36.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,18,0
Jefferson Lerma,co COL,MF,Bournemouth,27,1994,36.1,50,30,23,23,4,20,45,44.4,25,32,15,17,47,97,91,1
Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rico Lewis,eng ENG,"DF,MF",Manchester City,17,2004,10.0,16,9,9,5,2,6,11,54.5,5,8,4,4,6,22,13,1
Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,2001,3.6,1,0,0,1,0,0,0,,0,5,1,4,0,1,2,0
Victor Lindelöf,se SWE,DF,Manchester Utd,28,1994,15.2,22,17,10,9,3,9,17,52.9,8,18,9,9,21,43,63,1
Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,1992,10.3,4,4,2,2,0,1,7,14.3,6,11,0,11,5,9,4,0
Valentino Livramento,eng ENG,"DF,FW",Southampton,19,2002,0.3,2,1,2,0,0,0,0,,0,0,0,0,2,4,3,0
Diego Llorente,es ESP,DF,Leeds United,28,1993,7.2,13,10,8,5,0,4,8,50.0,4,6,2,4,15,28,24,2
Hugo Lloris,fr FRA,GK,Tottenham,35,1986,24.5,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,13,4
Renan Lodi,br BRA,DF,Nott'ham Forest,24,1998,24.6,52,39,38,8,6,33,66,50.0,33,25,6,19,33,85,74,0
Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,1996,17.1,25,14,8,14,3,12,21,57.1,9,15,2,13,12,37,23,0
Sean Longstaff,eng ENG,MF,Newcastle Utd,24,1997,28.0,42,21,16,20,6,20,52,38.5,32,35,8,27,16,58,23,0
Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Douglas Luiz,br BRA,MF,Aston Villa,24,1998,32.5,73,42,31,32,10,30,63,47.6,33,36,7,29,40,113,27,2
Saša Lukić,rs SRB,MF,Fulham,25,1996,4.6,8,3,1,4,3,3,7,42.9,4,6,2,4,5,13,3,0
Lyanco,br BRA,DF,Southampton,25,1997,13.1,24,16,15,9,0,12,18,66.7,6,30,25,5,20,44,65,2
Alexis Mac Allister,ar ARG,MF,Brighton,23,1998,32.1,70,39,22,40,8,34,70,48.6,36,26,2,24,22,92,10,1
James Maddison,eng ENG,"MF,FW",Leicester City,25,1996,27.6,51,26,25,19,7,19,50,38.0,31,19,1,18,13,64,6,1
Noni Madueke,eng ENG,FW,Chelsea,20,2002,7.1,12,8,5,4,3,6,13,46.2,7,13,2,11,4,16,7,0
Harry Maguire,eng ENG,DF,Manchester Utd,29,1993,8.5,8,6,6,1,1,4,5,80.0,1,18,11,7,13,21,41,0
Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,1991,21.3,30,14,8,13,9,13,38,34.2,25,27,1,26,9,39,5,0
Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,2005,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,1997,15.6,45,24,23,18,4,28,44,63.6,16,28,7,21,22,67,45,1
Tyrell Malacia,nl NED,DF,Manchester Utd,22,1999,15.5,46,33,33,12,1,14,25,56.0,11,13,3,10,25,71,49,0
Orel Mangala,be BEL,MF,Nott'ham Forest,24,1998,17.2,28,20,16,10,2,12,29,41.4,17,21,7,14,23,51,15,0
Javier Manquillo,es ESP,DF,Newcastle Utd,28,1994,0.4,3,2,2,1,0,2,2,100.0,0,1,0,1,1,4,1,0
Sekou Mara,fr FRA,"FW,MF",Southampton,20,2002,6.2,14,10,5,8,1,3,9,33.3,6,11,0,11,1,15,5,0
Solly March,eng ENG,"FW,DF",Brighton,28,1994,30.2,53,31,16,17,20,8,28,28.6,20,34,3,31,24,77,32,0
Emiliano Marcondes,dk DEN,MF,Bournemouth,27,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Marquinhos,br BRA,MF,Arsenal,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Anthony Martial,fr FRA,FW,Manchester Utd,26,1995,10.9,5,3,0,2,3,1,4,25.0,3,11,2,9,1,6,4,0
Martinelli,br BRA,FW,Arsenal,21,2001,31.0,31,18,13,12,6,9,22,40.9,13,24,1,23,9,40,14,0
Emiliano Martínez,ar ARG,GK,Aston Villa,29,1992,34.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,23,1
Lisandro Martínez,ar ARG,DF,Manchester Utd,24,1998,23.5,54,28,33,18,3,30,43,69.8,13,51,27,24,33,87,103,0
Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19,2002,2.4,7,6,4,2,1,4,8,50.0,4,3,2,1,6,13,6,0
