Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,npGls,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Glsp90,Astp90,G+Ap90,npGlsp90,npGlsAstp90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90
Toti Gomes,pt POR,DF,Wolves,23.0,1999.0,17.0,10.0,984,10.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,0.7,4.0,27.0,23.0,0.09,0.0,0.09,0.09,0.09,0.04,0.02,0.06,0.04,0.06
Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21.0,2001.0,16.0,4.0,487,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.9,2.6,20.0,15.0,45.0,0.18,0.0,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48
Sam Greenwood,eng ENG,"MF,FW",Leeds United,20.0,2002.0,18.0,3.0,424,4.7,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.8,7.0,15.0,10.0,0.21,0.42,0.64,0.21,0.64,0.15,0.24,0.39,0.15,0.39
Gonçalo Guedes,pt POR,"FW,MF",Wolves,25.0,1996.0,13.0,8.0,707,7.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.5,1.7,20.0,16.0,54.0,0.13,0.13,0.25,0.13,0.25,0.15,0.06,0.22,0.15,0.22
Marc Guéhi,eng ENG,DF,Crystal Palace,22.0,2000.0,37.0,37.0,"3,329",37.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,0.5,1.9,17.0,106.0,3.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05
Rob Holding,eng ENG,DF,Arsenal,26.0,1995.0,14.0,6.0,566,6.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,24.0,2.0,0.16,0.0,0.16,0.16,0.16,0.05,0.0,0.05,0.05,0.05
Will Hughes,eng ENG,MF,Crystal Palace,27.0,1995.0,27.0,7.0,842,9.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.9,1.2,14.0,32.0,23.0,0.11,0.11,0.21,0.11,0.21,0.04,0.1,0.13,0.04,0.13
Reece James,eng ENG,"DF,MF",Chelsea,22.0,1999.0,16.0,14.0,"1,244",13.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,4.0,52.0,90.0,115.0,0.07,0.07,0.14,0.07,0.14,0.07,0.22,0.29,0.07,0.29
Pontus Jansson,se SWE,DF,Brentford,31.0,1991.0,12.0,9.0,724,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,14.0,0.0,0.12,0.0,0.12,0.12,0.12,0.04,0.0,0.04,0.04,0.04
Michael Keane,eng ENG,DF,Everton,29.0,1993.0,12.0,10.0,985,10.9,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.7,2.1,2.0,31.0,4.0,0.09,0.18,0.27,0.09,0.27,0.12,0.07,0.19,0.12,0.19
Jakub Kiwior,pl POL,DF,Arsenal,22.0,2000.0,7.0,5.0,427,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,6.0,0.21,0.0,0.21,0.21,0.21,0.02,0.01,0.03,0.02,0.03
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32.0,1989.0,21.0,10.0,882,9.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.7,1.1,6.0,19.0,14.0,0.1,0.0,0.1,0.1,0.1,0.04,0.07,0.11,0.04,0.11
Mateo Kovačić,hr CRO,MF,Chelsea,28.0,1994.0,27.0,17.0,"1,707",19.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.8,1.8,2.1,3.9,37.0,153.0,30.0,0.05,0.11,0.16,0.05,0.16,0.09,0.11,0.2,0.09,0.2
Manuel Lanzini,ar ARG,"MF,FW",West Ham,29.0,1993.0,10.0,2.0,252,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,2.0,19.0,6.0,0.36,0.0,0.36,0.36,0.36,0.19,0.06,0.25,0.19,0.25
Roméo Lavia,be BEL,MF,Southampton,18.0,2004.0,29.0,26.0,"2,221",24.7,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.4,0.4,0.6,1.0,22.0,102.0,14.0,0.04,0.0,0.04,0.04,0.04,0.02,0.03,0.04,0.02,0.04
Sean Longstaff,eng ENG,MF,Newcastle Utd,24.0,1997.0,33.0,28.0,"2,518",28.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,3.6,3.6,3.3,6.9,21.0,116.0,115.0,0.04,0.14,0.18,0.04,0.18,0.13,0.12,0.25,0.13,0.25
