Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Mikael Ellertsson,is ISL,"MF,DF",Spezia,it Serie A,20,2002,1.9,0,2,0,0.0,1.05,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Harvey Elliott,za RSA,"FW,MF",Liverpool,eng Premier League,19,2003,17.9,1,36,12,33.3,2.01,0.67,0.03,0.08,,,0,0,,,,,
Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,1999,18.1,6,32,10,31.3,1.77,0.55,0.16,0.50,17.7,1,1,1,4.0,3.3,0.10,+2.0,+1.7
Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,1992,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,1994,16.1,0,8,0,0.0,0.50,0.00,0.00,,21.5,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,25,1996,31.4,3,18,9,50.0,0.57,0.29,0.17,0.33,10.5,0,0,0,2.6,2.6,0.14,+0.4,+0.4
Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,35.1,0,19,1,5.3,0.54,0.03,0.00,0.00,14.7,1,0,0,1.0,1.0,0.05,-1.0,-1.0
Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,eng Premier League,27,1994,24.1,1,36,10,27.8,1.49,0.42,0.03,0.10,15.8,0,0,0,3.5,3.5,0.10,-2.5,-2.5
Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,16.4,4,47,19,40.4,2.87,1.16,0.06,0.16,23.9,13,1,1,3.8,3.1,0.06,+0.2,-0.1
Adri Embarba,es ESP,FW,Espanyol,es La Liga,30,1992,0.4,0,2,0,0.0,5.14,0.00,0.00,,29.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,20.7,12,40,20,50.0,1.94,0.97,0.30,0.60,10.9,0,0,1,8.5,7.6,0.19,+3.5,+4.4
Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,19.3,2,17,6,35.3,0.88,0.31,0.12,0.33,16.6,0,0,0,1.7,1.7,0.10,+0.3,+0.3
Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,18.5,8,60,23,38.3,3.25,1.25,0.13,0.35,11.6,0,0,0,8.1,8.1,0.14,-0.1,-0.1
Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,32.5,5,45,15,33.3,1.39,0.46,0.11,0.33,16.7,0,0,0,3.8,3.8,0.09,+1.2,+1.2
Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,16.0,0,17,2,11.8,1.06,0.12,0.00,0.00,26.8,2,0,0,0.6,0.6,0.03,-0.6,-0.6
Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,1992,22.8,1,39,11,28.2,1.71,0.48,0.03,0.09,19.3,4,0,0,5.0,5.0,0.13,-4.0,-4.0
Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,25.9,0,4,0,0.0,0.15,0.00,0.00,,8.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,6.2,0,6,1,16.7,0.97,0.16,0.00,0.00,17.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29,1993,12.5,4,14,6,42.9,1.12,0.48,0.29,0.67,12.5,0,0,0,3.5,3.5,0.25,+0.5,+0.5
Sergio Escudero,es ESP,DF,Valladolid,es La Liga,32,1989,16.0,1,27,7,25.9,1.69,0.44,0.04,0.14,23.4,3,0,0,1.5,1.5,0.06,-0.5,-0.5
Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30,1992,34.7,0,20,1,5.0,0.58,0.03,0.00,0.00,28.9,0,0,0,1.5,1.5,0.08,-1.5,-1.5
Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,13.6,1,11,5,45.5,0.81,0.37,0.09,0.20,10.7,0,0,0,1.2,1.2,0.11,-0.2,-0.2
Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,10.8,1,14,2,14.3,1.30,0.19,0.07,0.50,28.5,11,0,0,0.7,0.7,0.05,+0.3,+0.3
Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,18.3,0,6,0,0.0,0.33,0.00,0.00,,9.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24,1998,29.7,1,29,4,13.8,0.98,0.13,0.03,0.25,19.3,0,0,0,1.7,1.7,0.06,-0.7,-0.7
Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,11.7,0,1,1,100.0,0.09,0.09,0.00,0.00,3.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Edu Expósito,es ESP,MF,Espanyol,es La Liga,25,1996,12.9,2,19,7,36.8,1.47,0.54,0.11,0.29,24.7,2,0,0,0.9,0.9,0.05,+1.1,+1.1
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,29.3,10,70,25,35.7,2.39,0.85,0.13,0.36,21.9,14,1,1,7.3,6.5,0.09,+2.7,+2.5
Kimberly Ezekwem,de GER,DF,Freiburg,de Bundesliga,21,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,es La Liga,22,2000,5.7,0,5,2,40.0,0.88,0.35,0.00,0.00,14.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Abdessamad Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,16.7,4,40,16,40.0,2.39,0.96,0.10,0.25,19.1,2,0,0,2.7,2.7,0.07,+1.3,+1.3
Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37,1985,34.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabinho,br BRA,MF,Liverpool,eng Premier League,28,1993,29.7,0,18,4,22.2,0.61,0.13,0.00,0.00,22.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7
Fábio,br BRA,"DF,MF",Nantes,fr Ligue 1,32,1990,2.5,0,3,2,66.7,1.21,0.80,0.00,0.00,13.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,14.5,1,11,3,27.3,0.76,0.21,0.09,0.33,18.3,0,0,0,0.7,0.7,0.07,+0.3,+0.3
Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,31.0,1,13,3,23.1,0.42,0.10,0.08,0.33,11.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Wout Faes,be BEL,DF,Reims,fr Ligue 1,24,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,21,2001,16.9,3,13,8,61.5,0.77,0.47,0.23,0.38,19.7,0,0,0,1.5,1.5,0.12,+1.5,+1.5
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,33,1988,11.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,24,1998,13.8,5,25,14,56.0,1.81,1.01,0.20,0.36,17.0,0,0,0,2.7,2.7,0.11,+2.3,+2.3
Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24,1998,3.3,0,5,2,40.0,1.50,0.60,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,es La Liga,36,1986,6.8,2,20,4,20.0,2.92,0.58,0.05,0.25,16.2,0,1,1,2.9,2.1,0.10,-0.9,-1.1
Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fali,es ESP,"DF,MF",Cádiz,es La Liga,28,1993,19.0,0,9,0,0.0,0.47,0.00,0.00,,16.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Fallou Fall,sn SEN,DF,Reims,fr Ligue 1,18,2004,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mamadou Fall,sn SEN,DF,Villarreal,es La Liga,19,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,30,1991,16.5,2,20,5,25.0,1.21,0.30,0.10,0.40,18.6,0,0,0,2.7,2.7,0.14,-0.7,-0.7
Ansu Fati,es ESP,FW,Barcelona,es La Liga,19,2002,15.5,7,61,18,29.5,3.94,1.16,0.11,0.39,15.0,3,0,0,9.1,9.1,0.16,-2.1,-2.1
Khalil Fayad,fr FRA,MF,Montpellier,fr Ligue 1,18,2004,8.0,0,8,3,37.5,1.00,0.38,0.00,0.00,21.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Cheikh Faye,sn SEN,FW,Montpellier,fr Ligue 1,23,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Federico Fazio,ar ARG,DF,Salernitana,it Serie A,35,1987,11.9,1,11,2,18.2,0.92,0.17,0.09,0.50,10.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3
Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,19,2003,9.2,0,14,1,7.1,1.53,0.11,0.00,0.00,20.5,1,0,0,1.0,1.0,0.07,-1.0,-1.0
Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,33,1989,4.2,0,1,0,0.0,0.24,0.00,0.00,,3.5,0,0,0,0.2,0.2,0.20,-0.2,-0.2
Nabil Fekir,fr FRA,MF,Betis,es La Liga,29,1993,10.7,2,24,6,25.0,2.25,0.56,0.04,0.17,21.5,9,1,1,2.4,1.6,0.07,-0.4,-0.6
Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,33,1989,15.8,0,13,1,7.7,0.83,0.06,0.00,0.00,9.0,0,0,0,1.2,1.2,0.09,-1.2,-1.2
Felipe,br BRA,DF,Atlético Madrid,es La Liga,33,1989,2.2,0,1,0,0.0,0.46,0.00,0.00,,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Luiz Felipe,it ITA,DF,Betis,es La Liga,25,1997,19.6,0,3,1,33.3,0.15,0.05,0.00,0.00,11.2,0,0,0,0.2,0.2,0.07,-0.2,-0.2
João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,22,1999,10.5,4,46,16,34.8,4.40,1.53,0.09,0.25,18.0,3,0,0,4.9,4.9,0.11,-0.9,-0.9
João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,22,1999,7.2,4,26,12,46.2,3.60,1.66,0.15,0.33,18.9,1,0,0,2.8,2.8,0.11,+1.2,+1.2
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,24,1997,16.1,0,4,1,25.0,0.25,0.06,0.00,0.00,9.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Kiko Femenía,es ESP,DF,Villarreal,es La Liga,31,1991,12.6,0,2,0,0.0,0.16,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,17,2004,10.6,6,36,17,47.2,3.41,1.61,0.17,0.35,15.2,0,0,0,5.3,5.3,0.15,+0.7,+0.7
Lewis Ferguson,sct SCO,"MF,FW",Bologna,it Serie A,22,1999,25.7,7,43,18,41.9,1.67,0.70,0.16,0.39,15.5,0,0,0,4.7,4.7,0.11,+2.3,+2.3
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,27,1994,36.8,8,90,32,35.6,2.44,0.87,0.07,0.19,20.8,6,2,2,9.3,7.7,0.09,-1.3,-1.7
Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,26,1996,27.1,0,15,3,20.0,0.55,0.11,0.00,0.00,25.0,4,0,0,0.7,0.7,0.04,-0.7,-0.7
Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31,1991,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Álex Fernández,es ESP,"MF,FW",Cádiz,es La Liga,29,1992,17.5,3,16,8,50.0,0.91,0.46,0.13,0.25,12.9,0,1,1,2.7,1.9,0.12,+0.3,+0.1
Álvaro Fernández,es ESP,GK,Espanyol,es La Liga,24,1998,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,26,1996,7.0,1,21,5,23.8,3.00,0.71,0.05,0.20,13.1,0,0,0,2.4,2.4,0.11,-1.4,-1.4
Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,21,2001,17.2,0,20,3,15.0,1.16,0.17,0.00,0.00,25.7,2,0,0,0.8,0.8,0.04,-0.8,-0.8
Federico Fernández,ar ARG,DF,Elche,es La Liga,33,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,26,1996,24.0,1,10,1,10.0,0.42,0.04,0.10,1.00,13.5,0,0,0,0.6,0.6,0.06,+0.4,+0.4
Fernando,es ESP,GK,Almería,es La Liga,32,1990,36.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fernando,br BRA,"MF,DF",Sevilla,es La Liga,35,1987,17.5,0,6,0,0.0,0.34,0.00,0.00,,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,28,1994,9.6,0,5,0,0.0,0.52,0.00,0.00,,20.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Alex Ferrari,it ITA,DF,Cremonese,it Serie A,28,1994,11.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Salvador Ferrer,es ESP,DF,Spezia,it Serie A,24,1998,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,30,1992,30.4,1,14,2,14.3,0.46,0.07,0.07,0.50,24.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2
Fidel,es ESP,"MF,FW",Elche,es La Liga,32,1989,19.0,3,13,2,15.4,0.68,0.11,0.15,1.00,15.6,0,1,1,2.3,1.5,0.11,+0.7,+0.5
Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,24,1998,0.5,0,1,0,0.0,1.91,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,32,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Roberto Firmino,br BRA,"FW,MF",Liverpool,eng Premier League,30,1991,13.5,11,39,25,64.1,2.89,1.85,0.28,0.44,12.3,0,0,0,5.5,5.5,0.14,+5.5,+5.5
Junior Firpo,es ESP,DF,Leeds United,eng Premier League,25,1996,15.2,1,2,1,50.0,0.13,0.07,0.50,1.00,12.2,0,0,0,0.1,0.1,0.06,+0.9,+0.9
Kilian Fischer,de GER,"DF,FW",Wolfsburg,de Bundesliga,21,2000,5.6,0,3,1,33.3,0.54,0.18,0.00,0.00,19.8,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,29,1993,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Florian Flick,de GER,MF,Schalke 04,de Bundesliga,22,2000,5.7,0,2,1,50.0,0.35,0.18,0.00,0.00,24.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Alexis Flips,fr FRA,"FW,MF",Reims,fr Ligue 1,22,2000,22.0,4,53,20,37.7,2.41,0.91,0.08,0.20,24.1,9,0,0,3.9,3.9,0.07,+0.1,+0.1
Alessandro Florenzi,it ITA,DF,Milan,it Serie A,31,1991,2.3,0,5,1,20.0,2.22,0.44,0.00,0.00,16.2,1,0,0,0.8,0.8,0.15,-0.8,-0.8
Phil Foden,eng ENG,FW,Manchester City,eng Premier League,22,2000,20.5,11,46,22,47.8,2.25,1.07,0.24,0.50,15.3,1,0,0,5.9,5.9,0.13,+5.1,+5.1
Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,27,1995,34.1,7,82,22,26.8,2.40,0.64,0.07,0.27,19.9,0,1,2,9.3,7.7,0.09,-2.3,-1.7
Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,21,2000,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,21,2000,13.1,1,6,2,33.3,0.46,0.15,0.17,0.50,11.4,0,0,0,0.7,0.7,0.12,+0.3,+0.3
Yahia Fofana,fr FRA,GK,Angers,fr Ligue 1,21,2000,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,23,1999,34.3,2,42,10,23.8,1.22,0.29,0.05,0.20,22.9,1,0,0,2.8,2.8,0.07,-0.8,-0.8
Thomas Foket,be BEL,DF,Reims,fr Ligue 1,27,1994,22.0,0,2,1,50.0,0.09,0.05,0.00,0.00,11.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
José Fonte,pt POR,DF,Lille,fr Ligue 1,38,1983,28.8,1,14,2,14.3,0.49,0.07,0.07,0.50,12.3,0,0,0,1.4,1.4,0.11,-0.4,-0.4
Pablo Fornals,es ESP,"FW,MF",West Ham,eng Premier League,26,1996,16.7,3,27,7,25.9,1.62,0.42,0.11,0.43,22.6,0,0,0,2.2,2.2,0.08,+0.8,+0.8
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,30,1991,16.5,6,21,9,42.9,1.28,0.55,0.19,0.44,18.1,1,2,2,4.9,3.3,0.16,+1.1,+0.7
Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,30,1991,5.3,0,1,0,0.0,0.19,0.00,0.00,,26.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,34,1988,13.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Philipp Förster,de GER,MF,Bochum,de Bundesliga,27,1995,14.5,3,17,6,35.3,1.17,0.41,0.18,0.50,20.2,2,0,0,1.4,1.4,0.08,+1.6,+1.6
Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,30,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,24,1998,2.1,0,3,2,66.7,1.41,0.94,0.00,0.00,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,29,1993,19.3,0,3,0,0.0,0.16,0.00,0.00,,13.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Juan Foyth,ar ARG,DF,Villarreal,es La Liga,24,1998,21.8,1,14,4,28.6,0.64,0.18,0.07,0.25,13.7,0,0,0,1.1,1.1,0.08,-0.1,-0.1
Raphael Framberger,de GER,"DF,FW",Augsburg,de Bundesliga,26,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tyrese Francois,au AUS,FW,Fulham,eng Premier League,22,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bartol Franjić,hr CRO,MF,Wolfsburg,de Bundesliga,22,2000,2.5,0,2,2,100.0,0.79,0.79,0.00,0.00,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Przemysław Frankowski,pl POL,"DF,MF",Lens,fr Ligue 1,27,1995,31.5,5,28,6,21.4,0.89,0.19,0.07,0.33,22.1,2,3,3,4.2,1.8,0.06,+0.8,+0.2
Ryan Fraser,sct SCO,FW,Newcastle Utd,eng Premier League,28,1994,3.5,0,6,1,16.7,1.73,0.29,0.00,0.00,16.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,22,1999,31.9,7,64,24,37.5,2.00,0.75,0.11,0.29,13.9,0,0,0,7.8,7.8,0.12,-0.8,-0.8
Oscar Fraulo,dk DEN,"FW,MF",M'Gladbach,de Bundesliga,18,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fred,br BRA,MF,Manchester Utd,eng Premier League,29,1993,13.9,2,26,5,19.2,1.87,0.36,0.08,0.40,19.5,0,0,0,2.0,2.0,0.08,0.0,0.0
Ryan Fredericks,eng ENG,DF,Bournemouth,eng Premier League,29,1992,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Iván Fresneda,es ESP,DF,Valladolid,es La Liga,17,2004,19.4,0,4,0,0.0,0.21,0.00,0.00,,17.8,0,0,0,0.6,0.6,0.15,-0.6,-0.6
Remo Freuler,ch SUI,MF,Nott'ham Forest,eng Premier League,30,1992,24.0,0,8,1,12.5,0.33,0.04,0.00,0.00,20.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Michael Frey,ch SUI,FW,Schalke 04,de Bundesliga,28,1994,9.6,0,27,9,33.3,2.80,0.93,0.00,0.00,15.8,0,0,0,1.7,1.7,0.06,-1.7,-1.7
Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,24,1998,28.8,0,6,1,16.7,0.21,0.03,0.00,0.00,20.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,26,1995,13.9,1,9,4,44.4,0.65,0.29,0.11,0.25,12.9,0,0,0,0.9,0.9,0.09,+0.1,+0.1
Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,21,2000,30.1,8,38,19,50.0,1.26,0.63,0.21,0.42,11.9,0,0,0,7.6,7.6,0.20,+0.4,+0.4
Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,24,1998,20.9,5,43,13,30.2,2.05,0.62,0.09,0.31,18.5,0,1,1,3.6,2.9,0.07,+1.4,+1.1
Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,25,1996,9.5,1,12,8,66.7,1.26,0.84,0.08,0.13,15.7,0,0,0,1.3,1.3,0.11,-0.3,-0.3
Angelo Fulgini,fr FRA,MF,Mainz 05,de Bundesliga,25,1996,5.8,0,8,4,50.0,1.37,0.69,0.00,0.00,18.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,29,1993,27.5,16,74,32,43.2,2.69,1.16,0.15,0.34,16.0,0,5,5,12.8,8.6,0.12,+3.2,+2.4
Matteo Gabbia,it ITA,DF,Milan,it Serie A,22,1999,6.8,0,1,0,0.0,0.15,0.00,0.00,,19.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Manolo Gabbiadini,it ITA,"FW,MF",Sampdoria,it Serie A,30,1991,26.2,7,72,28,38.9,2.75,1.07,0.10,0.25,19.3,6,0,0,7.4,7.4,0.10,-0.4,-0.4
Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,22,2000,0.8,1,7,5,71.4,8.29,5.92,0.14,0.20,18.3,0,0,0,1.1,1.1,0.15,-0.1,-0.1
Roberto Gagliardini,it ITA,MF,Inter,it Serie A,28,1994,8.7,0,16,2,12.5,1.84,0.23,0.00,0.00,16.1,0,0,0,0.9,0.9,0.05,-0.9,-0.9
Adolfo Gaich,ar ARG,FW,Hellas Verona,it Serie A,23,1999,8.1,2,24,8,33.3,2.98,0.99,0.08,0.25,16.8,0,0,0,2.5,2.5,0.10,-0.5,-0.5
Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,23,1999,16.2,7,39,12,30.8,2.41,0.74,0.18,0.58,14.8,0,0,0,6.2,6.2,0.16,+0.8,+0.8
Javi Galán,es ESP,DF,Celta Vigo,es La Liga,27,1994,35.1,0,13,1,7.7,0.37,0.03,0.00,0.00,22.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,28,1993,27.2,0,10,2,20.0,0.37,0.07,0.00,0.00,25.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Pablo Galdames Millán,cl CHI,MF,Cremonese,it Serie A,25,1996,8.2,1,7,4,57.1,0.86,0.49,0.14,0.25,23.3,1,0,0,0.3,0.3,0.05,+0.7,+0.7
Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,22,2000,18.0,3,28,11,39.3,1.55,0.61,0.11,0.27,17.9,0,0,0,2.5,2.5,0.09,+0.5,+0.5
Antonino Gallo,it ITA,DF,Lecce,it Serie A,22,2000,27.6,0,10,2,20.0,0.36,0.07,0.00,0.00,25.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,29,1993,29.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,32,1989,16.4,0,8,1,12.5,0.49,0.06,0.00,0.00,29.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Kévin Gameiro,fr FRA,FW,Strasbourg,fr Ligue 1,35,1987,23.3,10,44,22,50.0,1.89,0.94,0.20,0.41,13.0,0,1,2,8.0,6.3,0.14,+2.0,+2.7
Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,32,1989,28.6,0,15,6,40.0,0.52,0.21,0.00,0.00,25.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,23,1999,16.9,5,33,14,42.4,1.95,0.83,0.15,0.36,13.0,0,0,0,3.7,3.7,0.11,+1.3,+1.3
Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,23,1999,0.7,0,1,0,0.0,1.53,0.00,0.00,,23.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Silvère Ganvoula M'Boussy,cg CGO,"FW,MF",Bochum,de Bundesliga,26,1996,2.7,0,9,3,33.3,3.28,1.09,0.00,0.00,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Aleix García,es ESP,MF,Girona,es La Liga,25,1997,26.0,1,32,14,43.8,1.23,0.54,0.03,0.07,23.2,4,0,0,1.8,1.8,0.06,-0.8,-0.8
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,29,1992,31.9,5,52,21,40.4,1.63,0.66,0.10,0.24,17.7,0,0,0,3.6,3.6,0.07,+1.4,+1.4
Borja García,es ESP,"MF,FW",Girona,es La Liga,31,1990,7.5,1,8,3,37.5,1.06,0.40,0.13,0.33,20.9,0,0,0,0.7,0.7,0.09,+0.3,+0.3
