Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0
James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0
George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.6
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9
Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.2
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.8
Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4
Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6
Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0
Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9
Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0
Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2
Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5
Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.4
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4
Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,9,0,0,21,30,1,25,7,11,0,0,0,66,10,4,71.4
Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.4
Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0
Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,5,0,0,30,8,1,9,27,25,0,0,0,84,31,18,63.3
Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0
Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9
Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6
Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.2
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0
Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4
Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5
Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2
Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7
Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,5,0,0,23,19,5,4,1,5,0,0,0,50,91,85,51.7
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0
Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3
Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0
Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2
Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.9
David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9
Ángel Alarcón,es ESP,FW,Barcelona,es La Liga,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,,,,
Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.7
Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8
Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0
Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6
Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8
Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3
Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5
Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0
Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6
Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0
Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21,2001,2.0,0,0,0,8,1,2,7,1,5,0,0,0,16,2,7,22.2
Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7
Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4
Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,2,0,0,22,33,9,26,10,30,0,0,0,139,6,10,37.5
Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2
Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.2
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,3,0,0,5,0,0,2,3,4,0,0,0,18,4,1,80.0
Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,18,2003,0.1,1,0,0,1,0,0,0,0,1,,,0,,,,
Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0
Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.8
Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5
Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5
Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,3.0,2,1,0,10,8,1,2,5,9,0,0,0,10,7,8,46.7
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7
Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,13.6,2,1,0,35,24,7,16,5,19,1,0,0,62,8,19,29.6
Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.7
Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.3
Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0
Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,10,1,1,24,16,0,5,25,33,0,1,0,121,68,43,61.3
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,10.9,6,0,0,14,25,4,16,6,6,0,0,0,75,1,10,9.1
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,29.3,10,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.4
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.8
Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,18,2004,3.3,1,0,0,5,2,0,14,4,5,0,0,0,12,0,1,0.0
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.9
Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,2002,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.8
Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,32.9,3,0,0,40,33,7,50,31,50,1,0,0,142,14,21,40.0
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,32.4,12,0,0,57,39,1,14,47,74,1,0,0,278,91,61,59.9
Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.3
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,26.7,7,0,0,35,20,0,4,42,38,0,0,1,153,56,43,56.6
Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,2,0,0,12,29,7,179,25,24,0,0,0,148,15,27,35.7
Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,63.0
Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5
Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,19,2002,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7
Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,4,0,0,31,31,1,31,38,27,0,0,0,231,55,50,52.4
Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22,2000,1.1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,50.0
José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18,2004,0.5,0,0,0,0,4,0,1,0,1,0,0,0,2,0,0,
Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,6.6,2,0,0,9,15,0,0,11,6,0,0,0,42,0,4,0.0
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.2
Antony,br BRA,"FW,MF",Manchester Utd,eng Premier League,20,2001,20.0,5,0,0,15,25,2,32,11,9,,,0,,,,
Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,2,0,0,4,2,0,2,4,5,0,0,0,24,6,11,35.3
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,22.0,2,0,0,24,40,15,63,5,15,1,0,0,109,16,45,26.2
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6
Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,24,1998,5.8,2,0,0,7,5,0,6,8,5,0,0,0,35,6,4,60.0
Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20,2002,2.8,0,0,0,4,5,0,17,4,2,0,0,0,14,0,3,0.0
Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0
Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18,2004,0.7,0,0,0,0,2,0,2,1,1,0,0,0,5,1,3,25.0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.6
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.0
Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,
Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26,1996,13.6,2,0,0,10,13,0,8,10,20,0,0,0,76,30,43,41.1
Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,25,1997,14.8,2,0,0,17,9,2,14,5,9,0,0,0,54,5,21,19.2
Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,30,1992,15.6,6,0,0,17,20,1,37,10,21,0,0,0,83,6,8,42.9
Marko Arnautović,at AUT,FW,Bologna,it Serie A,33,1989,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.5
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28,1994,30.7,5,0,0,33,64,0,154,26,31,0,0,1,225,30,30,50.0
Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18,2004,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,
Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,20,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.7
Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,18,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Tolgay Arslan,de GER,MF,Udinese,it Serie A,31,1990,13.5,3,0,0,15,35,0,28,12,18,0,0,0,78,8,4,66.7
Ricard Artero,es ESP,"MF,FW",Girona,es La Liga,19,2003,1.5,0,0,0,2,1,0,0,1,3,0,0,0,8,2,2,50.0
Arthur,br BRA,FW,Fiorentina,it Serie A,24,1998,15.9,4,0,0,26,18,2,4,1,2,0,1,0,39,49,49,50.0
Santiago Arzamendia,py PAR,"DF,MF",Cádiz,es La Liga,24,1998,5.4,0,0,0,4,2,1,14,2,8,0,0,0,46,6,6,50.0
Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,27,1994,19.0,1,0,0,10,24,7,28,8,9,0,0,0,82,19,28,40.4
Santiago Ascacíbar,ar ARG,MF,Cremonese,it Serie A,25,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3
Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,
Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,26,1996,16.0,1,0,0,10,16,4,82,5,10,1,1,0,45,3,2,60.0
Kristoffer Askildsen,no NOR,MF,Lecce,it Serie A,21,2001,8.1,3,0,0,20,7,1,19,11,3,0,1,0,45,21,19,52.5
Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,19,2002,1.9,0,0,0,2,3,2,3,3,0,0,0,0,4,6,7,46.2
Kristjan Asllani,al ALB,MF,Inter,it Serie A,20,2002,6.6,2,0,0,5,7,0,21,6,5,0,0,0,37,0,4,0.0
Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,34,1987,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.8
Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22,2000,2.9,3,0,0,4,4,0,4,2,2,0,0,0,19,8,4,66.7
Youcef Atal,dz ALG,"DF,MF",Nice,fr Ligue 1,26,1996,8.7,1,0,0,9,15,3,40,14,22,0,0,0,51,9,7,56.3
Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,16,2005,1.9,0,0,0,7,8,2,1,0,3,0,0,0,10,3,0,100.0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33,1989,6.2,1,0,0,5,1,0,3,2,0,0,0,0,11,3,11,21.4
Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,27,1994,34.0,3,0,0,14,26,1,170,17,14,0,1,0,183,38,32,54.3
Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28,1994,0.9,1,0,0,1,3,0,5,0,1,0,0,0,9,4,1,80.0
Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28,1994,1.5,0,0,0,1,1,0,6,1,1,0,0,0,13,4,1,80.0
Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29,1992,21.6,2,0,0,18,19,0,40,29,41,0,0,0,126,46,32,59.0
Mathias Autret,fr FRA,"MF,FW",Auxerre,fr Ligue 1,31,1991,14.3,0,0,0,7,4,2,65,12,10,0,0,0,73,5,13,27.8
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,28,1994,19.0,7,1,0,25,35,14,81,8,5,0,0,0,54,35,50,41.2
Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,35,1986,19.9,2,1,0,12,2,0,0,15,7,0,2,0,93,38,15,71.7
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,24,1997,15.6,2,0,0,24,19,15,3,4,10,0,0,0,56,20,61,24.7
Yasin Ayari,se SWE,MF,Brighton,eng Premier League,18,2003,0.7,0,0,0,0,3,0,0,0,2,0,0,0,3,0,1,0.0
Mehmet Aydin,de GER,"DF,FW",Schalke 04,de Bundesliga,20,2002,6.3,0,0,0,6,6,0,23,10,18,0,0,0,49,13,17,43.3
André Ayew,gh GHA,"FW,MF",Nott'ham Forest,eng Premier League,32,1989,3.5,1,0,0,3,8,1,1,0,3,0,0,0,9,14,22,38.9
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,30,1991,30.2,5,0,0,48,90,4,43,15,41,0,0,0,166,50,92,35.2
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,27,1994,6.1,1,0,0,4,8,0,0,5,4,0,0,0,28,2,7,22.2
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,30,1991,22.8,3,0,0,15,35,1,62,26,37,0,1,0,152,47,57,45.2
Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,de Bundesliga,27,1995,10.3,1,0,0,17,1,8,0,2,3,1,0,0,33,22,46,32.4
César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,32,1989,17.0,3,0,0,27,7,2,26,19,25,0,0,1,59,29,19,60.4
Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iddrisu Baba,gh GHA,"MF,DF",Mallorca,es La Liga,26,1996,18.9,5,0,0,31,30,0,0,11,17,0,0,0,122,37,28,56.9
Srđan Babić,rs SRB,DF,Almería,es La Liga,26,1996,33.3,5,0,0,24,9,2,2,29,18,0,0,0,136,71,46,60.7
Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22,2000,16.1,4,0,0,13,4,0,4,23,20,0,0,0,97,34,27,55.7
Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22,2000,1.0,1,0,0,3,1,0,0,1,1,0,0,0,4,2,2,50.0
Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36.0,2,0,0,1,6,0,0,0,0,0,1,0,33,8,1,88.9
Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21,2001,10.1,2,0,0,9,6,0,2,16,8,0,0,0,76,35,14,71.4
Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21,2001,9.3,3,0,0,10,4,0,0,17,8,0,0,0,67,21,7,75.0
Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,21,2001,21.6,13,1,1,58,56,3,26,7,17,1,1,0,100,1,26,3.7
