Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Sehrou Guirassy,gn GUI,MF,Rennes,fr Ligue 1,26,1996,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Sehrou Guirassy,gn GUI,FW,Stuttgart,de Bundesliga,26,1996,18.3,4,1,1,17,43,10,6,0,1,1,0,0,43,42,39,51.9
Rafik Guitane,fr FRA,FW,Reims,fr Ligue 1,23,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,32,1990,6.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,
Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,31,1991,7.1,2,0,0,9,2,0,4,19,8,0,0,0,37,22,20,52.4
Gerard Gumbau,es ESP,MF,Elche,es La Liga,27,1994,30.4,11,0,0,51,21,2,164,28,25,0,0,0,165,22,30,42.3
Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,24,1998,22.4,5,1,0,32,18,1,27,26,24,0,0,0,107,45,44,50.6
İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,31,1990,26.1,0,0,0,23,25,6,30,20,18,2,0,0,155,19,12,61.3
Christian Günter,de GER,"DF,MF",Freiburg,de Bundesliga,29,1993,30.5,5,0,0,32,14,6,198,16,21,0,1,0,121,13,29,31.0
Koray Günter,de GER,DF,Hellas Verona,it Serie A,27,1994,11.1,3,0,0,17,10,0,3,30,6,0,0,0,81,22,21,51.2
Koray Günter,de GER,DF,Sampdoria,it Serie A,27,1994,8.6,2,0,0,7,3,0,1,11,8,0,1,0,47,24,9,72.7
Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,25,1996,15.8,2,0,0,28,14,16,4,4,20,0,0,0,49,29,47,38.2
Malo Gusto,fr FRA,DF,Lyon,fr Ligue 1,19,2003,17.7,1,0,0,20,24,2,116,28,26,0,0,1,139,8,15,34.8
Raúl Guti,es ESP,MF,Elche,es La Liga,25,1996,12.4,1,0,0,8,22,1,9,8,12,0,0,0,64,6,10,37.5
Miguel Gutiérrez,es ESP,DF,Girona,es La Liga,21,2001,26.6,6,0,0,23,24,3,104,18,23,0,0,0,157,9,16,36.0
Joško Gvardiol,hr CRO,DF,RB Leipzig,de Bundesliga,20,2002,24.1,2,0,0,20,13,1,4,34,17,0,1,1,167,43,34,55.8
Darko Gyabi,eng ENG,FW,Leeds United,eng Premier League,18,2004,0.1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,
Emmanuel Gyasi,gh GHA,"FW,DF",Spezia,it Serie A,28,1994,31.2,10,0,0,47,37,23,22,8,15,0,0,0,120,18,53,25.4
Norbert Gyömbér,sk SVK,DF,Salernitana,it Serie A,30,1992,19.3,5,0,0,22,7,0,5,35,23,0,1,0,106,45,25,64.3
Christian Gytkjær,dk DEN,"FW,MF",Monza,it Serie A,32,1990,6.2,0,0,0,11,6,10,1,0,2,0,1,0,9,10,20,33.3
Erling Haaland,no NOR,FW,Manchester City,eng Premier League,22,2000,30.8,5,0,0,31,24,8,12,3,2,1,0,0,37,50,50,50.0
Nicolas Haas,ch SUI,MF,Empoli,it Serie A,26,1996,12.8,2,0,0,20,11,1,11,8,13,0,0,0,62,6,19,24.0
Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,28,1994,24.3,1,0,0,34,38,1,14,14,17,0,0,0,144,38,51,42.7
Alexander Hack,de GER,DF,Mainz 05,de Bundesliga,28,1993,12.6,2,1,0,25,12,1,2,24,18,0,2,0,87,33,32,50.8
Munir El Haddadi,ma MAR,"MF,FW",Getafe,es La Liga,26,1995,12.8,4,0,0,14,34,13,70,9,7,0,0,0,64,28,28,50.0
Jaouen Hadjam,dz ALG,DF,Nantes,fr Ligue 1,19,2003,8.9,1,0,0,10,12,0,28,12,21,0,0,1,56,7,12,36.8
Dennis Hadzikadunic,ba BIH,DF,Mallorca,es La Liga,24,1998,6.8,1,0,0,6,2,0,0,3,6,0,0,0,28,16,13,55.2
André Hahn,de GER,"FW,MF",Augsburg,de Bundesliga,31,1990,4.3,1,0,0,8,3,1,6,4,5,0,0,0,19,13,15,46.4
Amadou Haidara,ml MLI,MF,RB Leipzig,de Bundesliga,24,1998,15.9,7,0,0,29,11,0,3,26,11,1,1,0,103,24,31,43.6
Massadio Haïdara,ml MLI,"DF,MF",Lens,fr Ligue 1,29,1992,18.6,5,0,0,19,26,4,26,36,16,1,1,0,88,38,15,71.7
Achraf Hakimi,ma MAR,"DF,MF",Paris S-G,fr Ligue 1,23,1998,22.8,7,2,1,29,19,5,42,16,34,1,0,0,129,7,7,50.0
Lewis Hall,eng ENG,DF,Chelsea,eng Premier League,17,2004,7.3,1,0,0,3,11,1,34,11,12,0,0,0,48,7,5,58.3
Sébastien Haller,ci CIV,FW,Dortmund,de Bundesliga,28,1994,13.6,1,0,0,13,14,4,3,1,4,1,0,0,32,42,40,51.2
Marcel Halstenberg,de GER,DF,RB Leipzig,de Bundesliga,30,1991,17.3,2,0,0,19,7,0,45,21,21,1,0,0,102,26,16,61.9
Mathis Hamdi,fr FRA,DF,Troyes,fr Ligue 1,18,2003,0.8,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,0.0
Ben Hamed Touré,ci CIV,FW,Ajaccio,fr Ligue 1,18,2003,2.3,0,0,0,7,5,0,0,1,4,0,0,0,5,2,15,11.8
Romain Hamouma,fr FRA,"FW,MF",Ajaccio,fr Ligue 1,35,1987,12.0,5,2,2,18,15,4,54,2,3,2,0,0,33,12,18,40.0
Saïd Hamulic,ba BIH,FW,Toulouse,fr Ligue 1,21,2000,1.2,1,0,0,2,1,1,1,0,0,0,0,0,3,0,2,0.0
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,25,1997,16.6,5,0,0,22,9,0,6,33,23,0,1,0,117,69,40,63.3
Samir Handanović,si SVN,GK,Inter,it Serie A,38,1984,13.7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Genki Haraguchi,jp JPN,MF,Stuttgart,de Bundesliga,31,1991,8.3,1,0,0,4,16,0,8,8,7,0,0,1,38,6,12,33.3
Genki Haraguchi,jp JPN,MF,Union Berlin,de Bundesliga,31,1991,5.5,0,0,0,4,12,0,4,3,8,0,0,0,19,8,7,53.3
Amine Harit,ma MAR,"MF,FW",Marseille,fr Ligue 1,25,1997,5.7,1,0,0,2,13,2,16,4,4,0,0,0,27,1,12,7.7
Luke Harris,wls WAL,"MF,FW",Fulham,eng Premier League,17,2005,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Jack Harrison,eng ENG,"FW,MF",Leeds United,eng Premier League,25,1996,30.1,2,0,0,38,37,3,186,22,17,0,0,0,174,5,42,10.6
Abdou Harroui,nl NED,MF,Sassuolo,it Serie A,24,1998,7.2,2,0,0,13,3,1,11,2,6,0,0,0,38,9,5,64.3
Makoto Hasebe,jp JPN,DF,Eint Frankfurt,de Bundesliga,38,1984,14.5,1,0,0,7,15,0,2,17,12,0,0,0,98,15,24,38.5
Haissem Hassan,fr FRA,"FW,MF",Villarreal,es La Liga,20,2002,0.6,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,50.0
Hans Hateboer,nl NED,DF,Atalanta,it Serie A,28,1994,15.5,7,0,0,19,3,1,23,12,13,0,0,0,50,24,14,63.2
Kai Havertz,de GER,"FW,MF",Chelsea,eng Premier League,23,1999,28.5,5,0,0,60,25,28,14,7,16,0,0,0,81,79,59,57.2
Eden Hazard,be BEL,FW,Real Madrid,es La Liga,31,1991,2.2,0,0,0,2,9,0,0,1,0,0,0,0,5,1,0,100.0
Thorgan Hazard,be BEL,"FW,DF",Dortmund,de Bundesliga,29,1993,5.2,1,0,0,14,5,4,37,5,6,0,0,0,44,4,8,33.3
Rhys Healey,wls WAL,FW,Toulouse,fr Ligue 1,27,1994,0.7,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
Jan Paul van Hecke,nl NED,DF,Brighton,eng Premier League,22,2000,3.3,2,0,0,7,4,0,0,6,6,0,0,0,15,6,15,28.6
Jonas Hector,de GER,DF,Köln,de Bundesliga,32,1990,31.4,3,0,0,23,77,1,114,39,66,0,1,0,221,56,33,62.9
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,eng Premier League,26,1996,12.6,1,0,0,20,19,1,10,5,9,0,0,0,45,7,30,18.9
Gauthier Hein,fr FRA,"MF,FW",Auxerre,fr Ligue 1,25,1996,20.8,1,0,0,21,14,2,99,6,20,0,0,0,89,3,31,8.8
Dominique Heintz,de GER,DF,Bochum,de Bundesliga,28,1993,8.8,1,0,0,11,4,0,8,12,9,0,0,0,54,18,12,60.0
Dean Henderson,eng ENG,GK,Nott'ham Forest,eng Premier League,25,1997,18.0,2,0,0,1,1,0,0,0,0,0,1,0,11,1,0,100.0
Jordan Henderson,eng ENG,MF,Liverpool,eng Premier League,32,1990,23.0,2,0,0,18,9,3,45,21,23,0,0,0,163,11,10,52.4
Liam Henderson,sct SCO,MF,Empoli,it Serie A,26,1996,11.2,9,0,0,35,12,2,35,10,10,0,0,0,61,6,11,35.3
